word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
the	217055	-4.06	20	31	1062	154	45	45	45	2337	27	6	6	6	3
o	112591	-4.3	0	32	449	449	449	449	449	697	697	697	697	697	1
an	88873	-2.73	60	92	1565	166	166	166	166	2484	480	480	480	480	2
in	77817	-2.24	40	68	617	331	331	331	331	2484	807	807	807	807	2
a	55865	-4.3	0	43	1565	1565	1565	1565	1565	1475	1475	1475	1475	1475	1
is	54464	-3.49	58	70	617	55	55	55	55	3311	111	111	111	111	2
tae	36523	-4.49	54	64	1062	166	6	6	6	2337	69	4	4	4	3
wis	26333	-4.22	26	33	494	123	9	9	9	3311	111	2	2	2	3
as	22344	-3.06	78	94	1565	91	91	91	91	3311	143	143	143	143	2
it	19567	-3.27	54	71	617	25	25	25	25	1780	588	588	588	588	2
wi	16373	-3.84	50	59	494	123	123	123	123	470	5	5	5	5	2
bi	15477	-3.58	60	68	1128	83	83	83	83	470	17	17	17	17	2
s	15436	-4.3	0	34	2032	2032	2032	2032	2032	3311	3311	3311	3311	3311	1
on	14732	-3.31	44	65	449	28	28	28	28	2484	664	664	664	664	2
for	14025	-3.31	32	40	814	140	69	69	69	1191	134	1	1	1	3
frae	12971	-5.11	4	8	814	109	37	1	1	2337	69	7	1	1	4
ceety	12382	-6.33	2	3	1797	101	12	6	2	1184	145	8	1	1	5
that	10103	-5.85	16	18	1062	154	26	3	3	1780	87	8	1	1	4
haes	9793	-4.55	16	21	755	247	9	2	2	3311	886	11	1	1	4
are	9761	-4.12	42	57	1565	176	10	10	10	2337	223	33	33	33	3
its	9068	-4.5	8	18	617	25	3	3	3	3311	368	34	34	34	3
at	8920	-3.52	74	97	1565	92	92	92	92	1780	87	87	87	87	2
population	8335	-8.78	0	0	1329	173	12	9	9	2484	664	418	313	185	10
which	7568	-6.18	0	0	494	44	13	1	1	427	100	23	1	1	5
or	7145	-3.32	62	78	449	86	86	86	86	1191	134	134	134	134	2
ane	6701	-4.07	38	50	1565	166	7	7	7	2337	201	38	38	38	3
province	6500	-7.32	0	0	1329	354	171	22	14	2337	186	96	4	1	8
destrict	6249	-7.93	0	0	979	340	58	14	9	1780	58	9	4	4	8
aw	6086	-3.47	54	68	1565	29	29	29	29	115	37	37	37	37	2
aurie	6066	-5.66	2	4	1565	67	4	3	2	2337	247	36	6	2	5
he	6020	-3.48	64	77	755	174	174	174	174	2337	27	27	27	27	2
toun	5991	-5.24	14	16	1062	145	23	4	4	2484	42	16	8	8	4
municipality	5926	-11.79	0	0	1288	116	17	7	7	1184	145	87	33	15	12
this	5199	-5.28	10	12	1062	154	23	3	3	3311	111	4	1	1	4
his	5058	-4.55	26	30	755	93	13	13	13	3311	111	4	4	4	3
of	5001	-3.94	42	46	449	23	23	23	23	99	5	5	5	5	2
t	4873	-4.3	0	25	1062	1062	1062	1062	1062	1780	1780	1780	1780	1780	1
wur	4781	-4.69	32	35	494	15	3	3	3	1191	126	1	1	1	3
locatit	4632	-6.68	0	0	761	105	16	10	5	1780	588	280	103	12	7
first	4591	-6.74	2	2	814	133	17	2	2	1780	250	6	3	1	5
haed	4540	-4.7	14	16	755	247	9	2	2	1417	794	5	1	1	4
maist	4538	-5.05	6	9	1288	474	43	6	6	1780	250	90	21	19	5
name	4535	-5.06	20	24	543	150	16	6	6	2337	78	18	5	5	4
sooth	4283	-5.67	4	5	2032	159	21	13	13	427	100	6	3	1	5
north	4253	-5.48	6	6	543	132	47	20	19	427	100	14	3	1	5
be	4156	-3.24	62	77	1128	199	199	199	199	2337	23	23	23	23	2
kent	4140	-4.28	22	24	529	65	16	2	2	1780	304	194	5	5	4
efter	4126	-5.71	10	10	782	18	9	8	7	1191	594	132	6	3	5
pairt	4079	-4.91	8	15	1329	262	44	33	22	1780	85	12	8	4	5
region	4051	-5.3	6	7	977	485	39	18	4	2484	664	418	8	6	6
caipital	4009	-9.55	0	2	1797	364	19	6	5	810	442	42	8	3	8
but	3732	-3.95	24	29	1128	132	10	10	10	1780	37	3	3	3	3
twa	3719	-4.83	12	16	1062	19	5	5	5	1475	19	1	1	1	3
been	3623	-4.96	22	26	1128	199	11	1	1	2484	275	30	1	1	4
hae	3488	-3.79	42	56	755	247	9	9	9	2337	69	5	5	5	3
intae	3443	-6.34	2	4	617	331	82	4	1	2337	69	4	2	1	5
coonty	3433	-6.56	4	5	1797	694	30	14	11	1184	145	11	2	1	6
ither	3429	-5.89	6	11	617	25	6	4	4	1191	594	58	43	18	5
de	3328	-2.7	62	77	979	340	340	340	340	2337	105	105	105	105	2
fowk	3222	-5.53	2	3	814	140	14	8	8	375	2	1	1	1	4
and	3157	-3.5	24	33	1565	166	25	25	25	1417	201	108	108	108	3
their	3123	-5.75	2	5	1062	154	45	1	1	1191	71	9	2	1	5
she	3107	-4.3	18	25	2032	182	28	28	28	2337	27	2	2	2	3
new	3047	-4.37	22	26	543	118	17	17	17	115	26	4	4	4	3
east	3016	-4.9	20	25	782	40	13	9	9	1780	250	32	9	9	4
state	2976	-5.02	12	16	2032	290	91	18	6	2337	244	120	4	3	5
her	2859	-3.23	28	38	755	174	40	40	40	1191	594	58	58	58	3
lairgest	2851	-8.35	0	1	761	209	15	7	4	1780	250	88	7	2	8
wast	2850	-4.65	24	28	494	156	14	9	9	1780	250	32	4	4	4
century	2802	-7.64	0	1	1797	101	23	20	4	1184	197	11	1	1	7
warld	2801	-5.82	4	6	494	156	34	5	3	1417	60	4	2	2	5
admeenistrative	2781	-13.8	0	0	1565	94	18	9	9	2337	138	90	50	22	15
mony	2775	-4.53	20	23	1288	243	73	1	1	1184	46	16	5	5	4
durin	2743	-5.77	4	7	979	60	10	2	2	2484	807	66	10	1	5
aa	2722	-3.87	84	95	1565	11	11	11	11	1475	15	15	15	15	2
year	2641	-5.77	22	25	149	40	5	4	4	1191	202	21	1	1	4
river	2636	-5.07	10	14	977	89	13	4	4	1191	594	41	14	3	5
no	2631	-2.84	54	67	543	132	132	132	132	697	91	91	91	91	2
aboot	2620	-6.38	6	7	1565	82	11	1	1	1780	39	11	2	1	5
there	2557	-5.28	10	13	1062	154	45	7	5	2337	223	19	10	1	5
history	2554	-7.43	0	0	755	93	13	9	9	1184	197	29	17	4	7
they	2548	-5.1	14	17	1062	154	45	1	1	1184	79	3	1	1	4
some	2545	-5.1	16	18	2032	159	17	11	11	2337	78	20	3	3	4
roushie	2534	-7.18	2	4	977	144	13	5	5	2337	247	13	5	3	7
atween	2523	-8.14	2	3	1565	92	3	3	2	2484	275	30	4	3	6
ceeties	2432	-7.48	2	4	1797	101	12	6	4	3311	886	172	55	4	7
mair	2406	-4.19	20	24	1288	474	43	13	13	1191	71	20	3	3	4
who	2390	-5.15	6	8	494	44	5	5	5	697	15	1	1	1	3
uised	2358	-5.97	4	6	271	19	18	6	1	1417	794	77	18	2	5
kintra	2340	-6.5	0	1	529	103	20	4	3	1475	178	20	1	1	6
ower	2317	-4.48	6	13	449	28	23	22	22	1191	594	18	10	10	4
years	2311	-6.45	10	12	149	40	5	4	1	3311	339	34	8	1	5
baund	2238	-5.52	8	11	1128	293	13	5	2	1417	201	30	8	1	5
time	2231	-5.83	10	14	1062	72	14	4	4	2337	78	15	8	8	4
day	2211	-3.83	42	47	979	126	7	7	7	1184	93	18	18	18	3
to	2183	-3.1	52	65	1062	145	145	145	145	697	63	63	63	63	2
km	2178	-4.97	44	51	529	3	3	3	3	361	1	1	1	1	2
centre	2172	-6.64	2	5	1797	101	23	20	9	2337	223	10	2	2	6
naitional	2163	-8.67	0	0	543	150	20	16	11	810	442	75	42	38	9
al	2159	-2.54	66	83	1565	192	192	192	192	810	442	442	442	442	2
three	2155	-6.3	4	6	1062	154	28	8	1	2337	54	12	1	1	5
veelage	2140	-9.11	0	1	419	94	9	3	3	2337	111	49	2	1	7
oblast	2104	-7.23	0	3	449	35	5	3	3	1780	250	32	4	3	6
central	2094	-7.09	0	0	1797	101	23	20	9	810	442	48	5	1	7
