word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
je	935486	-2.65	40	45	370	131	131	131	131	3114	893	893	893	893	2
i	743155	-4.3	0	31	857	857	857	857	857	2803	2803	2803	2803	2803	1
u	715916	-4.3	0	27	817	817	817	817	817	1790	1790	1790	1790	1790	1
se	352077	-3.18	60	74	2100	129	129	129	129	3114	35	35	35	35	2
na	307675	-1.93	56	71	1158	637	637	637	637	4962	746	746	746	746	2
su	275674	-2.93	60	70	2100	182	182	182	182	1790	37	37	37	37	2
od	210739	-3.34	32	45	1284	244	244	244	244	199	31	31	31	31	2
da	198337	-2.81	56	69	1082	113	113	113	113	4962	181	181	181	181	2
za	182684	-2.77	42	47	699	415	415	415	415	4962	58	58	58	58	2
a	138493	-4.3	0	35	599	599	599	599	599	4962	4962	4962	4962	4962	1
godine	122807	-5.96	6	7	552	102	18	17	6	3114	573	115	10	2	6
kao	121151	-3.71	22	26	1163	242	3	3	3	1690	288	16	16	16	3
koji	114807	-4.23	16	19	1163	421	13	4	4	2803	228	9	1	1	4
sa	105067	-2.66	64	79	2100	240	240	240	240	4962	88	88	88	88	2
iz	96400	-3.77	30	34	857	339	339	339	339	54	6	6	6	6	2
bio	77558	-3.57	16	22	782	131	9	9	9	1690	301	18	18	18	3
s	77288	-4.3	0	25	2100	2100	2100	2100	2100	227	227	227	227	227	1
do	73515	-3.28	44	57	1082	322	322	322	322	1690	18	18	18	18	2
što	64947	-5.34	6	7	163	23	3	3	3	1690	69	5	5	5	3
po	63603	-3.81	40	49	2924	1127	1127	1127	1127	1690	4	4	4	4	2
ili	58763	-4.18	8	15	857	16	10	10	10	2803	343	116	116	116	3
koja	57106	-3.91	26	27	1163	421	13	1	1	4962	710	13	1	1	4
te	55892	-2.72	46	53	761	221	221	221	221	3114	149	149	149	149	2
nakon	51971	-5.69	6	6	1158	637	6	1	1	696	110	5	3	1	5
koje	47872	-3.99	20	23	1163	421	13	5	5	3114	893	16	1	1	4
o	46634	-4.3	0	27	1284	1284	1284	1284	1284	1690	1690	1690	1690	1690	1
ali	46404	-3.58	6	13	599	81	3	3	3	2803	343	123	123	123	3
to	43532	-3.5	38	53	761	62	62	62	62	1690	69	69	69	69	2
bila	38848	-3.94	28	32	782	131	23	1	1	4962	459	140	12	12	4
nije	38559	-4.26	8	10	1158	88	11	11	11	3114	893	367	49	49	4
bi	38191	-3.29	46	56	782	131	131	131	131	2803	34	34	34	34	2
prema	38083	-4.12	8	11	2924	1174	319	12	1	4962	571	15	6	4	5
ne	37225	-2.2	52	63	1158	213	213	213	213	3114	573	573	573	573	2
kako	34878	-5.35	8	11	1163	242	9	1	1	1690	155	17	5	5	4
ga	33953	-3.23	40	48	552	45	45	45	45	4962	85	85	85	85	2
oko	32299	-4.01	16	18	1284	93	23	23	23	1690	155	7	7	7	3
godina	31821	-5.96	6	6	552	102	18	17	6	4962	746	134	12	3	6
zbog	31034	-5.03	2	3	699	14	5	1	1	532	403	3	1	1	4
kada	30997	-4.63	24	29	1163	242	5	2	2	4962	181	53	6	6	4
stanovnika	28401	-8.28	0	0	2100	393	137	42	13	4962	532	146	98	14	10
pod	28140	-3.75	18	22	2924	1127	109	109	109	199	31	2	2	2	3
kod	27979	-5.17	20	23	1163	421	4	4	4	199	31	1	1	1	3
sve	26654	-3.25	24	30	2100	169	65	65	65	3114	135	2	2	2	3
ima	25914	-3.42	10	20	857	40	16	16	16	4962	571	313	313	313	3
tako	25742	-5.26	10	15	761	108	27	7	7	1690	155	17	1	1	4
grad	25251	-4.42	8	14	552	177	99	37	37	199	46	8	4	4	4
samo	24502	-5.24	10	17	2100	240	31	21	21	1690	27	7	1	1	4
više	24293	-5.42	18	19	682	132	11	4	4	3114	27	15	7	7	4
mu	23523	-2.96	64	69	919	80	80	80	80	1790	48	48	48	48	2
će	23501	-3.61	34	36	15	13	13	13	13	3114	64	64	64	64	2
između	23456	-6.41	0	0	857	339	7	3	1	1790	15	4	2	1	6
bilo	23156	-4.46	12	13	782	131	23	1	1	1690	151	40	3	3	4
ih	23103	-4.35	36	40	857	1	1	1	1	517	452	452	452	452	2
prvi	22466	-4.74	10	14	2924	1174	26	4	4	2803	146	3	1	1	4
dok	22158	-4.2	22	23	1082	322	29	29	29	335	24	3	3	3	3
jedan	22153	-5.84	0	2	370	131	64	3	3	696	267	19	5	4	5
može	21788	-5.02	14	14	919	169	5	3	3	3114	52	4	1	1	4
još	21729	-6.11	10	11	370	35	1	1	1	20	8	1	1	1	3
stanovništva	20701	-10.76	0	0	2100	393	137	42	13	4962	352	52	8	4	12
on	20507	-3.79	36	53	1284	22	22	22	22	696	110	110	110	110	2
toga	20446	-5.61	18	20	761	62	2	1	1	4962	85	33	4	4	4
kasnije	20250	-6.88	4	7	1163	242	18	15	11	3114	893	367	49	1	7
bili	19808	-3.98	18	20	782	131	23	1	1	2803	343	116	10	10	4
popisu	18765	-6.22	4	6	2924	1127	34	5	5	1790	37	8	5	3	6
svoje	17957	-4.82	12	16	2100	169	26	20	8	3114	893	16	5	2	5
pa	17929	-3.11	52	63	2924	177	177	177	177	4962	44	44	44	44	2
uz	17798	-4.36	24	26	817	40	40	40	40	54	3	3	3	3	2
odnosno	17489	-6.49	2	2	1284	244	15	12	12	1690	411	18	1	1	7
pne	17393	-5.19	8	10	2924	1	1	1	1	3114	573	4	4	4	3
nalazi	17243	-6.21	4	7	1158	637	18	14	14	2803	40	21	11	2	6
danas	17232	-6.42	2	3	1082	113	34	12	1	227	33	2	1	1	5
rata	17161	-4.48	30	36	806	317	25	1	1	4962	327	78	14	14	4
vrijeme	17106	-8.01	0	0	682	90	7	7	7	3114	66	9	2	1	7
nekoliko	16925	-9.0	0	0	1158	213	24	8	2	1690	155	9	7	5	8
dva	16905	-3.93	12	16	1082	40	9	9	9	4962	352	2	2	2	3
protiv	16849	-6.44	0	2	2924	1174	371	46	14	82	19	4	3	2	6
jer	16210	-4.47	12	16	370	131	11	11	11	330	96	9	9	9	3
the	15984	-4.96	2	6	761	14	4	4	4	3114	9	1	1	1	3
tri	15932	-3.95	10	12	761	184	16	16	16	2803	106	6	6	6	3
njemu	15527	-6.39	2	3	1158	71	48	12	1	1790	48	11	2	1	5
film	15262	-5.61	0	2	330	88	39	18	18	1186	3	1	1	1	4
iako	15125	-7.26	8	9	857	3	1	1	1	1690	155	17	1	1	4
također	15097	-10.48	0	1	761	108	27	7	2	330	96	1	1	1	7
tokom	14899	-5.4	0	2	761	62	7	2	1	1186	656	164	5	2	5
već	14816	-5.39	4	9	682	125	18	18	18	58	2	1	1	1	3
gdje	14748	-4.98	0	1	552	2	1	1	1	3114	893	7	4	4	4
br	14703	-4.6	38	43	782	150	150	150	150	330	1	1	1	1	2
koju	14538	-4.91	14	15	1163	421	13	1	1	1790	498	6	1	1	4
nego	14393	-6.07	4	6	1158	213	10	1	1	1690	18	3	1	1	4
ime	14265	-4.86	8	13	857	40	14	14	14	3114	66	10	10	10	3
dana	14237	-4.45	28	36	1082	113	34	12	12	4962	746	144	9	9	4
strane	14106	-5.58	8	10	2100	393	77	44	22	3114	573	65	18	3	6
biti	14064	-3.98	8	13	782	131	17	1	1	2803	501	146	11	11	4
broj	13254	-4.41	6	11	782	150	42	22	22	331	224	5	1	1	4
njegov	13185	-7.56	2	7	1158	71	48	13	12	82	17	1	1	1	6
grada	13134	-4.43	14	18	552	177	99	37	2	4962	181	53	13	6	5
tada	13074	-5.16	12	15	761	108	12	10	10	4962	181	53	3	3	4
postao	13051	-4.7	2	7	2924	1127	196	79	35	1690	288	22	16	2	6
nisu	13040	-6.0	6	6	1158	88	11	1	1	1790	37	8	3	3	4
dio	12842	-3.42	22	25	1082	139	7	7	7	1690	301	45	45	45	3
veliki	12778	-7.1	10	13	682	125	27	22	14	2803	315	2	1	1	6
međutim	12711	-8.33	0	0	919	142	17	17	1	1186	347	12	2	1	7
među	12685	-4.59	2	2	919	142	17	17	17	1790	15	4	2	2	4
prije	12583	-3.23	8	10	2924	1174	349	46	31	3114	893	367	41	3	5
drugi	12324	-6.91	10	14	1082	130	38	20	4	2803	5	2	1	1	5
preko	11960	-4.97	0	0	2924	1174	319	18	1	1690	155	6	1	1	5
imao	11913	-5.5	6	10	857	40	16	2	2	1690	288	4	2	2	4
često	11704	-5.93	12	13	203	63	9	9	1	1690	69	15	7	1	5
bez	11499	-5.31	10	12	782	81	4	4	4	54	9	1	1	1	3
m	11329	-4.3	0	25	919	919	919	919	919	1186	1186	1186	1186	1186	1
mogu	11181	-4.98	6	8	919	169	17	12	12	1790	31	6	1	1	4
ii	11131	-4.23	60	66	857	2	2	2	2	2803	8	8	8	8	2
ona	10867	-4.02	30	39	1284	22	3	3	3	4962	746	56	56	56	3
no	10864	-2.72	44	59	1158	124	124	124	124	1690	411	411	411	411	2
ljudi	10846	-6.69	2	2	445	46	31	16	2	2803	76	6	1	1	5
živelo	10737	-6.68	4	6	154	65	45	6	3	1690	151	23	3	1	6
kojima	10494	-5.5	2	4	1163	421	13	4	2	4962	571	313	31	1	6
km	10441	-5.06	38	44	1163	2	2	2	2	1186	1	1	1	1	2
jedna	10405	-5.4	12	15	370	131	64	29	12	4962	746	20	6	4	5
zajedno	10403	-6.74	0	0	699	415	17	17	17	1690	411	39	12	6	7
njegova	10335	-6.82	8	9	1158	71	48	13	12	4962	352	113	6	1	7
svoju	10325	-5.74	6	7	2100	169	26	20	1	1790	498	6	2	1	5
kroz	10324	-6.61	4	4	1163	221	9	1	1	54	7	2	1	1	4
mjesto	10317	-6.88	4	7	919	21	18	11	5	1690	69	15	7	2	6
druge	10262	-5.7	12	15	1082	130	38	20	1	3114	34	11	5	2	5
ovaj	10252	-5.74	6	7	1284	37	13	1	1	331	40	3	1	1	4
svojim	10195	-6.06	6	6	2100	169	26	20	2	1186	347	30	2	1	6
države	10172	-5.15	8	10	1082	130	31	28	22	3114	135	34	1	1	6
put	10054	-4.08	16	19	2924	85	27	27	27	449	26	6	6	6	3
smrti	10009	-5.21	0	2	2100	63	8	7	1	2803	501	7	2	1	5
poznat	9983	-5.59	0	5	2924	1127	57	21	21	449	64	9	3	2	6
posle	9781	-4.57	6	6	2924	1127	196	58	13	3114	155	3	1	1	5
kojoj	9632	-6.15	2	2	1163	421	13	2	1	331	224	17	2	1	5
doba	9498	-4.69	18	22	1082	322	44	3	3	4962	41	11	1	1	4
tome	9476	-5.47	20	21	761	62	9	1	1	3114	66	12	2	2	4
svog	9448	-4.58	6	8	2100	169	26	2	2	532	403	20	1	1	4
koristi	9443	-6.15	4	6	1163	421	72	47	20	2803	501	134	14	3	7
taj	9286	-4.83	20	23	761	108	14	14	14	331	40	6	6	6	3
kralj	9230	-6.27	0	3	1163	221	84	36	36	331	22	1	1	1	5
kad	9212	-4.62	24	28	1163	242	5	5	5	199	46	6	6	6	3
njegove	9156	-7.37	8	9	1158	71	48	13	12	3114	135	53	3	1	7
vrlo	9152	-5.72	0	0	682	90	3	1	1	1690	151	4	1	1	4
oni	9041	-4.4	18	25	1284	22	4	4	4	2803	490	16	16	16	3
de	8994	-2.73	52	65	1082	169	169	169	169	3114	108	108	108	108	2
