word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
the	939931	-4.09	14	22	1003	147	49	49	49	2477	28	7	7	7	3
of	434180	-4.29	42	45	456	21	21	21	21	90	3	3	3	3	2
in	393643	-2.85	46	75	637	352	352	352	352	1906	200	200	200	200	2
and	343203	-3.52	20	31	1370	184	22	22	22	1832	162	90	90	90	3
a	322364	-4.3	0	36	1370	1370	1370	1370	1370	1040	1040	1040	1040	1040	1
is	272998	-3.57	58	69	637	46	46	46	46	4109	116	116	116	116	2
to	241883	-3.2	50	64	1003	138	138	138	138	479	66	66	66	66	2
was	166771	-4.44	34	41	523	143	11	11	11	4109	97	1	1	1	3
it	128303	-4.19	64	79	637	15	15	15	15	1223	73	73	73	73	2
for	101738	-3.22	20	29	814	141	70	70	70	1202	170	1	1	1	3
he	98368	-3.5	58	66	765	169	169	169	169	2477	28	28	28	28	2
on	89166	-3.38	38	58	456	20	20	20	20	1906	863	863	863	863	2
are	88110	-4.17	28	43	1370	165	8	8	8	2477	245	31	31	31	3
as	88079	-3.18	56	76	1370	98	98	98	98	4109	97	97	97	97	2
that	85885	-6.04	8	11	1003	147	14	2	2	1223	59	5	1	1	4
by	81088	-3.57	26	33	1221	11	11	11	11	1349	22	22	22	22	2
s	77523	-4.3	0	31	2088	2088	2088	2088	2088	4109	4109	4109	4109	4109	1
with	72287	-5.09	4	7	523	117	18	8	8	409	112	14	1	1	4
from	66471	-5.38	4	5	814	124	12	1	1	378	44	3	1	1	4
they	56578	-5.08	8	11	1003	147	49	1	1	1349	120	3	1	1	4
or	54962	-3.2	50	62	456	96	96	96	96	1202	170	170	170	170	2
his	54743	-4.46	16	21	765	89	11	11	11	4109	116	4	4	4	3
an	54641	-2.7	44	71	1370	184	184	184	184	1906	425	425	425	425	2
at	54009	-3.85	62	84	1370	69	69	69	69	1223	59	59	59	59	2
this	49890	-5.29	4	5	1003	147	22	2	2	4109	116	4	1	1	4
be	45006	-3.12	58	75	1221	215	215	215	215	2477	32	32	32	32	2
also	44525	-6.34	2	3	1370	170	3	1	1	479	16	1	1	1	4
has	43805	-4.25	36	41	765	221	8	8	8	4109	97	1	1	1	3
were	42500	-5.1	10	13	523	100	5	3	3	2477	245	20	1	1	4
not	38992	-4.21	28	33	486	115	21	21	21	1223	44	4	4	4	3
which	38732	-6.24	0	0	523	52	21	1	1	409	106	21	1	1	5
people	37832	-8.16	0	1	1507	183	2	2	2	2477	309	16	2	1	6
one	35989	-4.76	14	27	456	20	4	4	4	2477	283	55	55	55	3
have	35835	-4.65	18	21	765	221	6	3	3	2477	160	19	2	2	4
first	31756	-6.83	0	1	814	148	23	2	2	1223	241	7	1	1	5
there	31163	-5.3	6	8	1003	147	49	15	6	2477	245	20	13	1	5
can	30080	-3.27	58	69	1979	400	54	54	54	1906	425	21	21	21	3
but	29157	-3.93	28	35	1221	144	11	11	11	1223	45	2	2	2	3
other	29105	-5.65	2	5	456	13	4	3	3	1202	756	61	29	7	5
their	28613	-6.24	0	2	1003	147	49	2	2	1202	35	3	2	1	5
had	28471	-4.49	28	35	765	221	5	5	5	1832	63	3	3	3	3
she	27981	-4.18	16	25	2088	191	41	41	41	2477	28	2	2	2	3
many	27936	-4.47	12	16	1233	427	66	1	1	1349	54	10	2	2	4
called	26362	-5.02	4	4	1979	400	46	6	1	1832	1248	72	25	4	6
when	26336	-5.05	10	11	523	52	15	2	2	1906	229	12	1	1	4
who	25621	-5.18	10	12	523	52	6	6	6	479	12	1	1	1	3
used	25471	-4.88	4	8	226	22	7	1	1	1832	1248	98	12	12	4
after	24778	-5.07	2	2	1370	28	6	6	6	1202	756	157	3	2	5
about	24461	-6.15	0	1	1370	69	10	1	1	1223	45	18	2	1	5
some	23767	-5.05	18	19	2088	138	16	10	10	2477	82	22	3	3	4
its	23058	-4.52	10	18	637	15	2	2	2	4109	476	34	34	34	3
most	22955	-4.61	18	20	1233	234	14	2	2	1223	241	17	7	7	4
