word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
v	832399	-4.3	0	17	1578	1578	1578	1578	1578	670	670	670	670	670	1
a	674610	-4.3	0	38	615	615	615	615	615	2423	2423	2423	2423	2423	1
je	433629	-2.66	44	51	347	105	105	105	105	2264	168	168	168	168	2
sa	407448	-3.37	74	87	1761	90	90	90	90	2423	27	27	27	27	2
na	365731	-2.39	54	65	1101	367	367	367	367	2423	220	220	220	220	2
z	165232	-4.3	0	10	1082	1082	1082	1082	1082	57	57	57	57	57	1
s	154414	-4.3	0	36	1761	1761	1761	1761	1761	351	351	351	351	351	1
roku	151274	-4.48	16	19	917	356	12	1	1	1587	222	14	4	4	4
do	127247	-3.66	48	59	940	296	296	296	296	1083	11	11	11	11	2
ako	119453	-4.43	14	17	615	60	4	4	4	1083	131	3	3	3	3
bol	105740	-4.23	22	26	637	131	8	8	8	790	83	3	3	3	3
aj	101083	-5.73	42	46	615	1	1	1	1	605	16	16	16	16	2
obyvateľov	99361	-9.1	0	0	1034	299	22	10	9	670	580	20	18	15	10
obec	91639	-4.67	6	7	1034	299	20	6	6	126	52	3	1	1	4
od	82305	-3.46	38	50	1034	162	162	162	162	247	41	41	41	41	2
po	81693	-3.97	46	52	2764	970	970	970	970	1083	3	3	3	3	2
má	76358	-4.56	44	48	1018	19	19	19	19	588	3	3	3	3	2
bod	74711	-4.62	26	33	637	131	9	9	9	247	41	1	1	1	3
o	74304	-4.3	0	28	1034	1034	1034	1034	1034	1083	1083	1083	1083	1083	1
ktorá	69574	-7.73	8	8	1091	15	14	13	1	588	16	1	1	1	5
jeho	67891	-5.44	2	2	347	105	1	1	1	1083	439	105	1	1	4
sú	63205	-4.03	42	44	1761	110	110	110	110	324	2	2	2	2	2
pre	61117	-2.8	10	14	2764	1139	423	423	423	2264	101	1	1	1	3
že	59716	-3.52	34	36	157	39	39	39	39	2264	24	24	24	24	2
za	59060	-2.95	44	48	1082	305	305	305	305	2423	36	36	36	36	2
k	58560	-4.3	0	23	1091	1091	1091	1091	1091	353	353	353	353	353	1
vo	58126	-3.02	40	45	1578	155	155	155	155	1083	89	89	89	89	2
alebo	56883	-7.87	0	1	615	70	13	1	1	1083	9	3	2	1	5
nachádza	54197	-6.93	0	0	1101	367	22	13	13	2423	36	17	16	11	8
bola	53410	-4.86	16	17	637	131	8	1	1	2423	356	14	2	2	4
ktorý	52465	-7.1	8	9	1091	15	14	13	4	649	8	4	2	2	5
ktoré	51220	-7.54	8	8	1091	15	14	13	3	756	8	2	2	2	5
pri	49026	-3.28	6	8	2764	1139	251	251	251	1206	47	2	2	2	3
obci	48292	-5.13	4	4	1034	299	26	2	2	1206	130	1	1	1	4
obce	45288	-5.15	6	7	1034	299	26	1	1	2264	129	1	1	1	4
rozlohu	43882	-7.3	6	7	917	356	173	17	6	1587	59	9	6	1	7
to	43548	-3.68	54	66	778	54	54	54	54	1083	68	68	68	68	2
počet	40409	-5.99	0	0	2764	970	39	6	5	312	38	5	3	3	5
boli	39813	-4.72	12	13	637	131	8	1	1	1206	340	5	2	2	4
obyvateľstvo	39410	-11.58	0	0	1034	299	22	10	9	1083	89	54	46	5	12
ale	39115	-4.39	14	20	615	70	13	13	13	2264	121	18	18	18	3
francúzska	39113	-8.19	0	0	403	69	48	41	27	2423	278	68	2	1	10
až	38938	-5.88	40	42	615	1	1	1	1	21	3	3	3	3	2
regióne	38259	-7.27	4	5	917	195	22	17	7	2264	450	8	2	1	7
najvyšší	38243	-7.01	0	0	1101	367	112	32	10	441	33	2	2	2	8
poloha	37458	-6.29	6	6	2764	970	66	23	7	2423	36	5	3	1	6
vývoj	37069	-6.53	2	5	1578	235	10	8	7	605	17	4	1	1	5
graf	36967	-5.36	8	10	244	70	29	10	10	34	5	4	3	3	4
departemente	36883	-12.87	0	0	940	153	8	7	7	2264	107	14	6	4	12
položený	36787	-6.19	0	0	2764	970	66	23	5	649	402	110	6	6	8
najnižší	36685	-8.03	0	0	1101	367	112	6	3	441	33	3	3	2	8
jej	35924	-4.69	14	15	347	105	1	1	1	605	561	2	2	2	3
počtu	35674	-5.23	6	6	2764	970	39	4	1	1587	113	4	4	4	5
tu	34665	-3.05	56	59	778	56	56	56	56	1587	113	113	113	113	2
nasledujúci	34510	-10.5	0	0	1101	367	44	18	18	1206	130	20	18	7	11
zobrazuje	34320	-8.34	0	0	1082	69	16	14	14	2264	168	142	17	6	9
bolo	34320	-4.72	10	11	637	131	8	2	2	1083	188	6	2	2	4
i	33406	-4.3	0	31	286	286	286	286	286	1206	1206	1206	1206	1206	1
ich	33153	-4.87	2	6	286	4	1	1	1	936	860	53	53	53	3
medzi	32746	-6.96	0	1	1018	182	31	18	16	1206	6	3	2	2	5
byť	31606	-4.81	2	3	637	26	1	1	1	484	2	2	2	2	3
však	30630	-6.62	2	3	1578	26	2	1	1	353	29	2	2	2	4
podľa	28870	-5.13	2	3	2764	970	156	5	5	2423	33	2	1	1	5
už	27246	-5.16	20	23	411	9	9	9	9	21	2	2	2	2	2
môže	27225	-4.71	2	3	1018	7	5	3	3	2264	24	3	3	3	4
zo	26403	-4.2	36	41	1082	69	69	69	69	1083	4	4	4	4	2
kde	26248	-5.23	4	7	1091	2	1	1	1	2264	108	3	3	3	3
so	25449	-3.95	66	76	1761	96	96	96	96	1083	8	8	8	8	2
pod	24643	-3.53	16	22	2764	970	156	156	156	247	41	5	5	5	3
pred	24390	-3.99	6	10	2764	1139	423	122	122	247	23	9	4	4	4
si	24051	-3.65	68	78	1761	79	79	79	79	1206	16	16	16	16	2
rokoch	23924	-6.17	2	2	917	356	12	6	1	936	860	90	13	3	6
keď	23887	-5.53	6	7	1091	24	2	2	2	15	8	1	1	1	3
počas	23557	-5.26	0	0	2764	970	39	3	3	351	33	4	1	1	5
ho	23479	-2.51	50	59	586	150	150	150	150	1083	439	439	439	439	2
ngc	23277	-6.53	2	2	1101	1	1	1	1	126	1	1	1	1	3
čo	23247	-4.5	36	40	238	9	9	9	9	1083	5	5	5	5	2
m	22814	-4.3	0	32	1018	1018	1018	1018	1018	1223	1223	1223	1223	1223	1
mesto	21818	-5.64	10	12	1018	182	38	24	2	1083	68	11	3	1	5
rokov	21786	-5.07	6	7	917	356	12	6	4	670	580	114	13	6	5
tak	21726	-4.63	18	28	778	103	34	34	34	353	29	2	2	2	3
neskôr	21602	-7.33	0	0	1101	282	28	13	1	379	6	4	4	2	6
tiež	21466	-7.26	4	5	778	40	6	1	1	21	5	2	2	2	4
roka	20998	-4.72	12	14	917	356	12	1	1	2423	278	6	3	3	4
len	20878	-4.48	30	34	432	123	5	5	5	403	56	6	6	6	3
ktorú	20413	-7.47	8	8	1091	15	14	13	1	324	4	1	1	1	5
de	19766	-2.89	54	68	940	153	153	153	153	2264	108	108	108	108	2
storočia	18793	-7.64	0	0	1761	378	29	7	5	2423	532	11	5	5	8
aby	18680	-4.86	8	11	615	23	1	1	1	1260	58	2	2	2	3
časti	17492	-4.9	10	12	238	47	39	14	5	1206	133	97	6	4	5
okrese	16349	-7.81	4	5	1034	55	25	11	10	2264	36	7	3	1	6
nie	16056	-3.29	12	19	1101	82	31	31	31	2264	600	256	256	256	3
veľmi	15796	-5.25	0	0	1578	197	24	3	1	1206	281	7	7	1	5
toho	15542	-6.02	6	7	778	54	3	2	2	1083	439	8	1	1	4
nad	15112	-4.31	16	18	1101	367	21	21	21	247	54	2	2	2	3
potom	14991	-4.61	4	5	2764	970	53	12	7	1223	761	59	3	1	5
tento	14691	-5.79	2	2	778	192	16	3	3	1083	68	5	2	1	5
objavil	14457	-6.28	2	5	1034	299	37	22	22	790	209	19	10	2	7
stal	14233	-3.96	14	19	1761	378	120	7	7	790	306	17	9	9	4
mesta	14094	-4.94	12	13	1018	182	38	24	2	2423	122	25	4	1	5
km	13933	-4.47	48	55	1091	8	8	8	8	1223	2	2	2	2	2
u	13811	-4.3	0	26	411	411	411	411	411	1587	1587	1587	1587	1587	1
pričom	13738	-6.27	2	2	2764	1139	251	3	1	1223	761	8	2	1	6
či	13715	-4.1	38	42	238	48	48	48	48	1206	8	8	8	8	2
časť	13479	-4.68	8	10	238	47	39	3	3	484	122	5	3	3	4
tejto	13352	-7.5	2	2	778	192	2	1	1	1083	68	2	2	1	5
the	13269	-4.32	4	7	778	18	5	5	5	2264	29	3	3	3	3
by	13247	-3.23	28	35	637	26	26	26	26	1260	58	58	58	58	2
slovensku	13176	-7.71	0	0	1761	136	68	51	22	1587	222	55	11	2	9
oblasti	13118	-6.98	2	2	1034	299	25	10	6	1206	133	97	6	2	7
zoznam	12920	-7.27	2	5	1082	69	6	6	5	1223	34	4	3	1	6
najmä	12891	-6.84	0	0	1101	367	112	11	1	2	1	1	1	1	5
mal	12818	-3.48	26	38	1018	284	28	28	28	790	306	5	5	5	3
mu	12700	-3.07	70	73	1018	39	39	39	39	1587	87	87	87	87	2
žije	12669	-5.54	2	2	157	89	6	1	1	2264	168	3	2	2	4
