word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
je	958484	-2.7	44	54	324	86	86	86	86	2858	757	757	757	757	2
v	624450	-4.3	0	12	891	891	891	891	891	646	646	646	646	646	1
in	555333	-3.32	44	60	732	109	109	109	109	698	92	92	92	92	2
na	315881	-1.93	52	66	1123	636	636	636	636	4024	689	689	689	689	2
se	237599	-3.17	64	75	1767	196	196	196	196	2858	41	41	41	41	2
so	231761	-3.61	56	70	1767	176	176	176	176	2464	10	10	10	10	2
ki	206233	-2.85	46	51	1164	48	48	48	48	3014	456	456	456	456	2
za	193306	-2.88	36	41	961	475	475	475	475	4024	37	37	37	37	2
leta	140693	-4.59	28	31	533	147	49	24	24	4024	198	40	4	4	4
z	138562	-4.3	0	8	961	961	961	961	961	52	52	52	52	52	1
pa	138251	-3.19	52	64	2998	162	162	162	162	4024	32	32	32	32	2
s	116854	-4.3	0	27	1767	1767	1767	1767	1767	283	283	283	283	283	1
tudi	112587	-4.73	12	12	810	59	1	1	1	3014	79	9	2	2	4
po	105294	-3.6	46	55	2998	1158	1158	1158	1158	2464	7	7	7	7	2
da	100450	-2.99	48	61	1052	105	105	105	105	4024	121	121	121	121	2
kot	97967	-4.87	16	21	1164	386	11	11	11	485	13	1	1	1	3
bil	93979	-3.69	22	31	657	87	9	9	9	805	249	16	16	16	3
pri	90462	-2.99	10	17	2998	1251	407	407	407	3014	79	1	1	1	3
iz	81388	-4.03	36	40	732	378	378	378	378	52	3	3	3	3	2
od	78693	-3.3	50	62	1293	253	253	253	253	248	41	41	41	41	2
med	74065	-4.42	24	27	1017	218	46	46	46	248	47	5	5	5	3
do	60238	-2.84	42	54	1052	316	316	316	316	2464	57	57	57	57	2
bila	55133	-4.22	22	24	657	87	9	1	1	4024	484	162	12	12	4
ga	48255	-2.87	42	47	573	41	41	41	41	4024	464	464	464	464	2
ali	47565	-3.6	10	15	569	85	2	2	2	3014	418	160	160	160	3
še	46424	-3.53	34	38	288	25	25	25	25	2858	34	34	34	34	2
lahko	44848	-6.95	8	8	533	99	8	6	2	2464	359	2	1	1	5
