word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
të	565682	-3.2	46	49	958	37	37	37	37	1807	305	305	305	305	2
e	543062	-4.3	0	32	506	506	506	506	506	3380	3380	3380	3380	3380	1
në	402644	-2.78	44	53	905	50	50	50	50	1807	426	426	426	426	2
dhe	251392	-4.49	24	30	1135	76	12	12	12	3380	54	12	12	12	3
i	240984	-4.3	0	32	454	454	454	454	454	2037	2037	2037	2037	2037	1
me	154268	-2.48	78	85	1512	228	228	228	228	3380	298	298	298	298	2
një	139268	-3.07	16	18	905	113	40	40	40	1807	123	22	22	22	3
nga	123844	-4.32	8	10	905	99	22	22	22	1872	22	6	6	6	3
për	119340	-2.83	8	10	2259	481	463	463	463	1307	90	11	11	11	3
është	104004	-6.49	6	8	18	5	4	3	1	1807	305	27	19	2	5
që	98391	-3.88	30	32	231	40	40	40	40	1807	9	9	9	9	2
më	82436	-2.95	66	69	1512	84	84	84	84	1807	85	85	85	85	2
u	68077	-4.3	0	24	281	281	281	281	281	209	209	209	209	209	1
si	65880	-2.93	64	78	1918	144	144	144	144	2037	164	164	164	164	2
te	59796	-2.51	58	70	958	215	215	215	215	3380	440	440	440	440	2
së	58540	-3.18	52	54	1918	18	18	18	18	1807	283	283	283	283	2
ka	55431	-2.68	72	87	1749	304	304	304	304	1872	93	93	93	93	2
edhe	47177	-5.46	2	3	506	31	2	2	2	3380	54	12	1	1	4
se	46703	-2.53	64	79	1918	148	148	148	148	3380	184	184	184	184	2
tij	39603	-6.06	16	22	958	69	4	4	4	238	9	4	4	4	3
ishte	35052	-5.16	6	8	454	48	14	2	1	3380	440	30	14	3	5
ne	34932	-2.92	56	68	905	72	72	72	72	3380	194	194	194	194	2
nuk	34603	-6.01	6	7	905	25	2	2	2	258	6	1	1	1	3
ai	30920	-4.21	74	87	1165	8	8	8	8	2037	13	13	13	13	2
janë	29427	-5.15	26	28	246	63	11	1	1	1807	426	38	3	3	4
duke	26903	-4.44	6	12	1135	66	27	5	5	3380	220	3	1	1	4
shumë	25340	-5.24	6	10	1918	914	27	22	8	1807	85	3	1	1	5
por	24561	-3.51	24	28	2259	214	36	36	36	1307	182	2	2	2	3
do	24344	-3.41	44	55	1135	123	123	123	123	278	25	25	25	25	2
vitin	23726	-5.72	10	11	827	130	14	4	1	2503	929	123	3	1	5
pas	22627	-3.49	38	45	2259	458	93	93	93	1085	62	2	2	2	3
tyre	19671	-5.41	12	14	958	6	1	1	1	3380	391	11	6	6	4
këtë	19402	-5.98	14	15	1749	150	12	1	1	1807	305	2	2	2	4
prej	19203	-3.92	8	9	2259	466	98	5	5	238	109	5	1	1	4
mund	18053	-4.34	6	10	1512	140	47	36	36	173	63	13	2	2	4
ku	17976	-2.95	62	69	1749	280	280	280	280	209	61	61	61	61	2
parë	17496	-3.83	36	40	2259	458	132	6	6	1807	217	65	3	3	4
disa	16540	-5.39	12	13	1135	231	46	2	2	1872	67	8	1	1	4
gjatë	16168	-5.3	14	16	697	318	38	11	5	1807	305	36	6	5	5
kjo	16111	-7.06	6	8	1749	1	1	1	1	278	8	1	1	1	3
deri	15772	-4.19	18	24	1135	223	19	5	5	2037	316	52	4	4	4
mbi	15582	-3.77	6	9	1512	215	29	29	29	2037	29	9	9	9	3
kur	15329	-3.25	22	29	1749	280	40	40	40	1307	216	17	17	17	3
kishte	15270	-5.8	2	4	1749	67	16	16	4	3380	440	30	14	3	6
saj	15221	-4.65	26	34	1918	93	6	6	6	238	50	4	4	4	3
ose	14563	-4.72	12	18	255	14	1	1	1	3380	184	5	5	5	3
dy	14529	-3.51	34	37	1135	37	37	37	37	98	8	8	8	8	2
kanë	14331	-4.0	24	26	1749	304	43	1	1	1807	426	38	3	3	4
t	13609	-4.3	0	24	958	958	958	958	958	3161	3161	3161	3161	3161	1
vitit	12870	-5.56	12	13	827	130	14	4	1	3161	1117	181	6	1	5
ajo	12784	-5.8	10	13	1165	15	1	1	1	278	8	3	3	3	3
vetëm	12703	-6.43	8	9	827	275	48	13	1	507	109	8	1	1	5
ta	12474	-3.19	60	69	958	70	70	70	70	1872	192	192	192	192	2
kantoni	12018	-7.02	2	6	1749	304	43	7	5	2037	245	98	8	2	7
cili	11982	-5.12	6	9	229	47	27	5	5	2037	158	17	3	3	4
atë	11523	-3.9	20	26	1165	68	7	7	7	1807	305	36	36	36	3
ky	11062	-4.15	46	51	1749	4	4	4	4	98	3	3	3	3	2
shqiptare	10937	-7.43	0	0	1918	914	64	43	39	3380	391	112	63	3	9
tjera	10862	-5.88	8	12	958	21	20	10	4	1872	329	25	3	1	5
ishin	10604	-5.22	2	5	454	48	14	2	1	2503	929	73	56	3	5
sipas	10583	-6.69	0	0	1918	144	16	1	1	1085	62	2	1	1	5
pjesë	10291	-4.89	6	11	2259	42	40	30	18	1807	283	42	2	1	5
këto	10196	-5.8	14	16	1749	150	12	1	1	278	33	1	1	1	4
ata	10154	-4.36	26	35	1165	68	1	1	1	1872	192	32	32	32	3
po	10029	-3.59	46	55	2259	214	214	214	214	278	10	10	10	10	2
s	10016	-4.3	0	26	1918	1918	1918	1918	1918	1085	1085	1085	1085	1085	1
qe	9885	-3.48	42	46	231	81	81	81	81	3380	18	18	18	18	2
para	9781	-3.79	34	40	2259	458	132	67	67	1872	329	93	3	3	4
rreth	9704	-6.44	0	3	862	223	82	29	29	238	18	5	3	2	5
the	9549	-3.9	12	20	958	142	65	65	65	3380	54	7	7	7	3
a	9442	-4.3	0	39	1165	1165	1165	1165	1165	1872	1872	1872	1872	1872	1
gjithë	9189	-6.38	4	5	697	318	59	30	28	1807	49	4	2	2	6
madhe	9188	-6.0	8	10	1512	360	25	18	1	3380	54	12	4	1	5
apo	9012	-5.03	6	10	1165	39	12	12	12	278	10	4	4	4	3
cila	8981	-5.63	10	12	229	47	27	3	3	1872	81	5	2	2	4
qenë	8891	-4.81	22	25	231	81	26	1	1	1807	426	20	1	1	4
pa	8817	-3.11	62	75	2259	458	458	458	458	1872	21	21	21	21	2
banorë	8620	-6.18	4	6	949	295	48	13	9	1807	217	46	1	1	6
shqipërisë	8514	-7.33	0	0	1918	914	64	43	39	1807	283	221	60	15	10
etj	8467	-6.76	4	7	506	26	2	2	2	238	2	1	1	1	3
ndërsa	8391	-6.24	2	2	905	306	95	90	1	1872	67	6	2	1	6
cilat	8329	-6.35	6	7	229	47	27	3	1	3161	358	20	1	1	5
de	8161	-3.04	58	73	1135	223	223	223	223	3380	48	48	48	48	2
ndryshme	8002	-6.81	0	1	905	306	34	23	23	3380	298	124	122	1	8
kësaj	7953	-7.73	2	2	1749	150	26	1	1	238	50	4	1	1	5
km	7947	-4.81	50	57	1749	2	2	2	2	507	1	1	1	1	2
nje	7776	-3.79	18	23	905	113	32	32	32	3380	237	10	10	10	3
ato	7764	-5.0	22	29	1165	68	9	9	9	278	33	5	5	5	3
gjitha	7716	-6.46	4	5	697	318	59	30	28	1872	45	3	2	2	6
madh	7684	-5.37	4	7	1512	360	25	18	18	238	18	1	1	1	4
gjithashtu	7370	-10.76	0	0	697	318	59	30	28	209	10	6	6	3	10
tjetër	7297	-6.76	6	6	958	21	20	9	1	1307	90	29	9	4	6
jo	7292	-4.0	30	38	246	41	41	41	41	278	8	8	8	8	2
duhet	7009	-4.98	14	15	1135	66	10	4	1	3161	847	227	10	1	5
njohur	7009	-6.27	0	3	905	113	28	19	8	1307	216	36	3	3	6
sipërfaqe	6980	-8.65	0	0	1918	144	16	12	12	3380	18	5	3	2	9
komuna	6980	-5.67	4	6	1749	536	168	36	36	1872	117	11	2	1	6
shqiptar	6967	-6.24	0	0	1918	914	64	43	39	1307	587	71	1	1	8
sa	6920	-2.99	66	82	1918	93	93	93	93	1872	67	67	67	67	2
