word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
је	1251382	-2.53	26	29	322	118	118	118	118	2563	455	455	455	455	2
у	944912	-4.3	0	14	655	655	655	655	655	1585	1585	1585	1585	1585	1
и	752771	-4.3	0	19	727	727	727	727	727	2241	2241	2241	2241	2241	1
на	389778	-1.97	40	53	912	542	542	542	542	4470	706	706	706	706	2
се	388298	-3.24	44	55	1740	148	148	148	148	2563	30	30	30	30	2
године	293158	-6.01	6	6	451	82	16	15	6	2563	479	98	10	3	6
од	284766	-3.4	28	41	1082	213	213	213	213	160	27	27	27	27	2
су	272081	-3.07	40	45	1740	92	92	92	92	1585	31	31	31	31	2
из	204410	-4.06	16	20	727	291	291	291	291	49	3	3	3	3	2
да	203387	-2.91	40	52	903	89	89	89	89	4470	152	152	152	152	2
а	200570	-4.3	0	24	527	527	527	527	527	4470	4470	4470	4470	4470	1
становника	189715	-8.2	0	0	1740	347	127	37	12	4470	492	122	80	12	10
за	184186	-2.85	28	33	579	354	354	354	354	4470	50	50	50	50	2
са	164546	-2.7	52	66	1740	228	228	228	228	4470	82	82	82	82	2
по	113821	-3.72	20	30	2509	930	930	930	930	1452	5	5	5	5	2
i	102317	-4.3	0	23	135	135	135	135	135	314	314	314	314	314	1
као	100330	-3.88	12	15	1066	215	1	1	1	1452	234	13	13	13	3
je	99570	-3.13	30	34	48	25	25	25	25	457	136	136	136	136	2
који	97934	-4.11	14	16	1066	407	12	4	4	2241	176	8	1	1	4
до	87712	-3.32	24	36	903	273	273	273	273	1452	17	17	17	17	2
био	86770	-3.88	18	22	702	94	4	4	4	1452	233	12	12	12	3
према	84350	-4.14	8	11	2509	1013	302	11	1	4470	486	16	7	4	5
u	79742	-4.3	0	12	90	90	90	90	90	212	212	212	212	212	1
што	76793	-5.1	6	8	189	37	2	2	2	1452	62	5	5	5	3
попису	75287	-6.28	2	3	2509	930	29	4	4	1585	31	7	3	2	6
налази	75191	-6.23	4	7	912	542	15	13	13	2241	35	19	11	2	6
која	63506	-4.02	28	28	1066	407	12	1	1	4470	355	13	1	1	4
износи	53253	-7.43	4	6	727	291	11	7	7	2241	33	9	8	1	6
број	51618	-4.38	4	10	702	142	40	21	21	291	224	5	1	1	4
становништва	50252	-10.73	0	0	1740	347	127	37	12	4470	299	45	6	3	12
se	49362	-3.78	56	61	314	27	27	27	27	457	7	7	7	7	2
више	47826	-5.01	20	22	671	137	15	8	8	2563	30	19	8	8	4
km²	45849	-4.71	0	2	154	2	1	1	1	4	2	1	1	1	3
које	45029	-3.86	20	22	1066	407	12	4	4	2563	455	16	1	1	4
око	42621	-4.14	12	16	1082	85	18	18	18	1452	153	7	7	7	3
m	42089	-4.3	0	25	168	168	168	168	168	130	130	130	130	130	1
или	41398	-4.28	6	13	727	12	7	7	7	2241	286	101	101	101	3
град	40847	-4.45	8	14	451	169	94	36	36	160	37	9	5	5	4
него	40429	-6.04	4	4	912	164	7	2	2	1452	14	2	1	1	4
код	40162	-5.44	26	30	1066	407	4	4	4	160	27	1	1	1	3
али	39692	-3.57	6	16	527	79	5	5	5	2241	286	91	91	91	3
ngc	39691	-5.47	4	4	195	1	1	1	1	25	3	1	1	1	3
општина	39148	-6.33	6	6	1082	94	21	21	15	4470	706	123	17	5	7
под	38608	-3.87	18	21	2509	930	85	85	85	160	27	2	2	2	3
има	37838	-3.46	10	20	727	37	14	14	14	4470	486	260	260	260	3
била	37530	-4.25	26	28	702	94	8	2	2	4470	410	128	9	9	4
било	36606	-4.8	10	12	702	94	8	1	1	1452	145	39	3	3	4
na	36483	-2.94	34	42	195	69	69	69	69	719	71	71	71	71	2
о	36475	-4.3	0	19	1082	1082	1082	1082	1082	1452	1452	1452	1452	1452	1
није	35592	-4.26	6	7	912	82	4	4	4	2563	455	311	42	42	4
након	34262	-5.96	6	6	912	542	6	1	1	606	80	4	3	1	5
da	32647	-3.44	40	48	162	17	17	17	17	719	41	41	41	41	2
то	32361	-3.52	24	36	667	57	57	57	57	1452	62	62	62	62	2
када	32067	-4.63	22	27	1066	215	5	2	2	4470	152	48	5	5	4
година	31922	-5.96	6	6	451	82	16	15	6	4470	706	123	12	4	6
још	31587	-5.86	8	9	322	23	1	1	1	25	10	1	1	1	3
држави	31572	-4.98	8	9	903	121	28	26	21	2241	119	28	1	1	6
метара	31491	-6.4	4	6	879	159	28	10	2	4470	284	83	18	6	6
општини	31122	-6.73	6	6	1082	94	21	21	15	2241	439	57	7	4	7
живело	31041	-6.57	6	8	127	51	38	7	4	1452	145	25	5	3	6
su	30528	-3.92	42	45	314	12	12	12	12	212	5	5	5	5	2
насеље	30313	-6.16	6	7	912	542	96	22	18	2563	36	8	1	1	6
савезној	29671	-8.41	0	0	1740	228	58	29	23	291	224	64	1	1	8
би	29435	-3.48	26	36	702	94	94	94	94	2241	24	24	24	24	2
za	28780	-3.1	26	30	62	30	30	30	30	719	64	64	64	64	2
магнитуда	28258	-11.68	0	0	879	260	11	5	2	4470	152	11	2	1	9
