word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
the	33128	-4.45	8	14	1038	68	29	29	29	1135	9	1	1	1	3
di	28848	-2.76	74	85	1483	857	857	857	857	1270	53	53	53	53	2
dina	25525	-3.56	20	29	1483	857	27	11	11	2780	989	104	7	7	4
nu	23745	-3.71	58	64	1162	67	67	67	67	414	11	11	11	11	2
jeung	23122	-4.68	0	4	368	49	3	2	1	1375	1277	189	16	3	5
anu	19675	-5.34	22	29	1187	183	3	3	3	414	11	4	4	4	3
of	17773	-4.18	32	35	329	17	17	17	17	108	4	4	4	4	2
nyaéta	15463	-7.98	4	7	1162	165	71	2	1	2780	181	6	1	1	6
ka	14229	-2.5	70	79	1491	755	755	755	755	2780	127	127	127	127	2
and	12400	-4.21	18	27	1187	183	13	13	13	825	84	47	47	47	3
ku	12329	-3.19	68	74	1491	134	134	134	134	414	37	37	37	37	2
sarta	12218	-5.28	14	15	2031	535	42	1	1	2780	181	23	9	1	5
a	11619	-4.3	0	41	1187	1187	1187	1187	1187	2780	2780	2780	2780	2780	1
in	11379	-2.83	50	69	583	297	297	297	297	3464	194	194	194	194	2
ti	10833	-3.33	70	82	1038	114	114	114	114	1270	123	123	123	123	2
to	10499	-3.41	52	62	1038	86	86	86	86	344	43	43	43	43	2
ieu	9823	-6.17	14	20	583	5	1	1	1	414	30	5	5	5	3
taun	9682	-5.19	4	7	1038	226	7	3	3	3464	681	6	3	3	4
indonésia	9521	-10.24	0	0	583	297	62	8	3	2780	190	30	6	5	9
jawa	8949	-4.79	24	25	368	173	6	5	5	2780	67	30	2	2	4
propinsi	8779	-7.64	0	0	1995	282	143	18	2	1270	359	30	2	1	8
is	8487	-3.12	68	83	583	61	61	61	61	2015	239	239	239	239	2
kacamatan	8316	-8.65	0	0	1491	755	17	7	1	3464	1786	151	62	6	9
salasahiji	8187	-9.94	0	0	2031	535	56	25	4	1270	32	10	6	5	10
kabupatén	7887	-10.31	0	0	1491	755	50	12	2	3464	97	11	5	3	9
atawa	7788	-6.26	0	1	1187	57	6	1	1	2780	67	30	2	1	5
pikeun	7690	-4.92	2	2	1995	109	7	1	1	3464	681	587	524	61	6
éta	7241	-4.79	12	15	127	12	2	2	2	2780	181	6	6	6	3
barat	7212	-4.95	8	11	1082	352	46	12	4	1069	261	33	11	2	5
aya	6995	-4.07	22	35	1187	10	7	7	7	2780	144	74	74	74	3
désa	6851	-5.95	12	12	1483	33	3	1	1	2780	117	5	2	2	4
hiji	6164	-4.54	6	7	541	86	7	3	3	1270	32	10	6	6	4
bisa	6048	-5.5	14	18	1082	115	8	2	2	2780	117	8	3	3	4
jadi	5551	-5.67	14	15	368	173	4	3	3	1270	53	16	5	5	4
basa	5051	-4.8	40	43	1082	352	27	5	5	2780	117	35	2	2	4
ogé	4948	-6.22	4	6	329	3	1	1	1	109	9	2	2	2	3
as	4748	-3.05	72	95	1187	110	110	110	110	2015	190	190	190	190	2
tina	4715	-4.34	24	28	1038	114	23	2	2	2780	989	104	20	20	4
kana	4329	-3.43	30	37	1491	755	60	10	10	2780	989	262	5	5	4
nya	4076	-2.93	14	20	1162	165	71	71	71	2780	144	28	28	28	3
for	4037	-3.36	10	15	460	86	36	36	36	1089	147	3	3	3	3
are	4018	-4.42	28	35	1187	127	6	6	6	1135	108	13	13	13	3
that	3934	-5.9	8	8	1038	68	6	1	1	1069	261	10	1	1	4
teu	3645	-5.0	14	17	1038	208	7	7	7	414	30	5	5	5	3
an	3562	-2.47	54	78	1187	183	183	183	183	3464	1786	1786	1786	1786	2
leuwih	3479	-6.91	0	2	688	151	28	9	7	711	78	5	1	1	6
kalénder	3447	-8.26	0	0	1491	755	86	8	2	1089	380	34	18	2	8
geus	3408	-5.19	6	7	569	131	9	2	2	2015	173	15	6	6	4
maséhi	3393	-8.8	2	2	1285	479	37	1	1	1270	25	1	1	1	6
by	3297	-3.95	32	38	1082	4	4	4	4	617	13	13	13	13	2
nepi	3224	-6.3	4	4	1162	97	5	3	3	1270	26	3	1	1	4
téh	3197	-4.17	20	21	1038	48	4	4	4	711	32	3	3	3	3
tapi	3174	-5.97	24	29	1038	226	9	2	2	1270	26	10	3	3	4
keur	3144	-4.14	2	2	1491	179	10	3	3	1089	158	17	3	3	4
be	3034	-3.64	62	75	1082	208	208	208	208	1135	9	9	9	9	2
with	2961	-5.73	2	3	377	86	4	4	4	711	51	4	1	1	4
s	2957	-4.3	0	35	2031	2031	2031	2031	2031	2015	2015	2015	2015	2015	1
kota	2846	-4.86	12	16	1491	218	8	5	5	2780	181	8	4	4	4
or	2739	-3.26	44	52	329	59	59	59	59	1089	147	147	147	147	2
sm	2680	-3.97	58	71	2031	15	15	15	15	410	13	13	13	13	2
on	2590	-3.5	36	55	329	20	20	20	20	3464	477	477	477	477	2
mangrupa	2518	-9.45	0	1	1285	479	111	37	4	2780	48	10	5	2	8
it	2475	-3.9	54	69	583	18	18	18	18	1069	120	120	120	120	2
nagara	2413	-6.59	6	6	1162	171	15	9	3	2780	229	113	21	15	6
this	2390	-5.54	6	7	1038	68	10	1	1	2015	239	2	1	1	4
ngaran	2322	-4.8	4	6	1162	471	362	59	24	3464	1786	155	59	4	6
rupa	2288	-5.45	10	10	852	74	4	3	3	2780	48	10	5	5	4
minangka	2256	-7.56	0	1	1285	172	45	10	6	2780	127	19	19	15	8
bandung	2246	-6.5	4	4	1082	352	72	13	1	1375	1277	189	18	10	7
sababaraha	2231	-9.74	0	0	2031	535	47	28	7	2780	32	15	4	2	10
from	2225	-5.83	2	3	460	58	5	1	1	410	37	4	1	1	4
mangrupakeun	2204	-10.96	0	0	1285	479	111	37	4	3464	681	587	524	69	12
disebut	2194	-7.13	4	4	1483	857	113	13	6	1069	103	21	10	4	7
mah	2170	-3.32	34	41	1285	479	19	19	19	711	324	17	17	17	3
dua	2165	-4.78	20	28	1483	59	7	7	7	2780	21	5	5	5	3
dipaké	2144	-6.79	4	4	1483	857	108	38	6	109	11	6	3	1	6
wewengkon	2139	-9.67	0	0	377	50	3	3	3	3464	477	9	3	3	9
sunda	2127	-5.44	4	5	2031	303	25	5	4	2780	127	29	4	1	5
urang	2055	-5.35	14	18	250	17	5	3	1	1375	1277	419	72	10	5
which	2027	-7.18	0	0	377	21	5	1	1	711	37	6	1	1	5
nyaeta	2017	-7.95	4	5	1162	165	71	1	1	2780	181	10	1	1	6
sacara	2004	-7.05	10	11	2031	535	4	2	1	2780	229	113	8	4	6
grégorian	1997	-9.61	0	0	569	71	2	2	2	3464	1786	123	17	2	9
kira	1964	-5.03	16	17	1491	81	6	2	2	2780	229	13	2	2	4
tengah	1960	-6.36	2	2	1038	208	25	8	3	711	324	13	9	8	6
was	1904	-4.08	34	42	377	148	6	6	6	2015	190	10	10	10	3
salaku	1860	-6.68	8	9	2031	535	56	25	6	414	37	14	5	2	6
miboga	1852	-8.72	2	2	1285	172	3	2	2	2780	107	5	4	3	6
boga	1847	-5.64	6	7	1082	103	4	2	2	2780	107	5	4	4	4
can	1807	-3.19	48	57	1181	202	28	28	28	3464	1786	16	16	16	3
manéhna	1804	-6.52	4	4	1285	479	111	2	2	2780	989	73	8	3	7
loba	1761	-5.52	8	9	688	95	6	3	3	2780	33	8	3	3	4
yén	1759	-5.58	10	10	88	3	1	1	1	3464	97	1	1	1	3
henteu	1743	-7.88	0	1	541	76	7	2	2	414	30	5	3	1	6
kecap	1701	-7.54	2	2	1491	179	7	3	2	226	49	6	1	1	5
sanggeus	1699	-7.93	0	2	2031	535	52	17	6	2015	173	15	6	4	8
bagian	1662	-6.31	4	4	1082	352	16	3	1	3464	1786	123	8	6	6
have	1611	-5.13	10	10	541	196	2	1	1	1135	106	9	2	2	4
kalayan	1611	-5.85	4	5	1491	755	86	17	1	3464	1786	21	10	2	7
jakarta	1600	-7.75	0	0	368	173	4	2	1	2780	181	23	9	5	7
has	1579	-4.02	36	42	541	196	14	14	14	2015	190	5	5	5	3
not	1578	-4.25	26	28	1162	81	13	13	13	1069	42	3	3	3	3
saméméh	1575	-8.68	0	0	2031	535	53	3	2	711	32	3	2	2	7
deui	1555	-6.66	6	7	1483	217	6	2	2	1270	7	1	1	1	4
antara	1548	-6.46	0	3	1187	183	51	19	12	2780	229	113	17	10	6
at	1522	-3.32	58	76	1187	57	57	57	57	1069	261	261	261	261	2
kidul	1521	-6.75	0	1	1491	81	8	5	4	837	70	7	3	1	5
kulon	1511	-5.93	2	3	1491	134	21	4	4	3464	477	10	3	2	5
waktu	1493	-6.61	0	0	377	148	6	3	2	414	49	2	2	2	5
lamun	1483	-5.52	2	4	688	201	23	2	1	3464	681	7	2	1	5
alatan	1477	-5.68	2	2	1187	138	17	2	1	3464	1786	151	62	3	6
mimiti	1476	-7.5	0	0	1285	172	6	6	3	1270	123	16	3	3	6
nalika	1470	-6.89	0	0	1162	171	4	2	1	2780	127	43	5	2	6
jepang	1469	-6.48	4	4	368	49	3	2	1	1375	1277	419	18	2	6
bogor	1443	-6.07	6	6	1082	103	4	2	1	1089	147	3	1	1	5
saperti	1417	-7.49	2	2	2031	535	36	6	4	1270	123	11	2	2	7
kalawan	1404	-5.87	2	2	1491	755	86	17	2	3464	1786	37	29	4	7
x	1402	-4.33	0	10	15	15	15	15	15	39	39	39	39	39	1
cara	1370	-4.33	28	32	1181	202	43	5	5	2780	229	113	8	8	4
also	1369	-6.54	0	1	1187	138	1	1	1	344	11	1	1	1	4
salah	1361	-4.95	24	24	2031	535	56	25	3	711	324	45	11	2	5
gregorian	1358	-9.76	0	0	569	71	15	1	1	3464	1786	123	17	2	9
cai	1341	-4.6	28	32	1181	202	6	6	6	1270	55	2	2	2	3
cirebon	1338	-8.17	0	0	1181	249	20	5	1	3464	477	12	2	1	7
tempat	1336	-6.5	0	2	1038	208	21	14	2	1069	261	18	6	4	6
dunya	1331	-6.54	4	4	1483	59	3	1	1	2780	144	28	3	2	5
biasana	1304	-7.47	0	3	1082	115	9	4	3	2780	989	262	22	7	7
ngan	1293	-3.24	0	2	1162	471	362	21	21	3464	1786	252	223	223	4
sarua	1289	-6.2	6	9	2031	535	42	7	2	2780	21	2	2	2	5
