word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
i	4367886	-4.3	0	28	573	573	573	573	573	254	254	254	254	254	1
och	3908488	-4.66	2	5	489	26	5	5	5	122	43	4	4	4	3
en	2644788	-2.62	46	61	614	89	89	89	89	2680	1471	1471	1471	1471	2
av	2586339	-3.33	50	55	1251	124	124	124	124	117	22	22	22	22	2
som	2489390	-4.2	22	26	2248	116	15	15	15	321	62	5	5	5	3
är	2433124	-4.18	34	45	105	13	13	13	13	2327	45	45	45	45	2
ingår	1097394	-5.47	2	3	573	377	28	7	1	2327	37	9	1	1	5
finns	1055354	-5.95	6	8	1385	138	42	6	1	2928	322	9	4	2	5
på	1047548	-3.85	26	28	1066	43	43	43	43	53	4	4	4	4	2
att	1041516	-4.13	16	24	1251	48	13	13	13	2058	141	29	29	29	3
den	1030103	-3.21	34	42	823	186	18	18	18	2680	1471	171	171	171	3
familjen	1014827	-8.54	0	0	1385	134	8	7	7	2680	1471	10	6	4	8
till	986280	-4.22	28	31	1039	186	106	105	105	534	151	21	6	6	4
släktet	930376	-6.45	4	5	2248	83	24	11	11	2058	626	107	7	1	7
med	924272	-3.91	28	31	1240	203	74	74	74	739	31	7	7	7	3
beskrevs	918188	-9.67	0	1	1309	413	77	17	13	2928	32	8	7	3	8
underarter	917305	-8.64	0	0	619	101	51	41	41	2327	1098	294	23	10	10
inga	917240	-3.44	12	13	573	377	28	1	1	3436	196	26	5	5	4
listade	892465	-5.82	0	0	948	206	16	8	5	2078	764	393	50	7	7
för	847379	-2.79	24	30	1385	413	376	376	376	2327	63	15	15	15	3
det	676863	-3.62	34	36	823	186	8	8	8	2058	626	90	90	90	3
var	651388	-3.07	28	41	670	175	75	75	75	2327	680	15	15	15	3
han	646986	-3.41	40	52	887	197	51	51	51	2680	353	9	9	9	3
ett	628676	-4.88	8	16	614	23	4	4	4	2058	141	29	29	29	3
de	627969	-2.48	50	62	823	186	186	186	186	2078	764	764	764	764	2
har	564585	-3.42	44	49	887	197	23	23	23	2327	680	4	4	4	3
från	448231	-5.12	2	4	1385	187	8	2	2	2680	18	10	7	7	4
vid	345713	-4.1	26	32	670	165	9	9	9	739	50	9	9	9	3
under	330935	-4.46	0	1	619	101	51	41	41	2327	1098	113	33	6	5
om	306707	-3.45	44	54	489	80	80	80	80	321	62	62	62	62	2
år	287291	-3.37	38	50	126	33	33	33	33	2327	37	37	37	37	2
sig	261316	-4.25	18	22	2248	116	20	20	20	782	115	2	2	2	3
efter	260360	-4.71	4	4	614	30	20	20	20	2327	1098	294	18	4	5
först	258731	-4.46	8	13	1385	413	376	76	28	2058	159	9	2	1	5
men	245112	-2.82	32	34	1240	203	13	13	13	2680	1471	67	67	67	3
även	241625	-5.72	2	3	105	3	3	3	3	2680	1471	29	1	1	4
blev	214030	-5.47	6	7	1309	77	9	1	1	117	16	5	3	3	4
inte	213447	-4.72	12	15	573	377	69	36	36	2078	160	11	2	2	4
hade	211480	-4.47	22	22	887	197	3	2	2	2078	764	393	3	3	4
sin	207026	-4.39	42	47	2248	116	24	24	24	2680	146	10	10	10	3
eller	205887	-5.15	2	6	614	67	7	2	1	2327	1098	74	33	7	5
där	188668	-4.04	24	27	823	21	18	18	18	2327	45	2	2	2	3
kan	186737	-3.69	40	47	1110	197	35	35	35	2680	353	35	35	35	3
över	186394	-3.26	6	7	177	88	83	83	83	2327	1098	36	5	5	4
man	186353	-3.24	56	63	1240	332	44	44	44	2680	353	53	53	53	3
hon	175030	-3.74	32	37	887	104	12	12	12	2680	420	5	5	5	3
andra	174156	-4.7	6	11	1251	285	34	15	4	3436	346	18	12	7	5
fjärilsart	167087	-12.32	0	0	1385	17	14	8	4	2058	172	85	16	1	10
då	166155	-4.31	40	42	823	7	7	7	7	53	2	2	2	2	2
första	160657	-4.63	6	7	1385	413	376	76	28	3436	400	56	10	2	6
född	158092	-5.06	4	6	1385	413	13	4	4	739	21	1	1	1	4
kommun	156689	-5.93	0	2	1110	342	106	50	28	2680	20	5	3	3	6
tvåvingeart	153627	-13.29	0	0	1039	21	5	2	2	2058	172	85	12	1	11
hans	151394	-4.07	20	25	887	197	51	4	4	2928	322	54	3	3	4
genom	147513	-5.97	0	1	709	127	64	26	26	321	62	10	4	4	5
ligger	145110	-6.29	2	2	948	206	12	3	1	2327	1098	59	4	2	6
talet	139483	-5.55	12	13	1039	96	24	5	2	2058	626	58	20	7	5
vilket	138634	-7.17	2	2	670	165	30	4	2	2058	626	36	2	1	6
sedan	136384	-6.28	12	13	2248	156	7	1	1	2680	353	26	6	2	5
bland	134251	-5.19	10	15	1309	77	26	13	9	739	164	86	61	3	5
fick	131523	-4.7	12	12	1385	138	2	1	1	456	87	27	2	2	4
två	131302	-5.48	0	2	1039	21	5	5	5	53	2	1	1	1	3
så	130906	-3.9	52	59	2248	32	32	32	32	53	4	4	4	4	2
in	128559	-2.87	44	61	573	377	377	377	377	2680	146	146	146	146	2
också	128346	-7.83	0	0	489	26	8	1	1	53	4	1	1	1	5
sverige	127532	-7.74	0	1	2248	70	24	5	4	2078	74	7	2	1	7
enligt	127522	-7.23	0	0	614	89	2	2	2	2058	94	74	52	5	6
mot	125866	-3.86	26	31	1240	212	53	53	53	2058	30	12	12	12	3
of	124534	-4.21	36	39	489	23	23	23	23	63	4	4	4	4	2
mellan	122528	-5.87	0	1	1240	203	29	8	5	2680	353	40	9	5	6
kvadratkilometer	121916	-18.74	0	0	1110	50	36	3	3	2327	1098	294	46	9	16
detta	121487	-5.75	2	3	823	186	8	1	1	3436	400	45	4	1	5
meter	114418	-4.72	12	13	1240	203	22	4	2	2327	1098	294	46	9	5
havet	113721	-5.62	4	6	887	197	14	5	2	2058	626	25	4	3	5
när	111259	-3.99	20	23	528	55	24	24	24	2327	45	6	6	6	3
samt	110083	-4.6	8	10	2248	224	81	9	9	2058	19	8	7	7	4
invånare	108794	-9.14	0	0	573	377	24	4	4	2078	345	250	21	1	8
avrinningsområdet	106201	-14.4	0	0	1251	124	11	5	5	2058	626	90	10	10	17
död	104956	-4.19	12	17	823	38	16	16	16	739	11	2	2	2	3
arten	104139	-4.91	10	13	1251	179	24	5	2	2680	1471	234	16	6	5
sitt	99344	-4.85	18	20	2248	116	8	5	5	2058	141	14	2	2	4
the	98973	-4.44	4	9	1039	54	18	18	18	2078	28	7	7	7	3
annat	98142	-5.57	2	3	1251	285	15	4	1	2058	190	16	3	2	5
inom	97839	-5.25	0	0	573	377	9	2	2	321	62	10	1	1	4
s	95197	-4.3	0	33	2248	2248	2248	2248	2248	2928	2928	2928	2928	2928	1
ut	94632	-3.12	28	35	619	261	261	261	261	2058	29	29	29	29	2
skalbaggsart	93960	-13.52	0	0	2248	251	55	9	2	2058	172	85	16	3	12
artens	92272	-6.04	2	3	1251	179	24	5	2	2928	322	177	21	2	6
utbredningsområde	92252	-14.09	0	0	619	261	25	11	6	2078	764	9	8	8	17
upp	90346	-3.13	0	3	619	186	183	183	183	147	40	12	12	12	3
insektsart	90317	-11.3	0	0	573	377	63	7	4	2058	172	85	16	2	10
flera	90241	-5.65	2	4	1385	120	12	6	1	3436	346	117	8	1	5
svenska	90120	-6.29	4	7	2248	70	24	14	12	3436	376	269	50	9	7
senare	88310	-6.83	0	0	2248	156	18	11	1	2078	345	250	21	1	6
olika	87253	-5.95	0	1	489	48	13	1	1	3436	376	34	4	1	5
kommunen	86720	-6.96	0	1	1110	342	106	50	28	2680	1471	148	2	2	8
skulle	86433	-6.75	0	2	2248	251	13	10	2	2078	90	32	2	2	6
denna	85030	-5.54	4	5	823	186	18	5	2	3436	633	40	1	1	5
a	84715	-4.3	0	35	1251	1251	1251	1251	1251	3436	3436	3436	3436	3436	1
dock	83211	-4.97	14	15	823	96	4	1	1	456	87	18	1	1	4
kom	82820	-3.37	22	26	1110	342	106	106	106	321	62	9	9	9	3
ha	80682	-3.23	56	66	887	197	197	197	197	3436	31	31	31	31	2
sina	78908	-4.75	20	22	2248	116	24	1	1	3436	633	60	4	4	4
samma	78746	-4.67	14	15	2248	224	81	23	22	3436	134	43	16	10	5
många	78312	-4.74	6	7	1240	48	18	5	1	3436	196	26	7	1	5
vara	77554	-4.44	30	37	670	175	75	8	8	3436	346	32	8	8	4
släkte	73705	-6.14	0	4	2248	83	24	11	11	2078	160	23	2	2	6
stekelart	73620	-9.46	0	0	2248	492	51	3	2	2058	172	85	8	4	9
stora	73265	-5.22	12	13	2248	492	50	30	1	3436	346	33	2	2	5
dessa	72282	-5.47	0	3	823	186	21	6	2	3436	119	21	6	2	5
del	72133	-4.0	24	31	823	186	52	52	52	534	128	18	18	18	3
alla	71403	-4.31	18	25	1251	145	46	2	2	3436	287	116	7	7	4
tre	71280	-3.56	12	20	1039	209	22	22	22	2078	345	7	7	7	3
