word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
ya	170594	-2.4	52	62	336	255	255	255	255	7865	196	196	196	196	2
na	125594	-2.7	72	96	588	141	141	141	141	7865	613	613	613	613	2
wa	114032	-1.53	56	69	1498	1297	1297	1297	1297	7865	1602	1602	1602	1602	2
kwa	54302	-3.21	14	21	3067	39	22	22	22	7865	1602	88	88	88	3
katika	51669	-5.41	6	12	3067	292	34	11	5	7865	626	317	9	4	6
ni	46710	-2.69	70	77	588	71	71	71	71	3602	674	674	674	674	2
la	33651	-2.86	68	82	547	99	99	99	99	7865	201	201	201	201	2
za	27382	-2.82	46	52	432	46	46	46	46	7865	450	450	450	450	2
mwaka	22729	-4.45	14	16	2329	171	97	5	2	7865	626	91	4	1	5
kama	18400	-4.63	28	35	3067	292	34	7	7	7865	275	78	4	4	4
cha	16613	-3.03	14	24	564	192	73	73	73	7865	529	35	35	35	3
mji	13857	-4.06	16	22	2329	17	3	3	3	3602	322	2	2	2	3
kuwa	13602	-2.54	26	33	3067	1459	105	93	93	7865	1602	104	100	100	4
yake	10754	-5.35	20	23	336	255	11	1	1	1421	64	27	3	3	4
au	10296	-3.74	84	95	1767	30	30	30	30	1015	33	33	33	33	2
kutoka	9990	-4.66	12	16	3067	1459	160	40	11	7865	626	64	39	2	6
pia	9771	-4.01	36	41	547	54	2	2	2	7865	897	10	10	10	3
nchini	9372	-7.22	2	3	588	5	4	2	1	3602	674	173	8	4	6
hii	9070	-5.99	22	29	987	74	1	1	1	3602	39	1	1	1	3
watu	8347	-4.83	14	16	1498	1297	63	14	14	1015	56	16	1	1	4
zaidi	7985	-6.35	4	6	432	46	7	2	1	3602	261	102	9	1	5
baada	7942	-6.09	4	7	661	204	8	5	4	7865	256	28	6	1	5
nchi	7660	-5.88	4	6	588	5	4	2	2	3602	201	27	6	6	4
kati	7638	-4.1	32	37	3067	292	34	11	11	3602	274	64	11	11	4
lugha	7505	-5.83	0	0	547	43	5	1	1	7865	529	4	2	2	5
wakazi	7481	-5.54	10	11	1498	1297	144	62	2	3602	313	49	17	8	6
jina	7455	-5.07	24	28	261	41	11	4	4	7865	613	62	2	2	4
vya	7362	-4.32	6	10	418	27	9	9	9	7865	196	3	3	3	3
wake	7361	-4.59	26	29	1498	1297	144	3	3	1421	64	27	4	4	4
wakati	6927	-5.1	4	5	1498	1297	144	62	6	3602	274	64	11	8	6
lakini	6875	-6.57	2	3	547	99	8	2	1	3602	674	173	12	5	6
kwenye	6756	-7.21	4	6	3067	39	9	5	2	1421	41	15	11	3	6
pamoja	6251	-7.68	0	0	547	160	8	1	1	7865	106	9	7	2	6
alikuwa	6227	-5.28	10	17	1767	628	531	31	13	7865	1602	104	100	19	7
kwanza	6121	-5.8	6	8	3067	39	22	7	3	7865	450	75	56	2	6
wilaya	6039	-7.27	0	1	1498	71	20	3	3	7865	196	36	6	2	6
juu	5800	-5.34	10	12	261	57	1	1	1	1015	31	1	1	1	3
hadi	5781	-4.58	30	36	987	313	9	2	2	3602	261	34	5	5	4
mkoa	5564	-5.03	6	8	2329	65	14	2	2	7865	104	9	2	2	4
miaka	5422	-5.59	8	12	2329	313	10	1	1	7865	626	91	3	1	5
mara	5336	-3.62	38	45	2329	907	101	14	14	7865	214	87	6	6	4
moja	5280	-4.87	8	11	2329	124	3	3	3	7865	106	9	7	7	4
eneo	5277	-5.74	6	8	291	35	2	1	1	1724	64	11	5	5	4
idadi	5202	-6.76	0	1	1150	12	4	1	1	3602	261	34	3	3	5
mkuu	5131	-5.49	4	8	2329	65	12	1	1	1015	31	13	1	1	4
mnamo	4968	-7.08	0	1	2329	19	5	1	1	1724	83	18	3	1	5
sehemu	4804	-7.45	0	2	922	102	2	1	1	1015	185	9	6	5	6
hasa	4753	-5.33	26	29	987	313	10	3	3	7865	105	29	2	2	4
marekani	4590	-7.16	0	0	2329	907	101	10	2	3602	674	243	28	7	8
huu	4520	-4.16	16	23	987	419	9	9	9	1015	31	1	1	1	3
ambayo	4492	-6.09	12	15	1767	141	14	12	2	1724	92	30	3	1	6
sensa	4451	-6.8	0	0	922	102	15	1	1	7865	105	7	1	1	5
kata	4451	-4.11	38	44	3067	292	34	6	6	7865	347	133	8	8	4
ilikuwa	4437	-5.45	6	14	1150	386	365	15	6	7865	1602	104	100	19	7
tanzania	4408	-8.18	0	0	597	154	25	3	2	7865	897	86	43	5	8
ndani	4387	-5.34	2	5	588	42	5	2	1	3602	674	243	18	11	5
kwamba	4339	-6.26	6	7	3067	39	22	2	1	7865	199	107	36	4	6
hivyo	4304	-6.03	6	8	987	74	4	1	1	1724	92	31	17	2	5
sana	4297	-3.92	48	56	922	191	31	4	4	7865	613	432	3	3	4
kuna	4291	-3.94	32	36	3067	1459	40	13	13	7865	613	14	2	2	4
nyingi	4101	-6.72	0	1	588	86	6	3	3	3602	54	38	17	3	6
ina	4029	-2.74	32	45	1150	360	290	290	290	7865	613	62	62	62	3
kazi	3944	-4.54	18	21	3067	292	5	2	2	3602	313	49	17	17	4
kusini	3932	-5.22	4	5	3067	1459	110	25	3	3602	674	173	6	1	6
afrika	3921	-6.55	2	2	1767	27	8	7	1	7865	626	317	34	4	6
jimbo	3884	-6.87	8	8	261	41	4	2	2	1724	83	60	11	4	5
hiyo	3837	-5.88	14	17	987	74	2	2	2	1724	92	10	2	2	4
hata	3721	-4.58	32	37	987	313	20	6	6	7865	347	133	1	1	4
kubwa	3714	-4.2	8	12	3067	1459	32	1	1	7865	1602	28	11	11	5
sababu	3592	-5.81	2	3	922	191	8	6	2	1015	122	41	6	3	6
chini	3586	-4.93	2	4	564	192	30	5	1	3602	674	173	8	4	5
kundi	3503	-4.64	12	13	3067	1459	40	4	3	3602	261	56	18	6	5
mujibu	3499	-7.37	4	4	2329	111	3	1	1	1015	122	60	11	2	6
wapatao	3469	-7.76	0	0	1498	1297	24	7	2	1724	66	5	3	1	7
yao	3419	-4.51	30	39	336	255	2	2	2	1724	66	4	4	4	3
huko	3363	-3.94	16	18	987	419	25	3	3	1724	168	35	2	2	4
iliyofanyika	3358	-8.17	0	0	1150	386	365	106	106	7865	626	317	34	34	12
kenya	3344	-5.94	6	10	3067	58	17	5	3	7865	196	110	8	5	5
tu	3327	-3.3	60	68	597	85	85	85	85	1015	56	56	56	56	2
makala	3275	-5.96	8	9	2329	907	76	33	2	7865	201	70	5	5	6
kila	3245	-4.2	34	38	3067	1016	105	8	8	7865	201	32	3	3	4
mbalimbali	3216	-9.12	0	0	2329	66	17	3	2	3602	351	129	30	5	10
lake	3186	-5.96	22	24	547	99	8	2	2	1421	64	27	3	3	4
tarehe	3062	-7.98	0	1	597	154	14	1	1	1421	40	8	3	2	6
bahari	3032	-6.26	8	10	661	204	9	6	3	3602	301	100	19	7	6
kaskazini	2989	-9.69	0	0	3067	292	26	2	2	3602	674	173	8	5	9
kristo	2963	-7.18	0	2	3067	25	13	8	4	1724	120	7	5	5	6
wengi	2953	-5.83	10	10	1498	69	17	5	3	3602	54	38	4	2	5
mashariki	2945	-7.58	0	0	2329	907	86	35	16	3602	226	125	36	12	9
kawaida	2943	-8.14	0	0	3067	292	2	2	1	7865	256	16	5	2	7
ambao	2938	-5.79	2	11	1767	141	14	12	1	1724	66	8	3	2	5
the	2919	-4.24	12	20	597	69	24	24	24	1421	40	2	2	2	3
ili	2904	-2.84	20	31	1150	386	365	365	365	3602	351	108	108	108	3
mjini	2893	-6.23	4	8	2329	17	3	1	1	3602	674	173	9	1	5
