word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
க	2373629	-4.3	0	66	483	483	483	483	483	526	526	526	526	526	1
த	1924401	-4.3	0	56	365	365	365	365	365	595	595	595	595	595	1
ப	1540235	-4.3	0	56	465	465	465	465	465	427	427	427	427	427	1
ம	1377338	-4.3	0	58	312	312	312	312	312	609	609	609	609	609	1
ட	1247656	-4.3	0	55	228	228	228	228	228	290	290	290	290	290	1
ல	1084172	-4.31	0	57	199	199	199	199	199	399	399	399	399	399	1
ர	963055	-4.3	0	56	294	294	294	294	294	526	526	526	526	526	1
ய	923360	-4.3	0	58	242	242	242	242	242	143	143	143	143	143	1
ன	909750	-4.31	0	55	139	139	139	139	139	456	456	456	456	456	1
ற	848188	-4.31	0	48	130	130	130	130	130	217	217	217	217	217	1
வ	773045	-4.3	0	58	340	340	340	340	340	357	357	357	357	357	1
ச	740833	-4.3	0	55	340	340	340	340	340	269	269	269	269	269	1
கள	605311	-2.95	94	134	483	31	31	31	31	234	108	108	108	108	2
ந	585508	-4.31	0	54	158	158	158	158	158	247	247	247	247	247	1
ள	367020	-4.32	0	45	99	99	99	99	99	234	234	234	234	234	1
பட	330788	-3.09	108	150	465	37	37	37	37	290	41	41	41	41	2
ண	212475	-4.32	0	47	80	80	80	80	80	179	179	179	179	179	1
என	152322	-3.76	110	133	115	22	22	22	22	456	5	5	5	5	2
ழ	148699	-4.33	0	40	58	58	58	58	58	75	75	75	75	75	1
கப	112904	-3.2	112	163	483	21	21	21	21	427	40	40	40	40	2
இர	107837	-4.06	110	139	284	37	37	37	37	526	2	2	2	2	2
தல	104433	-3.29	112	157	365	26	26	26	26	399	23	23	23	23	2
ஸ	103376	-4.35	0	48	34	34	34	34	34	133	133	133	133	133	1
வர	102012	-2.92	108	169	340	56	56	56	56	526	96	96	96	96	2
பத	96211	-3.23	110	160	465	22	22	22	22	595	42	42	42	42	2
றத	87778	-3.83	108	133	130	5	5	5	5	595	13	13	13	13	2
ஒர	83976	-4.05	106	122	62	11	11	11	11	526	3	3	3	3	2
மற	83743	-3.43	96	121	312	10	10	10	10	217	45	45	45	45	2
இந	79592	-4.57	108	120	284	2	2	2	2	247	2	2	2	2	2
டத	79114	-3.58	110	148	228	10	10	10	10	595	20	20	20	20	2
ஆண	67885	-4.46	104	114	238	10	10	10	10	179	1	1	1	1	2
தம	67135	-3.15	114	163	365	33	33	33	33	609	36	36	36	36	2
அம	63057	-3.47	114	143	378	28	28	28	28	609	10	10	10	10	2
தத	62754	-3.38	110	148	365	13	13	13	13	595	31	31	31	31	2
ங	62236	-4.51	0	34	7	7	7	7	7	342	342	342	342	342	1
இத	62100	-4.38	112	133	284	39	39	39	39	595	1	1	1	1	2
கர	61438	-3.12	110	171	483	47	47	47	47	526	72	72	72	72	2
வத	61196	-3.34	110	157	340	19	19	19	19	595	37	37	37	37	2
ஆக	59414	-3.96	130	152	238	18	18	18	18	526	3	3	3	3	2
கத	58717	-3.29	112	164	483	17	17	17	17	595	57	57	57	57	2
கல	57795	-3.08	114	167	483	48	48	48	48	399	42	42	42	42	2
யல	57635	-3.45	112	149	242	22	22	22	22	399	21	21	21	21	2
கட	56516	-3.26	110	156	483	41	41	41	41	290	22	22	22	22	2
தன	55582	-3.38	110	154	365	24	24	24	24	456	29	29	29	29	2
அத	55380	-3.96	110	138	378	18	18	18	18	595	3	3	3	3	2
ஜ	54586	-4.31	0	47	127	127	127	127	127	41	41	41	41	41	1
கம	54439	-3.04	116	171	483	40	40	40	40	609	61	61	61	61	2
டன	54312	-3.62	110	150	228	13	13	13	13	456	20	20	20	20	2
உள	53923	-4.14	92	104	251	15	15	15	15	234	2	2	2	2	2
பர	52183	-3.03	108	163	465	74	74	74	74	526	35	35	35	35	2
லத	49676	-3.34	110	149	199	15	15	15	15	595	39	39	39	39	2
கவ	49530	-3.16	116	163	483	51	51	51	51	357	31	31	31	31	2
யர	49279	-3.39	108	158	242	22	22	22	22	526	28	28	28	28	2
ஆம	47946	-4.58	116	133	238	5	5	5	5	609	1	1	1	1	2
டர	47490	-3.39	108	152	228	20	20	20	20	526	20	20	20	20	2
யத	46352	-3.28	110	155	242	17	17	17	17	595	45	45	45	45	2
டம	46056	-3.43	114	159	228	21	21	21	21	609	25	25	25	25	2
டப	43564	-3.51	110	154	228	15	15	15	15	427	22	22	22	22	2
னர	43255	-3.4	106	147	139	15	15	15	15	526	30	30	30	30	2
பக	43178	-3.24	128	176	465	28	28	28	28	526	29	29	29	29	2
பல	41206	-3.23	112	152	465	58	58	58	58	399	19	19	19	19	2
தப	39270	-3.48	110	147	365	16	16	16	16	427	16	16	16	16	2
அவர	38791	-3.83	114	125	378	43	8	8	8	526	96	1	1	1	3
யம	38778	-3.11	114	162	242	30	30	30	30	609	54	54	54	54	2
ளத	38762	-3.85	106	128	99	4	4	4	4	595	23	23	23	23	2
அல	37302	-4.37	112	141	378	27	27	27	27	399	1	1	1	1	2
அட	35782	-4.01	108	130	378	12	12	12	12	290	3	3	3	3	2
இவர	35289	-4.49	90	96	284	13	2	2	2	526	96	1	1	1	3
உர	35119	-3.98	108	131	251	15	15	15	15	526	3	3	3	3	2
வட	34185	-3.12	108	146	340	38	38	38	38	290	30	30	30	30	2
றன	34134	-3.77	108	131	130	13	13	13	13	456	6	6	6	6	2
மன	33939	-3.11	110	157	312	35	35	35	35	456	40	40	40	40	2
தர	33853	-3.18	108	158	365	51	51	51	51	526	31	31	31	31	2
இல	33284	-3.82	114	138	284	27	27	27	27	399	4	4	4	4	2
லம	33260	-3.32	114	161	199	21	21	21	21	609	42	42	42	42	2
கண	32968	-3.39	104	138	483	20	20	20	20	179	25	25	25	25	2
அற	30736	-4.41	96	117	378	16	16	16	16	217	1	1	1	1	2
னத	30579	-3.42	108	149	139	11	11	11	11	595	49	49	49	49	2
மக	29815	-3.28	128	172	312	34	34	34	34	526	28	28	28	28	2
றப	28946	-3.8	108	126	130	7	7	7	7	427	11	11	11	11	2
நட	28796	-3.5	108	127	158	22	22	22	22	290	11	11	11	11	2
ளர	28602	-3.64	104	128	99	14	14	14	14	526	13	13	13	13	2
யப	28344	-3.46	110	147	242	11	11	11	11	427	32	32	32	32	2
வக	28201	-3.25	128	179	340	23	23	23	23	526	38	38	38	38	2
சர	27509	-3.15	108	159	340	40	40	40	40	526	37	37	37	37	2
ரம	27393	-3.03	116	169	294	34	34	34	34	609	90	90	90	90	2
வந	27362	-3.63	106	137	340	8	8	8	8	247	21	21	21	21	2
பயன	27100	-3.8	84	98	465	37	11	11	11	456	29	3	3	3	3
அன	27075	-4.4	110	136	378	17	17	17	17	456	1	1	1	1	2
அண	26930	-4.37	102	111	378	4	4	4	4	179	2	2	2	2	2
சம	26127	-2.99	114	158	340	73	73	73	73	609	40	40	40	40	2
ஹ	25987	-4.33	0	46	49	49	49	49	49	40	40	40	40	40	1
ரத	25572	-3.27	112	164	294	17	17	17	17	595	85	85	85	85	2
