word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
న	1565151	-4.3	0	83	379	379	379	379	379	970	970	970	970	970	1
ర	1436685	-4.3	0	74	563	563	563	563	563	749	749	749	749	749	1
ల	1349464	-4.3	0	85	327	327	327	327	327	926	926	926	926	926	1
క	1212057	-4.3	0	82	487	487	487	487	487	660	660	660	660	660	1
ప	889392	-4.3	0	73	391	391	391	391	391	400	400	400	400	400	1
స	886935	-4.3	0	72	287	287	287	287	287	357	357	357	357	357	1
త	870760	-4.3	0	78	353	353	353	353	353	539	539	539	539	539	1
వ	797450	-4.3	0	74	389	389	389	389	389	349	349	349	349	349	1
ద	785053	-4.3	0	72	298	298	298	298	298	329	329	329	329	329	1
య	728222	-4.3	0	73	378	378	378	378	378	295	295	295	295	295	1
గ	685731	-4.3	0	73	293	293	293	293	293	320	320	320	320	320	1
చ	665868	-4.3	0	63	227	227	227	227	227	225	225	225	225	225	1
ట	595937	-4.3	0	66	193	193	193	193	193	277	277	277	277	277	1
మ	566872	-4.3	0	77	375	375	375	375	375	648	648	648	648	648	1
డ	566509	-4.3	0	63	171	171	171	171	171	370	370	370	370	370	1
బ	230766	-4.3	0	65	166	166	166	166	166	139	139	139	139	139	1
జ	225897	-4.3	0	67	281	281	281	281	281	96	96	96	96	96	1
శ	198923	-4.31	0	56	140	140	140	140	140	144	144	144	144	144	1
ధ	149687	-4.3	0	56	149	149	149	149	149	77	77	77	77	77	1
మర	144319	-3.1	152	215	375	49	49	49	49	749	43	43	43	43	2
ష	143934	-4.3	0	56	150	150	150	150	150	49	49	49	49	49	1
భ	116791	-4.31	0	51	111	111	111	111	111	105	105	105	105	105	1
అన	91829	-4.04	160	193	368	36	36	36	36	970	2	2	2	2	2
హ	90152	-4.3	0	60	159	159	159	159	159	120	120	120	120	120	1
లన	78940	-3.04	160	224	327	23	23	23	23	970	171	171	171	171	2
ఈ	76236	-4.31	0	26	79	79	79	79	79	2	2	2	2	2	1
థ	74866	-4.31	0	39	69	69	69	69	69	44	44	44	44	44	1
ఉ	71610	-4.31	0	26	137	137	137	137	137	1	1	1	1	1	1
ఫ	71159	-4.32	0	51	48	48	48	48	48	46	46	46	46	46	1
ణ	69901	-4.31	0	47	96	96	96	96	96	121	121	121	121	121	1
అ	66419	-4.3	0	32	368	368	368	368	368	4	4	4	4	4	1
ఒక	65434	-4.06	150	173	82	33	33	33	33	660	2	2	2	2	2
పర	63428	-2.92	148	212	391	70	70	70	70	749	79	79	79	79	2
ళ	61052	-4.31	0	49	68	68	68	68	68	108	108	108	108	108	1
కల	58979	-2.91	170	234	487	88	88	88	88	926	48	48	48	48	2
ఉన	56356	-4.67	154	160	137	2	2	2	2	970	1	1	1	1	2
తర	53515	-3.18	146	205	353	49	49	49	49	749	30	30	30	30	2
వర	51928	-2.89	148	219	389	76	76	76	76	749	72	72	72	72	2
లక	51698	-2.88	160	227	327	41	41	41	41	660	137	137	137	137	2
రమ	49955	-2.87	146	208	563	62	62	62	62	648	89	89	89	89	2
లల	47335	-3.26	168	220	327	15	15	15	15	926	98	98	98	98	2
రత	46275	-3.18	154	207	563	35	35	35	35	539	34	34	34	34	2
రక	44029	-3.01	162	230	563	59	59	59	59	660	46	46	46	46	2
ఖ	41892	-4.31	0	47	63	63	63	63	63	37	37	37	37	37	1
సర	39075	-3.17	142	194	287	44	44	44	44	749	35	35	35	35	2
డల	38063	-3.36	160	205	171	15	15	15	15	926	45	45	45	45	2
