word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
дар	39475	-3.67	54	68	871	283	117	117	117	876	233	16	16	16	3
ва	33311	-3.04	50	64	517	170	170	170	170	1379	61	61	61	61	2
аст	32919	-3.54	26	37	978	106	6	6	6	871	177	81	81	81	3
фурудгоҳи	27077	-8.71	0	0	475	55	20	8	4	5241	79	51	32	5	9
дорад	18863	-5.44	4	6	871	200	24	4	1	916	173	32	10	3	5
бонди	16271	-5.61	8	10	1113	250	14	3	1	5241	258	33	3	1	5
ки	15147	-2.7	64	78	1272	147	147	147	147	5241	140	140	140	140	2
ин	14206	-2.94	50	74	676	104	104	104	104	1470	245	245	245	245	2
ба	11841	-3.28	54	67	1113	348	348	348	348	1379	21	21	21	21	2
аз	11755	-4.15	44	52	978	24	24	24	24	234	19	19	19	19	2
он	11056	-3.22	60	92	832	41	41	41	41	1470	546	546	546	546	2
як	10083	-3.79	22	26	119	38	38	38	38	367	4	4	4	4	2
бо	9733	-3.45	50	71	1113	250	250	250	250	1121	17	17	17	17	2
қарор	9659	-6.11	8	9	271	133	19	9	6	876	220	14	7	2	5
кишвари	9599	-7.0	4	6	1272	147	32	13	13	5241	433	117	13	1	7
фурудгоҳ	9488	-8.45	0	0	475	55	20	8	4	132	63	19	5	2	8
воқеъшуда	8862	-9.27	0	0	517	129	11	11	3	1379	324	26	12	1	9
баҳр	8613	-4.6	10	16	1113	348	32	13	13	876	19	14	1	1	4
метри	8585	-4.81	8	11	1988	341	21	6	1	5241	433	12	3	3	5
сатҳ	8582	-5.53	8	10	1217	410	11	2	2	132	6	1	1	1	4
аэ	8578	-4.68	34	36	978	2	2	2	2	3	1	1	1	1	2
иртифоъ	8578	-9.89	0	0	676	25	4	4	2	56	7	2	2	1	7
фуруд	8347	-5.94	4	6	475	55	20	8	4	916	51	5	2	1	5
метр	8225	-4.4	4	8	1988	341	21	6	6	876	33	4	4	4	4
тули	7962	-4.99	26	28	1014	105	8	1	1	5241	242	23	1	1	4
ҳамигон	6919	-7.65	2	2	534	230	58	3	1	1470	546	34	1	1	7
соли	5866	-3.89	34	41	1217	228	37	8	8	5241	242	44	8	8	4
коди	5644	-4.6	28	29	1272	319	9	2	2	5241	258	41	1	1	4
иотои	5620	-7.44	0	1	676	8	2	2	1	5241	785	8	1	1	5
осфолт	5321	-9.22	0	0	832	87	1	1	1	871	7	3	1	1	6
шаҳри	4326	-4.8	16	18	537	203	47	38	16	5241	433	4	3	1	5
амрико	3414	-8.33	2	4	978	64	8	6	5	1121	37	10	6	2	6
тоҷикистон	3358	-8.52	0	0	1014	160	32	29	23	1470	546	78	65	52	10
иёлоти	3357	-7.67	4	5	676	6	6	3	3	5241	494	89	16	1	6
муттаҳидаи	3332	-10.12	0	0	1988	475	32	5	5	5241	505	72	13	2	10
маҳаллӣ	2741	-7.86	4	5	1988	742	48	15	15	856	68	4	1	1	7
буд	2264	-3.79	44	51	1113	160	22	22	22	916	51	6	6	6	3
барои	2237	-4.66	18	21	1113	348	124	27	1	5241	785	23	8	1	5
вилояти	2143	-7.45	2	4	517	84	21	10	10	5241	494	49	3	1	7
то	2083	-3.23	48	64	1014	160	160	160	160	1121	52	52	52	52	2
the	1990	-4.57	2	7	119	24	9	9	9	210	3	1	1	1	3
и	1868	-4.3	0	33	676	676	676	676	676	5241	5241	5241	5241	5241	1
мебошад	1790	-8.24	4	5	1988	341	26	7	2	916	173	9	3	3	7
ҳавои	1709	-5.43	12	14	534	230	24	13	2	5241	785	9	5	1	5
баҳра	1704	-5.51	8	9	1113	348	32	13	3	1379	115	3	1	1	5
бурдори	1694	-6.34	0	0	1113	160	40	9	1	5241	433	129	19	3	7
в	1671	-4.3	0	11	517	517	517	517	517	267	267	267	267	267	1
