word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
ng	318689	-3.2	38	48	1504	18	18	18	18	3030	2630	2630	2630	2630	2
sa	312979	-2.73	66	83	1517	321	321	321	321	2850	160	160	160	160	2
ang	244587	-2.66	24	41	1211	171	30	30	30	3030	2630	1200	1200	1200	3
na	206113	-2.32	66	85	1504	1150	1150	1150	1150	2850	245	245	245	245	2
mga	173526	-5.75	8	13	1841	2	1	1	1	2850	116	1	1	1	3
ay	165937	-3.55	52	69	1211	14	14	14	14	779	375	375	375	375	2
at	110186	-3.42	60	78	1211	55	55	55	55	924	235	235	235	235	2
isang	96643	-4.36	10	17	989	147	26	3	1	3030	2630	1200	72	13	5
si	43337	-3.57	66	81	1517	312	312	312	312	768	20	20	20	20	2
ito	38363	-3.9	20	32	989	82	2	2	2	2090	272	45	45	45	3
o	36675	-4.3	0	27	265	265	265	265	265	2090	2090	2090	2090	2090	1
noong	29102	-5.0	6	9	1504	83	5	2	1	3030	2630	835	10	4	5
ni	28536	-3.55	66	73	1504	113	113	113	113	768	45	45	45	45	2
may	23196	-3.26	48	55	1841	1205	20	20	20	779	375	5	5	5	3
bilang	22013	-4.66	14	17	1115	210	20	5	4	3030	2630	1200	188	38	6
hindi	19828	-6.52	4	5	736	182	64	5	1	768	15	7	4	1	5
kanyang	17005	-5.9	4	9	1541	840	53	4	3	3030	2630	1200	155	11	7
siya	16974	-3.26	24	28	1517	312	11	4	4	2850	382	156	47	47	4
bansang	16155	-6.25	2	4	1115	381	53	3	3	3030	2630	1200	72	5	7
mula	16141	-4.38	22	23	1841	84	11	2	2	2850	308	50	21	21	4
para	14347	-3.76	40	44	2898	1708	89	27	27	2850	206	41	6	6	4
kung	13356	-4.08	16	18	1541	143	8	1	1	3030	2630	29	2	2	4
pilipinas	13142	-7.91	0	0	2898	393	30	10	5	1445	347	20	4	2	9
pang	11125	-2.37	32	40	2898	1708	392	200	200	3030	2630	1200	24	24	4
nito	10889	-4.93	26	28	1504	113	4	2	2	2090	272	45	4	4	4
lalawigan	9872	-8.65	0	0	726	209	19	14	2	2894	1468	139	20	2	9
the	9772	-4.17	6	13	1185	64	28	28	28	1143	28	2	2	2	3
lungsod	9604	-9.21	0	1	726	139	12	2	1	669	92	7	4	4	7
upang	9421	-5.05	8	11	268	12	3	2	1	3030	2630	1200	24	5	5
artista	9357	-7.39	2	4	1211	143	27	14	4	2850	323	58	44	8	7
isa	9188	-3.99	22	37	989	147	26	26	26	2850	160	26	26	26	3
pag	8945	-2.7	36	41	2898	1708	733	733	733	3030	190	19	19	19	3
dahil	8776	-6.65	0	0	725	171	8	3	3	903	73	3	2	1	5
hapon	8658	-6.26	4	5	736	204	10	3	3	2894	820	25	7	2	5
iba	8439	-4.49	26	31	989	40	14	14	14	2850	82	21	21	21	3
rin	8228	-4.27	40	45	560	62	5	5	5	2894	378	15	15	15	3
tao	7860	-4.1	36	45	1185	368	4	4	4	2090	36	7	7	7	3
bayan	7638	-4.36	10	12	1115	381	18	10	5	2894	1468	100	62	13	5
taon	7484	-4.64	8	12	1185	368	4	2	2	2894	820	14	7	7	4
unang	7474	-4.71	12	16	268	51	8	3	1	3030	2630	1200	90	25	5
ika	7260	-4.31	18	26	989	45	29	29	29	2850	154	72	72	72	3
kanilang	7145	-6.6	0	0	1541	840	53	8	2	3030	2630	1200	188	38	8
of	7080	-4.48	24	28	265	8	8	8	8	43	2	2	2	2	2
ibang	7059	-4.7	8	9	989	40	14	1	1	3030	2630	1200	42	9	5
nang	7024	-2.69	34	41	1504	1150	67	31	31	3030	2630	1200	90	90	4
maaaring	6963	-8.16	0	1	1841	1205	26	7	2	3030	2630	475	50	15	8
naging	6946	-4.82	12	13	1504	1150	383	7	1	3030	2630	475	27	12	6
niya	6810	-4.58	20	21	1504	113	7	3	3	2850	382	156	6	6	4
din	6612	-3.61	34	42	725	208	32	32	32	2894	378	8	8	8	3
mas	6515	-3.12	42	49	1841	1205	68	68	68	1445	347	10	10	10	3
hanggang	6389	-5.72	0	2	736	204	38	17	6	3030	2630	1200	84	2	8
italya	6339	-6.9	2	4	989	82	24	9	4	2850	382	21	6	2	6
pa	6317	-2.92	64	85	2898	1708	1708	1708	1708	2850	40	40	40	40	2
telebisyon	6274	-9.2	0	0	1185	155	17	13	2	2894	820	374	279	43	10
ayon	6167	-4.76	12	19	1211	14	3	2	2	2894	820	374	16	16	4
ingles	6100	-7.0	0	2	989	326	10	4	2	1445	239	48	3	2	6
lamang	6079	-5.08	20	23	726	209	16	5	2	3030	2630	1200	61	32	6
timog	6071	-6.68	2	2	1185	164	12	4	1	3030	82	5	4	4	5
saan	6009	-4.39	14	16	1517	321	3	3	3	2894	1468	115	5	5	4
nasa	5750	-3.97	30	31	1504	1150	43	19	19	2850	160	54	4	4	4
t	5668	-4.3	0	22	1185	1185	1185	1185	1185	924	924	924	924	924	1
kay	5637	-3.37	32	39	1541	840	13	13	13	779	375	26	26	26	3
pamamagitan	5482	-9.62	0	0	2898	1708	122	37	16	2894	1468	100	34	8	11
ilang	5354	-4.56	12	19	989	36	13	2	1	3030	2630	1200	188	38	5
taong	5206	-4.77	2	10	1185	368	4	2	1	3030	2630	835	14	8	5
panahon	5194	-6.87	0	1	2898	1708	392	49	2	2894	820	13	7	2	7
comune	5181	-7.08	0	1	681	192	43	1	1	1143	112	6	3	1	6
palabas	5102	-5.93	4	7	2898	1708	89	49	1	1445	347	44	37	34	7
bahagi	5046	-7.17	0	1	1115	381	16	10	6	768	54	24	11	11	6
ngunit	5020	-8.64	0	1	1504	18	4	2	2	924	209	9	4	1	6
dalawang	4983	-6.19	0	0	725	171	35	17	7	3030	2630	1200	69	37	8
