word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
ve	1179924	-3.31	40	44	301	125	125	125	125	2106	22	22	22	22	2
bir	677492	-2.76	26	31	1493	293	105	105	105	2564	540	10	10	10	3
da	354397	-2.46	54	68	1182	163	163	163	163	2232	544	544	544	544	2
bu	345528	-3.54	46	53	1493	159	159	159	159	535	8	8	8	8	2
de	328160	-2.21	52	68	1182	366	366	366	366	2106	515	515	515	515	2
ile	259882	-3.75	22	34	817	137	22	22	22	2106	226	15	15	15	3
olarak	256720	-5.2	6	6	662	225	62	2	2	1137	289	88	72	21	6
olan	179695	-3.94	14	20	662	225	62	14	14	2927	807	76	4	4	4
için	178292	-4.73	10	14	817	43	12	9	9	2927	589	3	2	2	4
köyün	148088	-5.5	0	3	2074	87	42	14	7	2927	67	2	1	1	5
yılında	143036	-6.17	0	3	1233	63	50	9	7	2232	544	315	229	5	7
sonra	128651	-5.69	0	1	1604	158	54	8	8	2232	140	1	1	1	5
en	125568	-2.96	40	55	829	54	54	54	54	2927	658	658	658	658	2
tarafından	121162	-8.03	0	0	1162	440	96	28	25	2927	807	233	133	96	10
ilk	120207	-5.25	8	11	817	137	17	17	17	1137	6	1	1	1	3
vardır	119993	-5.71	4	6	301	88	31	4	2	2564	488	216	25	24	6
daha	112429	-6.56	12	12	1182	163	8	2	2	2232	11	4	1	1	4
in	111939	-2.77	46	68	817	125	125	125	125	2927	589	589	589	589	2
nın	102713	-5.02	8	11	312	2	1	1	1	2927	444	224	224	224	3
nin	99461	-3.59	34	39	312	64	5	5	5	2927	589	254	254	254	3
çok	99047	-4.51	10	11	506	49	6	6	6	1137	14	3	3	3	3
yoktur	95439	-7.39	2	3	1233	66	8	2	2	2564	143	34	3	2	6
ise	94197	-4.66	20	23	817	148	1	1	1	2106	42	9	9	9	3
ın	93017	-4.09	16	21	35	6	6	6	6	2927	444	444	444	444	2
a	89393	-4.3	0	39	1505	1505	1505	1505	1505	2232	2232	2232	2232	2232	1
büyük	85391	-4.58	2	3	1493	47	31	31	18	1137	34	4	2	1	5
ya	83888	-2.2	46	61	1233	633	633	633	633	2232	252	252	252	252	2
köy	83883	-3.41	10	12	2074	87	42	42	42	261	18	18	18	18	3
gibi	82861	-5.71	0	0	1145	122	4	3	3	2416	28	9	1	1	4
yer	75007	-3.36	22	27	1233	212	84	84	84	2564	622	10	10	10	3
ancak	74783	-5.87	2	3	1505	196	2	1	1	1137	289	29	4	3	5
km	70952	-5.77	40	46	2074	2	2	2	2	398	1	1	1	1	2
köyde	70627	-5.2	4	6	2074	87	42	4	3	2106	515	6	1	1	5
kadar	70527	-5.31	12	13	2074	809	38	6	5	2564	552	15	2	1	5
iki	68942	-4.38	20	26	817	38	18	18	18	2416	215	8	8	8	3
göre	67654	-3.57	14	17	1145	285	119	36	36	2106	155	4	1	1	4
arasında	66066	-6.05	0	1	1505	219	98	10	8	2232	544	315	229	61	8
bağlı	59532	-4.79	6	8	1493	475	50	33	6	1885	189	2	2	1	5
i	59024	-4.3	0	32	817	817	817	817	817	2416	2416	2416	2416	2416	1
birlikte	58388	-7.83	0	0	1493	293	105	38	17	2106	112	29	8	4	8
olduğu	56020	-5.74	2	2	662	225	20	19	8	535	49	41	15	4	6
e	55914	-4.3	0	29	829	829	829	829	829	2106	2106	2106	2106	2106	1
türkiye	54242	-7.72	0	0	1162	101	71	36	4	2106	176	72	6	1	7
oldu	54080	-4.66	6	7	662	225	20	19	19	535	80	14	3	3	4
sağlık	53731	-5.39	2	2	1604	417	42	35	6	1137	159	114	3	2	6
ilçesine	53658	-7.59	0	0	817	137	21	21	7	2106	339	243	69	53	8
un	53571	-3.56	32	42	250	28	28	28	28	2927	126	126	126	126	2
yeni	52830	-4.18	12	17	1233	212	36	27	27	2416	320	31	3	3	4
olup	52100	-5.1	4	4	662	225	64	1	1	191	18	5	1	1	4
iklimi	51874	-7.09	2	4	817	38	7	7	7	2416	90	49	5	1	6
her	50647	-3.63	22	27	757	98	21	21	21	2564	622	12	12	12	3
aynı	49543	-5.48	6	9	1505	112	7	2	2	1885	286	2	2	2	4
şebekesi	49423	-8.39	0	0	297	100	5	3	3	2416	341	214	8	2	8
ptt	48925	-7.19	4	4	539	2	1	1	1	604	6	1	1	1	3
veya	48662	-5.74	8	8	301	125	2	1	1	2232	252	1	1	1	4
ayrıca	48185	-7.3	2	2	1505	112	38	36	2	2232	85	9	1	1	6
türk	47755	-4.67	10	12	1162	101	71	36	36	1137	23	5	4	4	4
diğer	46847	-5.18	4	5	1182	180	8	8	8	2564	622	6	3	1	5
the	45670	-4.54	6	12	1162	31	14	14	14	2106	11	2	2	2	3
te	45352	-2.87	52	62	1162	231	231	231	231	2106	112	112	112	112	2
bulunan	44132	-6.19	0	0	1493	159	82	54	45	2927	807	54	7	2	7
istanbul	43859	-8.9	0	0	817	148	66	12	3	530	30	2	1	1	8
d	43473	-4.3	0	20	1182	1182	1182	1182	1182	169	169	169	169	169	1
eski	42730	-5.53	2	3	829	61	9	9	9	2416	215	4	2	2	4
son	41935	-3.06	32	39	1604	158	54	54	54	2927	178	25	25	25	3
dünya	40098	-5.62	0	0	1182	138	16	15	14	2232	252	24	1	1	5
önemli	40079	-6.93	2	4	296	61	17	9	4	2416	247	17	8	3	6
alan	39916	-3.81	24	37	1505	240	52	27	27	2927	807	76	9	9	4
o	39912	-4.3	0	24	662	662	662	662	662	185	185	185	185	185	1
adı	39555	-3.32	26	36	1505	105	16	16	16	1885	169	45	45	45	3
nde	39511	-4.3	6	12	312	8	4	4	4	2106	515	282	282	282	3
yıl	37840	-4.71	10	13	1233	63	50	50	50	530	14	2	2	2	3
yol	37574	-4.43	30	34	1233	66	32	32	32	530	39	3	3	3	3
adlı	36921	-5.82	10	11	1505	105	20	1	1	1885	189	1	1	1	4
ne	36643	-2.8	46	59	312	80	80	80	80	2106	339	339	339	339	2
dan	35479	-3.25	52	59	1182	163	19	19	19	2927	807	233	233	233	3
tarım	35465	-5.22	10	12	1162	440	96	9	8	398	50	9	4	1	5
içinde	35185	-5.76	8	10	817	43	12	9	6	2106	515	282	243	1	6
nda	35176	-4.17	10	17	312	8	4	4	4	2232	544	315	315	315	3
tarihinde	34923	-9.0	0	0	1162	440	96	33	29	2106	515	282	243	2	9
kültür	34792	-5.87	0	2	2074	54	17	15	14	2564	83	27	1	1	6
genel	34323	-5.79	0	2	1145	407	37	11	7	530	140	10	1	1	5
hakkında	33564	-7.78	0	1	757	421	30	9	7	2232	544	315	229	3	8
okulu	33552	-4.88	4	8	662	46	36	18	7	535	92	17	9	6	5
birçok	33378	-8.67	0	0	1493	293	105	2	2	1137	14	3	1	1	6
karşı	32997	-4.72	10	13	2074	809	189	41	41	1885	42	3	3	1	5
alanı	32198	-4.61	12	15	1505	240	52	27	9	1885	286	61	7	3	5
köye	32108	-5.21	8	11	2074	87	42	1	1	2106	176	1	1	1	4
avrupa	31490	-8.0	0	0	1505	36	6	4	4	2232	12	2	1	1	6
olmuştur	31473	-7.18	0	1	662	225	56	6	5	2564	143	34	25	25	8
yapılan	31339	-4.97	10	10	1233	633	141	86	47	2927	807	76	38	1	7
nun	31221	-4.25	20	24	312	20	1	1	1	2927	126	53	53	53	3
üzerine	31156	-6.54	0	1	193	15	11	11	7	2106	339	243	65	58	7
iyi	31083	-5.08	18	20	817	10	7	7	7	2416	48	13	13	13	3
bazı	31076	-4.8	18	21	1493	475	13	7	7	1885	19	11	1	1	4
iklim	31068	-6.31	0	3	817	38	7	7	7	398	104	18	1	1	5
önce	31058	-4.64	8	10	296	61	16	11	11	2106	93	38	1	1	4
ikinci	30836	-7.84	2	3	817	38	18	5	4	2416	63	15	10	1	6
tüzel	30688	-6.69	4	4	1162	101	1	1	1	530	140	5	2	1	5
muhtarlık	30612	-8.9	0	0	1004	86	39	10	5	1137	159	114	13	10	9
den	30498	-2.79	48	56	1182	366	58	58	58	2927	658	246	246	246	3
ilinin	30363	-5.59	0	1	817	137	25	6	1	2927	589	254	193	5	6
fakat	30287	-6.14	2	2	426	104	14	1	1	604	124	11	4	1	5
köydür	30188	-7.45	0	1	2074	87	42	4	1	2564	83	20	1	1	6
bulunmaktadır	30116	-9.47	0	0	1493	159	82	54	45	2564	488	216	116	87	13
hem	30089	-4.65	20	24	757	98	5	5	5	398	53	3	3	3	3
suyu	30061	-5.48	12	13	1604	99	8	5	5	535	13	6	1	1	4
bilgi	29951	-5.38	2	4	1493	293	97	24	23	2416	17	3	3	1	5
ekonomi	29869	-8.67	0	1	829	65	14	11	11	2416	90	3	2	2	7
ye	29794	-2.52	44	52	1233	212	212	212	212	2106	176	176	176	176	2
gelen	29484	-4.04	12	15	1145	407	120	32	21	2927	658	76	7	2	5
elektrik	29474	-9.61	0	0	829	91	43	9	9	1137	282	14	5	2	8
abd	29209	-5.32	10	13	1505	30	12	12	12	169	1	1	1	1	3
coğrafya	28600	-8.56	0	0	350	56	6	6	6	2232	252	4	2	1	8
sağlayan	28574	-7.12	0	0	1604	417	42	35	29	2927	807	50	34	18	8
osmanlı	28361	-7.84	2	2	662	18	11	11	11	1885	189	17	17	5	7
ilköğretim	28024	-10.88	0	0	817	137	17	2	2	398	104	16	12	5	10
bilgileri	27894	-6.78	0	0	1493	293	97	24	23	2416	415	350	302	41	9
kez	27763	-4.16	14	14	2074	166	1	1	1	243	30	3	3	3	3
kendi	27709	-5.71	4	5	2074	166	61	19	19	2416	156	25	19	1	5
yüksek	27619	-5.73	2	2	1233	97	34	29	29	1137	217	2	1	1	6
altyapı	27550	-7.92	0	0	1505	240	23	4	4	1885	8	7	2	1	7
zaman	27521	-5.29	8	11	128	45	23	22	22	2927	807	64	12	1	5
üç	27466	-4.41	12	17	193	13	13	13	13	68	2	2	2	2	2
üniversitesi	27349	-12.38	0	0	193	37	19	18	18	2416	341	214	19	7	12
etki	27317	-3.98	6	10	829	116	42	40	40	2416	215	3	2	2	4
tüm	27083	-4.63	12	14	1162	101	10	10	10	398	17	2	2	2	3
içme	27011	-5.73	2	3	817	43	1	1	1	2106	157	4	1	1	4
uzaklıktadır	26985	-10.53	0	0	250	41	21	11	6	2564	488	216	116	87	12
ekonomisi	26955	-10.19	0	0	829	65	14	11	11	2416	341	96	5	1	9
başladı	26724	-6.02	4	5	1493	475	141	62	52	1885	169	45	23	1	7
sabit	26659	-5.51	0	2	1604	417	12	3	2	604	65	3	1	1	5
tarihçe	26595	-7.96	4	5	1162	440	96	33	29	2106	29	5	1	1	7
küçük	26589	-5.88	0	0	2074	54	5	5	5	1137	34	1	1	1	5
aldı	26577	-4.33	6	9	1505	240	6	6	6	1885	169	39	5	5	4
evi	26394	-3.82	16	24	829	68	8	8	8	2416	33	20	20	20	3
üzere	26296	-6.18	2	2	193	15	11	11	3	2106	155	72	1	1	5
devam	26287	-7.17	0	1	1182	366	50	6	5	398	70	2	1	1	5
etti	26136	-4.72	4	5	829	116	18	18	18	2416	112	14	10	10	4
telefon	26054	-8.27	0	1	1162	231	21	13	3	2927	178	3	1	1	7
ocağı	26036	-6.03	2	2	662	6	3	1	1	1885	180	43	9	1	5
ı	25793	-4.3	0	7	35	35	35	35	35	1885	1885	1885	1885	1885	1
şubesi	25767	-7.27	0	0	297	16	3	2	1	2416	341	214	8	1	6
tek	25337	-3.67	20	26	1162	231	43	43	43	1137	217	6	6	6	3
üzerinde	25221	-6.84	0	1	193	15	11	11	7	2106	515	282	243	74	8
yerleşim	25150	-7.51	0	0	1233	212	84	57	51	398	104	10	3	2	8
film	25128	-5.66	6	9	426	118	48	30	30	398	6	1	1	1	4
içerisindedir	24951	-10.5	0	0	817	43	22	19	15	2564	540	232	110	17	13
ulaşımı	24867	-7.93	0	1	250	35	22	22	5	1885	58	33	4	3	7
kanalizasyon	24850	-12.24	0	0	2074	809	55	24	12	2927	178	43	24	18	12
şekilde	24847	-7.27	2	2	297	100	19	7	7	2106	515	17	5	2	7
daki	24612	-4.62	8	9	1182	163	6	5	5	2416	215	86	75	75	4
dayalıdır	24509	-8.7	0	0	1182	163	17	13	2	2564	488	216	50	18	9
hayvancılığa	24443	-11.33	0	0	757	421	57	22	22	2232	35	12	10	1	12
kabul	24165	-5.97	4	5	2074	809	25	6	2	530	30	2	1	1	5
ama	24039	-3.98	26	42	1505	40	20	20	20	2232	210	57	57	57	3
sahip	23877	-5.17	4	4	1604	417	40	20	8	191	51	4	2	1	5
iline	23841	-5.13	6	10	817	137	25	6	1	2106	339	243	13	3	5
savaşı	23724	-5.85	2	6	1604	417	40	27	27	1885	42	20	1	1	6
m	23495	-4.3	0	36	1004	1004	1004	1004	1004	398	398	398	398	398	1
acentesi	23441	-9.16	0	0	1505	16	5	2	2	2416	341	214	19	1	8
olduğunu	23384	-7.05	0	0	662	225	20	19	8	535	82	45	12	11	8
of	23170	-4.39	30	33	662	5	5	5	5	96	4	4	4	4	2
biri	23054	-3.79	16	19	1493	293	105	31	31	2416	415	19	6	6	4
çeşitli	22969	-8.53	0	0	506	122	10	7	5	2416	247	15	2	1	7
köyü	22688	-5.12	6	9	2074	87	42	14	14	274	3	1	1	1	4
asfalt	22575	-9.29	0	0	1505	64	2	2	2	604	10	4	1	1	6
temsil	22450	-7.89	0	1	1162	231	32	9	9	530	73	5	1	1	6
sadece	22325	-7.51	0	0	1604	417	10	2	1	2106	93	12	1	1	6
yapılmaktadır	22293	-8.4	0	0	1233	633	141	86	47	2564	488	216	116	87	13
