word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
елга	132392	-4.1	14	15	177	71	24	23	23	2872	399	16	2	2	4
бассейны	75719	-7.72	0	1	1249	365	52	16	13	1750	208	2	1	1	8
су	54882	-3.19	38	46	1236	141	141	141	141	253	18	18	18	18	2
буенча	49101	-6.63	2	3	1249	149	7	6	1	2872	73	14	1	1	6
русия	48534	-5.6	0	0	398	56	20	9	9	500	246	16	5	5	5
урнашкан	38144	-7.73	0	0	511	136	18	18	16	1866	679	49	11	6	8
км	37049	-5.08	34	43	2289	4	4	4	4	258	1	1	1	1	2
һәм	27539	-4.7	18	18	68	19	2	2	2	258	29	2	2	2	3
кече	27224	-4.68	6	6	2289	129	9	3	3	1366	104	5	2	2	4
дәүләт	26945	-6.86	0	2	447	75	24	23	23	447	69	4	1	1	6
ага	25614	-3.64	28	39	1077	42	14	14	14	2872	399	55	55	55	3
озынлыгы	23815	-7.9	0	0	348	25	11	11	8	1750	222	68	53	6	8
өлкәсе	23520	-5.94	2	3	149	45	22	22	6	1366	190	52	4	1	6
округында	23298	-7.98	0	0	348	42	12	12	12	2872	548	325	251	28	9
реестры	23282	-9.88	0	0	398	100	1	1	1	1750	357	5	3	2	7
мәгълүматы	23268	-7.88	0	0	932	217	33	31	15	1750	117	26	6	1	10
биләмәләрендә	23228	-9.75	0	0	1249	182	46	13	8	1206	359	215	197	46	13
территориясеннән	22903	-12.8	0	0	1499	206	56	20	19	1866	398	91	83	68	16
агучы	20685	-6.51	8	9	1077	42	4	1	1	1750	101	43	2	1	5
об	20485	-4.58	26	30	348	20	20	20	20	42	2	2	2	2	2
булып	18858	-5.02	2	2	1249	149	68	7	1	367	121	22	1	1	5
елгасы	18554	-5.61	2	3	177	71	24	23	10	1750	213	148	9	3	6
да	16655	-2.89	40	48	447	43	43	43	43	2872	548	548	548	548	2
югары	16617	-5.35	0	0	142	20	16	3	3	1750	357	293	2	1	5
һава	16312	-5.35	8	8	68	12	7	6	6	2872	106	11	1	1	4
кушылдыгы	15538	-7.76	0	0	2289	250	45	29	26	1750	222	68	1	1	9
халык	15020	-4.7	2	3	469	159	37	18	18	863	167	117	8	1	5
хуҗалыгы	14388	-6.29	0	0	469	39	18	17	15	1750	222	68	53	6	8
биредә	14223	-6.54	6	7	1249	182	32	12	3	1206	359	6	1	1	6
тора	14124	-4.52	24	29	1499	145	51	5	5	2872	134	11	1	1	4
елгасының	14047	-6.8	0	0	177	71	24	23	10	714	396	396	132	26	9
участогы	13986	-10.37	0	0	511	20	6	2	2	1750	222	10	2	1	8
ел	13855	-3.84	36	43	177	71	71	71	71	249	31	31	31	31	2
кадәр	13762	-5.89	2	2	2289	579	18	3	3	1455	422	9	5	5	5
аның	12699	-3.77	4	10	1077	68	6	2	2	714	396	396	38	38	4
елда	12050	-4.72	6	8	177	71	3	3	3	2872	548	12	1	1	4
коды	11901	-4.96	12	14	2289	402	10	1	1	1750	69	7	1	1	4
саны	11740	-4.3	14	19	1236	280	45	8	8	1750	208	55	1	1	4
уртача	10941	-8.0	4	4	511	136	17	17	1	2872	73	14	1	1	6
белән	10427	-4.7	2	4	1249	212	62	3	1	1866	398	5	1	1	5
төньяк	10298	-5.76	4	4	1499	200	16	10	10	863	19	4	3	2	6
печора	10155	-7.35	0	1	666	96	7	2	2	2872	134	11	1	1	6
иртеш	9883	-7.47	2	2	664	49	8	2	2	214	50	4	1	1	5
двина	9625	-5.88	0	0	447	11	8	4	2	2872	324	41	1	1	5
елгасына	9621	-6.88	0	1	177	71	24	23	10	2872	324	191	46	32	8
тамагы	9454	-5.67	0	1	1499	376	27	13	6	1750	222	113	3	1	6
бассейн	9439	-7.76	0	1	1249	365	52	16	13	1866	8	6	2	2	7
елганың	9411	-5.49	2	3	177	71	24	23	3	714	396	396	38	2	7
динамикасы	9177	-10.72	0	0	447	116	25	5	2	1750	213	148	24	9	10
чаклы	9173	-5.32	6	7	464	91	21	1	1	1750	256	37	14	1	5
кушылып	9149	-6.11	0	0	2289	250	45	29	26	367	121	22	11	1	7
алып	9141	-4.48	18	21	1077	186	30	1	1	367	121	22	6	6	4
ераклыкта	8615	-9.7	0	0	177	22	10	10	5	2872	223	30	13	12	9
почта	8537	-6.7	2	3	666	158	9	1	1	2872	223	2	1	1	5
индексы	8513	-8.54	0	0	664	99	16	4	1	1750	213	2	2	1	7
елгы	8377	-5.51	6	7	177	71	24	1	1	1750	222	2	1	1	4
ярыннан	8234	-6.15	8	8	474	88	26	5	1	1866	679	117	104	75	7
җанисәп	7988	-8.46	0	0	309	24	6	4	3	367	43	2	2	1	7
ао	7826	-4.6	58	61	1077	1	1	1	1	153	4	4	4	4	2
континенталь	7584	-12.88	0	0	2289	402	69	8	2	388	195	79	9	7	12
чулман	7292	-6.35	2	3	464	48	8	2	2	1866	679	49	5	1	6
кушылганга	7156	-7.78	0	0	2289	250	45	29	26	2872	399	57	23	3	10
кушылдыклары	7144	-8.97	0	0	2289	250	45	29	26	1750	357	293	228	33	12
идел	7037	-5.39	6	7	664	33	18	6	6	249	31	6	2	2	4
монда	6874	-4.64	8	9	932	107	23	3	2	2872	548	325	8	1	5
торучы	6737	-6.06	2	3	1499	145	51	3	1	1750	101	43	10	1	6
республикасы	6702	-11.14	0	0	398	100	17	13	13	1750	213	148	24	9	12
күпчелекне	6647	-8.77	0	0	2289	220	26	6	6	1366	133	3	3	3	10
уң	6629	-4.14	22	25	511	18	18	18	18	714	2	2	2	2	2
сул	6595	-4.25	26	31	1236	141	17	17	17	249	25	3	3	3	3
районы	6505	-7.07	0	3	398	84	27	26	26	1750	208	15	1	1	6
елның	6151	-5.18	2	3	177	71	2	2	1	714	396	396	9	2	5
мәгълүм	6141	-5.82	2	2	932	217	33	31	15	258	5	1	1	1	7
кешенең	6122	-5.62	0	1	2289	129	24	24	2	714	303	300	115	6	7
зур	6020	-4.52	18	19	178	23	16	16	16	1455	41	1	1	1	3
