word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
у	1579628	-4.3	0	18	322	322	322	322	322	1402	1402	1402	1402	1402	1
в	1496467	-4.3	0	20	1833	1833	1833	1833	1833	1204	1204	1204	1204	1204	1
на	1312532	-2.08	54	73	911	550	550	550	550	1995	507	507	507	507	2
з	1101036	-4.3	0	11	1328	1328	1328	1328	1328	58	58	58	58	58	1
і	1099501	-4.3	0	26	327	327	327	327	327	1716	1716	1716	1716	1716	1
та	702410	-3.29	50	58	712	75	75	75	75	1995	139	139	139	139	2
до	584172	-3.49	52	61	966	327	327	327	327	1445	14	14	14	14	2
року	489198	-4.47	14	15	990	377	8	1	1	1402	216	15	6	6	4
за	441318	-3.23	44	52	1328	654	654	654	654	1995	15	15	15	15	2
від	437817	-3.51	24	26	1833	445	293	293	293	165	26	5	5	5	3
що	375608	-4.01	36	38	30	18	18	18	18	1445	4	4	4	4	2
році	345652	-4.71	12	12	990	377	1	1	1	1716	124	3	1	1	4
було	273891	-5.37	6	6	613	97	5	1	1	1445	111	6	3	3	4
а	259212	-4.3	0	29	621	621	621	621	621	1995	1995	1995	1995	1995	1
км	239738	-4.19	52	61	1274	3	3	3	3	903	2	2	2	2	2
не	229051	-2.85	56	61	911	134	134	134	134	362	110	110	110	110	2
для	226782	-5.46	4	6	966	1	1	1	1	1554	56	2	2	2	3
осіб	214114	-6.25	0	1	764	134	3	1	1	53	5	3	2	2	4
населення	207548	-6.99	0	0	911	550	53	10	10	1554	536	482	253	66	9
був	188949	-4.39	12	15	613	97	4	4	4	1204	20	6	6	6	3
р	188474	-4.3	0	25	990	990	990	990	990	288	288	288	288	288	1
як	185441	-3.97	34	40	239	34	34	34	34	338	4	4	4	4	2
його	180712	-4.93	8	9	33	17	3	1	1	1445	629	612	1	1	4
були	174305	-4.75	8	8	613	97	5	1	1	2218	327	12	4	4	4
є	145954	-4.3	0	7	141	141	141	141	141	240	240	240	240	240	1
й	144419	-4.31	0	6	33	33	33	33	33	1064	1064	1064	1064	1064	1
він	141296	-4.56	24	27	1833	445	9	9	9	321	29	3	3	3	3
м	139268	-4.3	0	27	1016	1016	1016	1016	1016	903	903	903	903	903	1
також	138161	-8.49	4	4	712	75	19	5	1	37	3	1	1	1	5
років	135807	-5.2	4	5	990	377	8	1	1	1204	734	138	6	2	5
під	134452	-3.85	24	28	2731	260	147	147	147	165	26	1	1	1	3
після	133162	-7.19	2	3	2731	260	19	4	4	1554	56	2	2	2	5
про	125508	-3.54	12	19	2731	851	354	354	354	1445	28	2	2	2	3
по	124499	-3.87	56	67	2731	896	896	896	896	1445	4	4	4	4	2
серед	119251	-5.28	2	2	1713	181	86	33	33	165	13	8	5	2	5
час	113909	-4.48	20	27	293	51	33	33	33	180	27	2	2	2	3
була	112787	-5.06	8	9	613	97	5	1	1	1995	260	10	4	4	4
із	109432	-5.13	24	27	327	6	6	6	6	58	6	6	6	6	2
україни	104867	-7.37	8	10	322	46	35	31	30	2218	174	4	2	2	7
або	100020	-5.68	4	5	621	16	2	2	2	1445	4	2	2	2	3
де	99910	-3.77	52	64	966	154	154	154	154	362	9	9	9	9	2
близько	93187	-7.71	4	4	613	31	14	11	11	1445	79	18	1	1	7
при	91933	-2.81	18	25	2731	851	294	294	294	2218	123	2	2	2	3
які	91573	-4.21	12	16	239	34	7	7	7	1716	77	2	2	2	3
який	91334	-4.03	10	10	239	34	6	2	2	1064	710	159	2	2	4
але	91280	-5.31	6	13	621	61	8	8	8	362	12	5	5	5	3
це	90748	-3.98	44	48	154	52	52	52	52	362	7	7	7	7	2
муніципалітет	89104	-13.95	0	0	1016	58	7	7	7	304	31	7	3	1	13
захід	82507	-5.5	0	0	1328	654	59	16	16	165	26	13	2	1	5
відстані	77363	-6.42	0	0	1833	445	293	22	11	1716	595	72	7	7	8
яких	76972	-4.22	6	6	239	34	6	2	2	922	617	106	3	3	4
схід	76695	-4.99	4	5	1713	47	15	15	15	165	26	13	1	1	4
село	75226	-4.97	10	11	1713	181	29	2	2	1445	111	5	1	1	4
інших	75188	-5.35	4	4	327	133	14	4	1	922	617	22	2	1	5
її	73797	-4.54	10	11	35	1	1	1	1	893	1	1	1	1	2
через	70965	-6.17	2	2	293	110	62	7	1	58	8	3	1	1	5
області	70862	-6.55	4	4	764	138	31	19	14	1716	207	113	3	1	7
особи	66034	-5.59	6	7	764	134	39	39	15	2218	35	10	3	2	5
чи	65274	-3.49	30	37	293	52	52	52	52	2218	37	37	37	37	2
с	63750	-4.3	0	26	1713	1713	1713	1713	1713	180	180	180	180	180	1
має	62313	-3.67	18	19	1016	271	7	7	7	240	113	8	8	8	3
тому	61618	-4.01	16	19	712	99	10	1	1	1402	274	221	9	9	4
п	60522	-4.3	0	19	2731	2731	2731	2731	2731	62	62	62	62	62	1
рік	59327	-5.01	32	38	990	119	5	5	5	338	28	4	4	4	3
їх	57192	-4.3	22	24	35	15	15	15	15	922	2	2	2	2	2
розташований	56799	-9.61	0	0	990	377	241	18	18	1064	710	386	61	32	12
яка	56176	-4.52	22	27	239	34	1	1	1	1995	347	2	2	2	3
жінок	55690	-7.03	0	0	146	17	16	10	1	338	123	18	2	1	5
