word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
کے	125434	-3.17	102	123	1137	20	20	20	20	1270	44	44	44	44	2
میں	109554	-3.53	54	62	2028	159	1	1	1	1502	313	20	20	20	3
کی	92331	-2.71	106	150	1137	148	148	148	148	2855	94	94	94	94	2
ہے	83368	-3.49	88	98	425	9	9	9	9	1270	29	29	29	29	2
اور	73084	-3.5	82	98	2169	125	30	30	30	1390	176	13	13	13	3
سے	64410	-3.69	86	100	1074	5	5	5	5	1270	25	25	25	25	2
کا	54600	-2.89	104	139	1137	198	198	198	198	1344	63	63	63	63	2
اس	43926	-2.85	86	110	2169	178	178	178	178	456	70	70	70	70	2
کو	39606	-3.18	110	140	1137	147	147	147	147	423	26	26	26	26	2
نے	32150	-3.61	90	105	782	5	5	5	5	1270	269	269	269	269	2
پر	31518	-3.17	100	119	837	145	145	145	145	1390	17	17	17	17	2
ہیں	30550	-3.46	46	56	425	58	2	2	2	1502	313	22	22	22	3
ایک	29857	-4.01	60	69	2169	193	12	12	12	329	50	9	9	9	3
ء	22233	-4.34	0	3	12	12	12	12	12	90	90	90	90	90	1
یہ	21458	-3.28	78	89	190	12	12	12	12	1543	269	269	269	269	2
کہ	20749	-2.97	82	97	1137	42	42	42	42	1543	46	46	46	46	2
بھی	20036	-3.52	40	56	1304	106	22	22	22	2855	61	8	8	8	3
کیا	17615	-3.89	94	100	1137	148	10	10	10	1344	230	2	2	2	3
ان	16030	-2.5	104	142	2169	256	256	256	256	1261	367	367	367	367	2
کر	15610	-2.84	112	145	1137	168	168	168	168	1390	55	55	55	55	2
جو	15377	-3.69	98	114	613	74	74	74	74	423	8	8	8	8	2
تھا	14264	-4.09	38	47	814	48	13	13	13	1344	55	7	7	7	3
وہ	10921	-3.74	82	92	465	12	12	12	12	1543	32	32	32	32	2
ہو	10751	-3.59	96	113	425	101	101	101	101	423	10	10	10	10	2
گیا	10727	-4.12	62	71	514	44	10	10	10	1344	230	12	12	12	3
