word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
va	206408	-3.16	54	61	374	137	137	137	137	3805	39	39	39	39	2
km	104181	-5.15	36	44	1312	2	2	2	2	315	3	3	3	3	2
joylashgan	95641	-7.61	0	0	360	78	39	25	25	2214	1347	684	57	53	10
aholi	91285	-5.81	2	5	1183	28	9	9	9	4884	438	24	3	1	5
nafar	89447	-5.9	8	9	509	188	11	6	2	1829	1257	8	3	1	5
kiradi	69509	-5.8	2	3	1312	156	36	4	2	4884	695	394	45	24	6
tarkibiga	68354	-9.54	0	0	1816	620	141	14	12	3805	929	406	9	2	9
maydoni	67765	-6.38	0	2	1617	711	44	29	23	4884	891	52	5	1	7
qiladi	65184	-5.1	12	15	1080	252	66	8	3	4884	695	394	151	118	6
istiqomat	59084	-10.97	0	0	714	200	34	11	4	632	210	19	4	1	9
aholisi	54254	-7.97	4	4	1183	28	9	9	9	4884	478	52	7	2	7
m	53165	-4.3	0	19	1617	1617	1617	1617	1617	315	315	315	315	315	1
bilan	51405	-4.77	6	8	1352	194	31	5	1	2214	1347	11	2	1	5
kishi	46150	-4.19	12	14	1312	156	35	15	13	4884	406	194	160	3	5
y	46098	-4.3	0	13	873	873	873	873	873	517	517	517	517	517	1
kommunadir	41008	-9.59	0	0	1312	426	56	7	7	1829	138	59	7	2	10
b	39834	-4.3	0	14	1352	1352	1352	1352	1352	509	509	509	509	509	1
a	39473	-4.3	0	41	1183	1183	1183	1183	1183	3805	3805	3805	3805	3805	1
har	38365	-3.18	44	49	628	269	67	67	67	1829	1257	13	13	13	3
geografiyasi	37278	-10.28	0	0	500	83	32	6	6	4884	478	354	83	72	12
tumani	35973	-6.02	0	1	1816	354	22	20	20	4884	891	47	5	1	6
mintaqasida	34814	-10.36	0	0	1617	180	50	11	11	3805	1258	537	101	78	11
da	32508	-2.26	52	68	630	225	225	225	225	3805	1258	1258	1258	1258	2
zichligi	31769	-8.56	0	0	253	49	4	4	3	4884	510	168	156	3	8
kvadrat	30745	-8.74	0	0	1312	10	6	1	1	632	210	28	2	1	7
kilometrga	30503	-11.22	0	0	1312	156	10	2	2	3805	929	137	2	1	10
o	27010	-4.3	0	38	1181	1181	1181	1181	1181	298	298	298	298	298	1
t	26775	-4.3	0	17	1816	1816	1816	1816	1816	632	632	632	632	632	1
bir	26209	-3.48	44	48	1352	194	92	92	92	1829	138	7	7	7	3
ning	25373	-3.52	10	15	509	77	4	1	1	1016	876	841	821	821	4
dengiz	25245	-7.3	0	1	630	119	21	18	18	191	78	5	3	1	6
county	23995	-8.74	0	1	515	35	5	2	2	517	4	1	1	1	6
dan	22821	-3.01	50	56	630	225	6	6	6	2214	1347	500	500	500	3
ham	22612	-4.07	36	41	628	269	31	31	31	315	65	9	9	9	3
balandlikda	22213	-9.34	0	0	1352	244	41	15	15	3805	1258	31	26	26	11
suv	22000	-3.85	26	29	1723	194	34	34	34	278	32	11	11	11	3
sathidan	21982	-8.13	0	0	1723	344	10	6	5	2214	1347	500	214	19	8
fransiyaning	21688	-10.71	0	0	446	35	21	20	11	1016	876	841	821	83	12
esa	21583	-5.19	8	12	495	32	3	3	3	3805	47	2	2	2	3
departamenti	21579	-12.82	0	0	630	119	7	3	3	4884	209	15	10	5	12
arrondissement	21503	-16.4	0	0	1183	119	3	1	1	632	75	31	9	3	14
s	21496	-4.3	0	23	1723	1723	1723	1723	1723	355	355	355	355	355	1
uchun	20597	-5.78	0	1	497	51	50	4	2	2214	54	2	1	1	5
i	20516	-4.3	0	37	714	714	714	714	714	4884	4884	4884	4884	4884	1
okrugi	20358	-8.23	0	1	1181	41	3	3	3	4884	510	3	2	1	6
boʻlgan	20223	-5.15	2	4	1352	497	148	84	12	2214	1347	684	181	3	7
shahardir	19368	-9.32	0	0	1723	456	216	44	29	1829	138	59	6	3	9
yoki	19335	-5.8	8	8	873	306	1	1	1	4884	52	5	1	1	4
bu	19010	-4.06	48	56	1352	157	157	157	157	89	3	3	3	3	2
k	18557	-4.3	0	19	1312	1312	1312	1312	1312	746	746	746	746	746	1
shundan	16950	-6.28	2	3	1723	456	40	11	4	2214	1347	500	24	5	7
ga	16925	-2.73	54	65	500	85	85	85	85	3805	929	929	929	929	2
aqshning	16778	-7.59	0	0	1183	11	5	5	1	1016	876	841	821	24	8
q	16631	-4.3	0	5	1080	1080	1080	1080	1080	274	274	274	274	274	1
shtatida	16547	-7.43	0	0	1723	456	14	12	10	3805	1258	537	56	24	8
oʻrtacha	16065	-8.0	0	0	1181	425	89	16	16	3805	138	113	39	5	8
quruqlik	15830	-7.17	0	0	1080	180	77	12	5	746	535	329	7	2	8
ushbu	15701	-8.26	0	0	497	89	6	1	1	89	3	1	1	1	5
ngc	15084	-6.87	0	1	509	4	1	1	1	25	1	1	1	1	3
u	14738	-4.3	0	28	497	497	497	497	497	89	89	89	89	89	1
yulduz	14576	-7.62	0	1	873	164	15	12	12	191	25	3	1	1	6
yerida	14476	-5.15	4	6	873	118	27	4	2	3805	1258	537	160	2	6
yangi	14475	-5.83	6	7	873	203	28	14	14	4884	510	11	4	1	5
g	14437	-4.3	0	17	500	500	500	500	500	1016	1016	1016	1016	1016	1
mavjud	14339	-6.86	0	0	1617	711	36	6	6	290	13	2	1	1	6
bor	14062	-3.31	46	52	1352	497	41	41	41	1829	198	8	8	8	3
provinsiyasi	13352	-11.14	0	0	588	70	33	5	5	4884	478	354	83	72	12
maydonidir	13074	-10.87	0	0	1617	711	44	29	23	1829	138	59	16	1	10
boʻlib	12917	-5.2	4	6	1352	497	148	84	37	509	325	63	3	3	6
uning	12829	-4.48	6	8	497	57	18	2	2	1016	876	841	821	3	5
umumiy	12599	-7.37	0	0	497	38	24	18	4	517	325	22	3	1	6
turkumidagi	12560	-9.15	0	0	1816	354	104	35	10	4884	510	295	272	123	11
tipli	12559	-6.84	2	4	1816	155	12	2	1	4884	438	1	1	1	5
provinsiya	12058	-9.86	0	0	588	70	33	5	5	3805	342	306	82	9	10
d	12031	-4.3	0	12	630	630	630	630	630	290	290	290	290	290	1
olmoniyaning	12029	-10.52	0	0	1181	124	15	4	3	1016	876	841	821	83	12
n	11745	-4.3	0	22	509	509	509	509	509	2214	2214	2214	2214	2214	1
sh	11666	-2.36	40	53	1723	456	456	456	456	702	533	533	533	533	2
etgan	11249	-4.58	2	6	495	80	6	6	5	2214	1347	684	59	3	5
tashkil	10902	-7.47	2	3	1816	620	101	53	20	472	89	3	1	1	7
katta	10839	-6.13	6	6	1312	275	34	15	15	3805	115	8	2	1	5
p	10629	-4.3	0	15	588	588	588	588	588	48	48	48	48	48	1
oʻzbekiston	10395	-8.91	0	0	1181	425	87	14	14	2214	445	70	39	28	11
boʻladi	10381	-5.47	2	4	1352	497	148	84	15	4884	695	394	151	2	7
ming	10157	-3.37	12	14	1617	180	50	8	8	1016	876	841	2	2	4
deb	10147	-4.78	22	23	630	119	2	2	2	509	7	1	1	1	3
eng	10139	-3.87	10	14	495	31	2	2	2	1016	876	3	3	3	3
ni	10083	-2.86	60	74	509	77	77	77	77	4884	891	891	891	891	2
yilda	10014	-5.25	8	11	873	76	38	3	3	3805	1258	23	4	1	5
galaktikadir	9948	-13.15	0	0	500	85	17	5	4	1829	138	59	7	1	12
ic	9936	-4.44	36	40	714	25	25	25	25	25	5	5	5	5	2
x	9870	-4.3	0	8	361	361	361	361	361	59	59	59	59	59	1
lar	9791	-3.04	44	57	360	115	18	18	18	1829	1257	1121	1121	1121	3
bo	9548	-3.46	54	68	1352	497	497	497	497	298	10	10	10	10	2
asosiy	9158	-6.91	0	1	1183	151	28	26	8	517	325	21	6	1	6
shu	9140	-5.21	16	21	1723	456	40	40	40	89	2	1	1	1	3
yil	8904	-4.25	34	37	873	76	38	38	38	472	89	5	5	5	3
davlat	8809	-6.96	0	1	630	225	71	25	25	632	210	21	4	4	6
hamda	8738	-5.13	12	13	628	269	31	4	1	3805	1258	23	6	1	5
oʻz	8680	-4.14	10	17	1181	425	87	87	87	191	5	5	5	5	3
v	8636	-4.3	0	16	374	374	374	374	374	278	278	278	278	278	1
r	8603	-4.3	0	20	549	549	549	549	549	1829	1829	1829	1829	1829	1
e	8419	-4.3	0	21	495	495	495	495	495	271	271	271	271	271	1
turli	8362	-4.73	14	15	1816	354	104	13	3	4884	438	30	3	2	5
asl	8333	-5.99	14	19	1183	151	3	3	3	472	2	2	2	2	3
oʻrta	8252	-5.25	6	9	1181	425	89	16	16	3805	115	12	1	1	5
hosil	8168	-6.87	2	3	628	119	16	12	12	472	89	13	4	2	5
koʻp	8096	-4.82	12	13	1312	426	194	28	28	48	3	3	1	1	4
asosan	7954	-7.47	0	0	1183	151	28	26	1	2214	1347	8	1	1	6
mumkin	7941	-7.71	0	0	1617	344	5	3	3	2214	195	14	1	1	6
italiyaning	7888	-10.13	0	0	714	21	8	8	6	1016	876	841	821	83	11
iborat	7885	-7.73	4	6	714	21	11	5	5	632	210	28	9	1	6
shim	7737	-4.58	16	19	1723	456	66	10	10	315	86	9	2	2	4
ega	7653	-3.51	12	17	495	29	24	24	24	3805	929	3	3	3	3
kashf	7594	-6.8	0	0	1312	275	51	8	3	73	2	1	1	1	5
katalog	7560	-8.36	0	1	1312	275	34	7	7	1016	21	6	3	1	7
obyekt	7551	-7.95	0	1	1181	42	3	3	3	632	12	4	3	1	6
nashrida	7540	-7.61	0	0	509	188	30	12	10	3805	1258	537	160	2	8
ta	7533	-2.6	52	70	1816	620	620	620	620	3805	115	115	115	115	2
kabi	7501	-5.41	6	8	1312	275	9	6	6	4884	36	10	1	1	4
