word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
de	67015	-2.56	86	104	1059	302	302	302	302	3517	159	159	159	159	2
el	50493	-3.4	50	66	634	51	51	51	51	447	70	70	70	70	2
e	33046	-4.3	0	42	634	634	634	634	634	3517	3517	3517	3517	3517	1
ła	32439	-2.99	62	66	203	52	52	52	52	4390	130	130	130	130	2
i	27557	-4.3	0	34	791	791	791	791	791	2941	2941	2941	2941	2941	1
a	25060	-4.3	0	44	1418	1418	1418	1418	1418	4390	4390	4390	4390	4390	1
la	24443	-2.84	70	80	608	149	149	149	149	4390	119	119	119	119	2
xe	23066	-3.07	74	79	142	33	33	33	33	3517	153	153	153	153	2
l	22727	-4.3	0	22	608	608	608	608	608	447	447	447	447	447	1
che	16332	-3.03	16	24	2299	101	14	14	14	3517	188	100	100	100	3
del	15295	-4.13	38	46	1059	302	13	13	13	447	70	4	4	4	3
in	14759	-2.63	44	66	791	525	525	525	525	1392	156	156	156	156	2
da	12007	-2.62	82	101	1059	103	103	103	103	4390	305	305	305	305	2
se	11468	-2.26	88	108	2151	332	332	332	332	3517	328	328	328	328	2
par	9996	-2.87	44	57	1883	448	183	183	183	826	324	18	18	18	3
na	9511	-2.53	78	94	559	160	160	160	160	4390	424	424	424	424	2
łe	9123	-3.0	66	69	203	33	33	33	33	3517	299	299	299	299	2
al	8990	-2.75	58	72	1418	175	175	175	175	447	215	215	215	215	2
un	8502	-3.59	28	36	238	75	75	75	75	1392	22	22	22	22	2
co	7741	-2.13	76	93	2299	979	979	979	979	3811	251	251	251	251	2
le	7352	-2.64	74	85	608	124	124	124	124	3517	230	230	230	230	2
ga	7243	-2.72	76	84	682	121	121	121	121	4390	172	172	172	172	2
so	6483	-2.35	78	96	2151	272	272	272	272	3811	221	221	221	221	2
anca	5458	-4.92	20	27	1418	200	18	1	1	4390	285	19	12	12	4
dei	4949	-4.49	38	44	1059	302	1	1	1	2941	51	3	3	3	3
en	4723	-3.91	46	63	634	58	58	58	58	1392	86	86	86	86	2
on	4417	-3.24	32	48	511	36	36	36	36	1392	760	760	760	760	2
ghe	4184	-3.37	14	19	682	28	8	8	8	3517	188	84	84	84	3
ntel	4083	-6.01	8	15	559	12	10	3	3	447	70	12	5	5	4
o	4034	-4.3	0	31	511	511	511	511	511	3811	3811	3811	3811	3811	1
dal	4024	-4.32	36	44	1059	103	14	14	14	447	215	10	10	10	3
è	3952	-4.32	0	10	16	16	16	16	16	49	49	49	49	49	1
stà	3832	-3.56	18	25	2151	294	8	8	8	858	265	19	19	19	3
come	3312	-4.17	20	22	2299	979	125	18	18	3517	75	9	2	2	4
no	3201	-2.52	72	90	559	142	142	142	142	3811	301	301	301	301	2
sta	3071	-2.94	34	50	2151	294	105	105	105	4390	541	115	115	115	3
ł	2967	-4.3	0	10	203	203	203	203	203	12	12	12	12	12	1
inte	2809	-3.44	8	15	791	525	137	93	93	3517	637	403	5	5	4
xé	2799	-5.17	28	30	142	2	2	2	2	40	1	1	1	1	2
gà	2749	-4.1	54	59	682	2	2	2	2	858	37	37	37	37	2
nte	2704	-4.13	6	21	559	12	10	10	10	3517	637	403	403	403	3
ma	2680	-2.48	84	101	1331	479	479	479	479	4390	135	135	135	135	2
gha	2521	-5.33	14	18	682	28	5	5	5	4390	13	1	1	1	3
deła	2480	-4.58	28	31	1059	302	8	1	1	4390	130	37	3	3	4
abitanti	2479	-7.34	0	1	1418	66	25	19	12	2941	553	219	60	15	8
dopo	2415	-4.91	14	16	1059	199	38	4	4	3811	50	9	3	3	4
provincia	2411	-7.67	0	0	1883	500	233	41	21	4390	643	46	9	3	9
parte	2313	-4.32	16	22	1883	448	183	72	24	3517	637	30	6	3	5
pì	2241	-4.59	42	45	1883	7	7	7	7	31	1	1	1	1	2
su	2229	-4.21	60	73	2151	144	144	144	144	76	2	2	2	2	2
san	2193	-3.91	40	47	2151	225	33	33	33	1392	203	8	8	8	3
xè	2192	-4.06	40	44	142	7	7	7	7	49	3	3	3	3	2
pi	2151	-2.99	72	89	1883	219	219	219	219	2941	45	45	45	45	2
vien	2138	-5.32	10	16	777	230	12	5	5	1392	86	14	4	4	4
nel	2055	-4.88	34	43	559	86	7	7	7	447	70	6	6	6	3
tel	2041	-4.24	36	42	959	233	11	11	11	447	70	12	12	12	3
do	1938	-2.38	76	91	1059	199	199	199	199	3811	304	304	304	304	2
con	1934	-2.27	42	47	2299	979	459	459	459	1392	760	5	5	5	3
c	1930	-4.3	0	27	2299	2299	2299	2299	2299	52	52	52	52	52	1
nord	1891	-5.31	14	15	559	142	36	8	8	128	25	8	1	1	4
fin	1850	-3.74	38	46	902	187	60	60	60	1392	156	7	7	7	3
d	1846	-4.3	0	24	1059	1059	1059	1059	1059	128	128	128	128	128	1
ani	1833	-3.31	30	44	1418	200	17	17	17	2941	415	109	109	109	3
n	1819	-4.3	0	25	559	559	559	559	559	1392	1392	1392	1392	1392	1
nome	1816	-5.03	18	20	559	142	17	3	3	3517	75	9	5	5	4
te	1771	-2.36	70	86	959	233	233	233	233	3517	637	637	637	637	2
sità	1752	-4.13	18	21	2151	242	23	1	1	858	265	139	13	13	4
prima	1750	-5.42	8	11	1883	500	77	18	8	4390	135	31	3	2	5
sud	1681	-4.58	22	26	2151	144	32	32	32	128	3	1	1	1	3
tra	1663	-2.95	30	40	959	249	135	135	135	4390	447	40	40	40	3
cata	1632	-3.96	40	47	2299	614	63	20	20	4390	541	58	2	2	4
di	1605	-2.64	72	87	1059	346	346	346	346	2941	118	118	118	118	2
comune	1598	-5.7	2	3	2299	979	125	25	25	3517	309	8	1	1	6
ne	1531	-2.81	82	98	559	86	86	86	86	3517	309	309	309	309	2
pol	1525	-4.01	34	41	1883	337	36	36	36	447	31	1	1	1	3
ai	1392	-3.51	76	103	1418	12	12	12	12	2941	121	121	121	121	2
sto	1359	-3.04	30	41	2151	294	26	26	26	3811	744	89	89	89	3
gera	1350	-4.44	32	37	682	89	22	5	5	4390	447	107	4	4	4
col	1316	-3.65	36	42	2299	979	72	72	72	447	31	5	5	5	3
stato	1243	-4.85	8	11	2151	294	105	22	1	3811	744	84	9	1	5
fato	1224	-4.08	30	35	902	179	13	4	4	3811	744	84	3	3	4
più	1204	-4.81	18	20	1883	219	1	1	1	54	2	2	2	2	3
fa	1161	-3.44	64	77	902	179	179	179	179	4390	10	10	10	10	2
storia	1153	-5.52	6	9	2151	294	26	16	8	4390	643	131	24	12	6
ała	1133	-4.38	32	41	1418	28	4	4	4	4390	130	14	14	14	3
venesia	1114	-6.74	10	12	777	253	69	32	11	4390	643	78	11	2	7
est	1108	-4.2	12	20	634	156	49	49	49	276	44	26	26	26	3
ke	1082	-3.62	60	64	125	19	19	19	19	3517	13	13	13	13	2
xera	1072	-5.53	24	26	142	33	3	1	1	4390	447	107	2	2	4
primo	1072	-5.32	10	11	1883	500	77	18	1	3811	132	33	1	1	5
altri	1057	-5.41	6	8	1418	175	43	7	2	2941	394	39	5	5	5
dai	1057	-4.49	50	56	1059	103	1	1	1	2941	121	6	6	6	3
tuti	1028	-4.62	18	21	959	65	18	2	2	2941	553	16	3	3	4
guera	1004	-5.47	10	12	682	52	13	10	1	4390	447	107	2	2	5
secondo	961	-6.62	10	11	2151	332	23	15	9	3811	304	155	10	1	7
mar	946	-3.2	48	60	1331	479	111	111	111	826	324	12	12	12	3
ovest	942	-6.76	2	3	511	18	8	1	1	276	44	26	6	4	5
à	940	-4.31	0	15	31	31	31	31	31	858	858	858	858	858	1
una	935	-3.74	20	28	238	75	2	2	2	4390	424	21	21	21	3
s	889	-4.3	0	30	2151	2151	2151	2151	2151	325	325	325	325	325	1
teritorio	877	-8.39	0	0	959	233	62	11	9	3811	482	119	20	12	9
per	872	-3.34	22	33	1883	212	106	106	106	826	191	6	6	6	3
durante	865	-6.48	2	2	1059	40	16	8	1	3517	637	403	75	6	7
soto	844	-4.23	38	44	2151	272	20	13	13	3811	744	35	2	2	4
far	832	-3.68	42	50	902	179	24	24	24	826	324	3	3	3	3
fine	820	-4.26	26	33	902	187	60	4	4	3517	309	75	3	3	4
dełe	816	-4.2	28	30	1059	302	8	3	3	3517	299	24	4	4	4
cofà	804	-6.13	2	2	2299	979	2	1	1	858	6	1	1	1	4
cui	800	-4.68	24	29	2299	112	3	3	3	2941	19	1	1	1	3
secolo	797	-6.28	6	6	2151	332	23	15	2	3811	126	49	15	1	6
paexe	797	-5.41	8	10	1883	448	13	4	1	3517	153	78	1	1	5
dove	790	-4.65	24	31	1059	199	22	10	10	3517	84	13	3	3	4
grupo	776	-6.68	6	7	682	143	5	5	1	3811	50	8	2	2	5
anno	776	-5.22	12	15	1418	200	7	2	2	3811	301	2	2	2	4
il	772	-4.54	48	55	791	6	6	6	6	447	29	29	29	29	2
fora	761	-3.9	32	42	902	176	88	2	2	4390	447	46	1	1	4
serie	760	-5.35	10	14	2151	332	69	6	2	3517	143	31	8	1	5
cavedal	759	-8.04	2	3	2299	614	33	9	4	447	215	10	3	1	7
ano	756	-3.57	34	46	1418	200	6	6	6	3811	301	98	98	98	3
