word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
là	1814001	-4.39	126	132	987	7	7	7	7	27	1	1	1	1	2
một	1395528	-4.49	54	56	1413	4	1	1	1	917	13	1	1	1	3
trong	1130152	-4.93	40	43	1416	295	24	2	1	824	688	44	5	4	5
được	1122632	-5.02	14	14	234	6	1	1	1	385	9	8	1	1	4
loài	1067880	-5.02	16	18	987	115	2	2	2	1101	23	6	2	2	4
và	1063127	-4.39	140	146	534	7	7	7	7	27	1	1	1	1	2
của	1048693	-4.56	24	26	1855	4	1	1	1	3459	5	1	1	1	3
năm	1044771	-4.61	52	53	916	3	1	1	1	950	15	1	1	1	3
có	954573	-4.4	110	116	1855	6	6	6	6	14	1	1	1	1	2
này	799737	-4.44	28	31	916	7	1	1	1	621	11	1	1	1	3
các	678735	-4.17	56	60	1855	17	4	4	4	385	19	1	1	1	3
họ	677363	-4.26	96	102	988	6	6	6	6	11	3	3	3	3	2
học	545231	-4.18	38	42	988	6	1	1	1	385	15	4	4	4	3
người	520400	-6.16	4	4	916	156	7	1	1	1101	15	4	1	1	5
đầu	493063	-4.53	36	37	234	3	1	1	1	389	14	1	1	1	3
tả	468126	-4.42	148	156	1416	5	5	5	5	26	1	1	1	1	2
miêu	455236	-5.0	18	18	1413	207	2	1	1	389	23	15	1	1	4
ở	448567	-4.71	0	10	1	1	1	1	1	19	19	19	19	19	1
khoa	423113	-5.01	18	23	737	160	24	5	5	3459	28	6	1	1	4
hoa	398058	-4.19	52	60	988	162	3	3	3	3459	28	6	6	6	3
đã	390385	-4.48	88	90	234	3	3	3	3	13	1	1	1	1	2
số	381958	-4.44	116	119	1578	4	4	4	4	10	1	1	1	1	2
với	380447	-4.53	48	50	534	3	1	1	1	1101	14	1	1	1	3
tiên	379618	-5.26	36	39	1416	91	3	1	1	1933	36	17	1	1	4
vật	372604	-4.52	54	55	534	3	1	1	1	917	19	1	1	1	3
thực	360966	-5.32	20	21	1416	335	2	1	1	385	12	1	1	1	4
thuộc	346113	-4.99	6	7	1416	335	32	2	1	385	14	7	2	1	5
cho	342864	-4.25	88	104	1855	444	24	24	24	658	18	5	5	5	3
thành	337695	-5.49	16	18	1416	335	4	2	1	499	146	16	2	1	5
dân	328984	-4.19	64	66	842	6	2	2	2	1933	24	1	1	1	3
vào	288843	-4.42	32	35	534	7	1	1	1	658	19	1	1	1	3
không	270397	-4.62	32	36	737	160	4	2	1	824	688	37	6	1	5
những	268386	-5.29	20	20	916	136	2	1	1	824	688	4	2	1	5
từ	263618	-4.55	128	130	1416	2	2	2	2	5	1	1	1	1	2
quân	258129	-4.44	32	33	117	99	2	1	1	1933	24	7	1	1	4
tháng	250981	-5.11	38	42	1416	335	10	3	1	824	688	21	3	1	5
ông	241177	-4.51	24	42	13	2	1	1	1	824	688	37	37	37	3
công	236508	-4.64	74	78	1855	7	2	1	1	824	688	37	1	1	4
khi	233835	-4.43	62	74	737	160	13	13	13	1101	47	1	1	1	3
đến	229439	-4.59	60	61	234	3	1	1	1	1933	24	1	1	1	3
tại	227456	-4.41	62	66	1416	8	1	1	1	1101	18	1	1	1	3
nam	225650	-4.43	64	70	916	112	8	8	8	950	78	4	4	4	3
ngày	221994	-5.47	14	16	916	156	7	1	1	621	11	1	1	1	4
sau	214699	-4.28	62	67	1578	229	11	11	11	389	41	4	4	4	3
bởi	210879	-4.64	40	43	1206	2	1	1	1	1101	7	1	1	1	3
chính	208375	-5.65	16	17	1855	444	5	2	1	499	146	9	2	1	5
về	205643	-4.55	128	129	534	1	1	1	1	14	2	2	2	2	2
quốc	199855	-5.2	12	12	117	99	1	1	1	385	23	6	1	1	4
đó	198232	-4.4	82	88	234	6	6	6	6	14	1	1	1	1	2
ra	195855	-2.85	152	180	736	109	109	109	109	3459	331	331	331	331	2
thời	192610	-5.31	24	27	1416	335	2	1	1	1101	15	1	1	1	4
