word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
in	353001	-3.23	26	39	255	61	61	61	61	2501	313	313	313	313	2
e	307261	-4.3	0	20	479	479	479	479	479	3082	3082	3082	3082	3082	1
mö	279113	-4.45	20	23	1718	27	27	27	27	6	1	1	1	1	2
binon	198283	-5.21	20	26	1767	114	19	8	2	2501	952	61	12	5	5
a	175755	-4.3	0	30	1153	1153	1153	1153	1153	1944	1944	1944	1944	1944	1
u	165940	-4.3	0	14	121	121	121	121	121	374	374	374	374	374	1
km²	165052	-5.02	0	1	543	2	1	1	1	2	1	1	1	1	3
äbinon	123640	-6.49	6	9	136	13	7	7	5	2501	952	61	12	5	6
bäldoti	118283	-9.51	2	3	1767	7	4	4	3	480	90	8	2	1	7
lifayelas	118279	-10.12	0	0	1271	212	15	8	2	2387	222	20	6	2	9
us	117930	-3.93	18	24	121	11	11	11	11	2387	97	97	97	97	2
plu	115985	-4.78	10	15	1290	92	7	7	7	374	17	2	2	2	3
bäldotü	113436	-9.74	2	3	1767	7	4	4	3	50	9	5	1	1	7
mens	104497	-4.32	24	27	1718	209	26	1	1	2387	288	40	1	1	4
zif	96430	-5.35	6	10	70	16	4	4	4	226	9	2	2	2	3
labon	95986	-5.28	8	11	1271	412	17	5	2	2501	952	25	4	2	5
patedik	94552	-7.58	0	0	1290	291	30	5	2	492	251	35	6	2	7
topon	93755	-5.94	0	1	833	141	12	2	2	2501	952	5	1	1	5
videtü	93537	-9.02	0	0	798	228	8	1	1	50	9	2	1	1	6
lunetü	93493	-8.22	2	2	1271	124	21	3	1	50	9	2	1	1	6
ela	90984	-4.21	26	41	479	106	9	9	9	1944	240	14	14	14	3
lifayels	89746	-8.74	0	0	1271	212	15	8	2	2387	80	22	6	3	8
n	88569	-4.3	0	12	573	573	573	573	573	2501	2501	2501	2501	2501	1
äbinons	85757	-7.63	2	4	136	13	7	7	5	2387	288	95	11	4	7
belödanis	76908	-10.44	0	0	1767	357	97	1	1	2387	263	14	2	1	9
jü	71536	-4.36	20	23	295	4	4	4	4	50	1	1	1	1	2
sürfat	71499	-9.66	0	1	1578	10	2	2	2	1093	77	3	1	1	6
me	71292	-2.9	32	45	1718	209	209	209	209	3082	66	66	66	66	2
pösods	70992	-7.64	0	3	1290	15	5	5	5	2387	72	12	1	1	6
mans	70850	-3.66	34	41	1718	588	67	4	4	2387	288	89	8	8	4
lemesed	70799	-9.61	0	1	1271	199	13	3	2	787	46	5	1	1	7
läs	68584	-5.84	14	17	1271	17	1	1	1	2387	3	1	1	1	3
ädabinons	57205	-10.31	0	0	136	16	7	4	4	2387	288	95	11	4	9
