word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
l	23399	-4.3	0	28	735	735	735	735	735	239	239	239	239	239	1
a	20177	-4.3	0	36	1494	1494	1494	1494	1494	788	788	788	788	788	1
di	19433	-3.08	72	90	1542	515	515	515	515	445	26	26	26	26	2
li	18396	-3.45	72	80	735	180	180	180	180	445	27	27	27	27	2
les	17799	-3.14	40	49	735	115	5	5	5	4676	2191	160	160	160	3
d	16582	-4.3	0	24	1542	1542	1542	1542	1542	245	245	245	245	245	1
des	15444	-3.01	32	38	1542	156	26	26	26	4676	2191	75	75	75	3
on	15264	-3.64	48	70	437	17	17	17	17	1180	496	496	496	496	2
est	14095	-5.07	8	17	794	148	37	37	37	1852	20	7	7	7	3
e	11850	-4.3	0	29	794	794	794	794	794	6242	6242	6242	6242	6242	1
et	11135	-3.02	46	59	794	94	94	94	94	1852	208	208	208	208	2
c	10699	-4.3	0	19	1830	1830	1830	1830	1830	44	44	44	44	44	1
do	9846	-3.47	60	72	1542	113	113	113	113	247	19	19	19	19	2
ene	9624	-3.37	30	44	794	48	4	4	4	6242	603	148	148	148	3
ki	8768	-3.37	58	65	185	70	70	70	70	445	21	21	21	21	2
k	8678	-4.3	0	18	185	185	185	185	185	159	159	159	159	159	1
del	7447	-4.17	32	36	1542	156	17	17	17	239	70	4	4	4	3
dins	7075	-3.89	26	34	1542	515	31	2	2	4676	391	130	4	4	4
po	6925	-3.84	52	63	1566	283	283	283	283	247	5	5	5	5	2
i	6048	-4.3	0	34	339	339	339	339	339	445	445	445	445	445	1
avou	5812	-5.36	14	17	1494	101	8	1	1	538	194	10	1	1	4
s	5438	-4.3	0	30	1649	1649	1649	1649	1649	4676	4676	4676	4676	4676	1
walon	4880	-5.08	8	13	292	151	38	14	12	1180	496	33	6	1	5
la	3667	-3.25	66	77	735	135	135	135	135	788	62	62	62	62	2
si	3618	-3.43	68	78	1649	299	299	299	299	445	13	13	13	13	2
å	3614	-4.3	0	10	149	149	149	149	149	107	107	107	107	107	1
il	3606	-4.85	48	55	339	6	6	6	6	239	17	17	17	17	2
eto	3532	-5.07	14	19	794	94	3	3	3	247	27	3	3	3	3
gn	3408	-5.01	26	33	472	10	10	10	10	1180	7	7	7	7	2
n	3403	-4.3	0	22	420	420	420	420	420	1180	1180	1180	1180	1180	1
so	3312	-3.55	56	73	1649	242	242	242	242	247	8	8	8	8	2
come	3060	-3.78	32	38	1830	661	109	10	10	6242	177	22	1	1	4
pus	2931	-3.9	20	26	1566	49	3	3	3	4676	309	6	6	6	3
nén	2847	-5.07	18	21	420	4	1	1	1	1180	70	1	1	1	3
mins	2782	-3.62	18	23	1348	154	44	1	1	4676	391	130	5	5	4
el	2705	-3.5	46	61	794	49	49	49	49	239	70	70	70	70	2
anêyes	2698	-5.24	4	7	1494	137	3	2	2	4676	2191	310	137	24	6
inme	2671	-4.7	10	16	339	149	6	3	3	6242	177	28	28	28	4
pa	2613	-3.38	58	70	1566	267	267	267	267	788	13	13	13	13	2
al	2376	-3.23	56	69	1494	137	137	137	137	239	62	62	62	62	2
stî	2364	-4.16	10	14	1649	166	3	3	3	538	45	8	8	8	3
eyet	2318	-6.0	4	7	794	9	2	1	1	1852	208	10	1	1	4
walonreye	2284	-8.23	0	0	292	151	38	14	12	6242	904	464	109	11	9
ont	2259	-4.23	18	26	437	17	1	1	1	1852	760	87	87	87	3
esteut	2169	-6.44	2	5	794	148	37	7	2	1852	246	100	8	3	6
u	2091	-4.3	0	26	91	91	91	91	91	538	538	538	538	538	1
payis	1967	-5.64	8	11	1566	267	21	10	1	4676	143	3	2	1	5
èn	1937	-4.93	26	31	40	5	5	5	5	1180	1	1	1	1	2
sont	1907	-3.72	20	23	1649	242	19	1	1	1852	760	87	1	1	4
sol	1891	-4.55	36	41	1649	242	22	22	22	239	19	1	1	1	3
da	1870	-3.17	66	74	1542	78	78	78	78	788	49	49	49	49	2
tot	1795	-4.27	24	31	1278	193	13	13	13	1852	65	9	9	9	3
sieke	1789	-6.09	8	11	1649	299	22	2	2	6242	271	23	1	1	5
z	1777	-4.31	0	8	72	72	72	72	72	87	87	87	87	87	1
anêye	1733	-4.68	6	10	1494	137	3	2	2	6242	904	308	45	4	5
fwait	1632	-5.4	0	9	876	20	11	9	5	1852	62	26	10	9	5
minme	1524	-4.9	8	12	1348	154	44	3	2	6242	177	28	28	2	5
francès	1518	-6.6	4	6	876	132	55	43	24	4676	254	8	2	2	7
no	1465	-3.46	54	65	420	154	154	154	154	247	22	22	22	22	2
ås	1442	-4.02	34	43	149	4	4	4	4	4676	44	44	44	44	2
après	1410	-5.81	4	5	1494	89	26	1	1	4676	254	19	4	1	5
ele	1381	-3.58	28	39	794	49	20	20	20	6242	401	77	77	77	3
djins	1366	-4.43	8	10	1542	367	46	17	1	4676	391	130	5	5	5
ou	1359	-3.42	72	91	437	49	49	49	49	538	194	194	194	194	2
fé	1310	-3.91	46	51	876	8	8	8	8	554	6	6	6	6	2
deus	1254	-3.91	24	28	1542	156	10	1	1	4676	309	175	13	13	4
ptit	1242	-6.06	2	8	1566	9	7	5	5	1852	62	6	1	1	4
st	1210	-3.67	50	64	1649	166	166	166	166	1852	20	20	20	20	2
ses	1194	-2.99	46	50	1649	137	2	2	2	4676	2191	196	196	196	3
mots	1194	-4.44	14	18	1348	340	20	1	1	4676	315	24	2	2	4
ci	1190	-3.83	70	81	1830	95	95	95	95	445	16	16	16	16	2
pout	1190	-4.2	22	27	1566	283	34	3	3	1852	246	12	1	1	4
bråmint	1179	-7.04	4	4	1169	159	7	2	1	1852	760	270	234	1	7
bén	1170	-3.99	18	24	1169	13	7	7	7	1180	70	16	16	16	3
co	1157	-3.29	58	72	1830	661	661	661	661	247	15	15	15	15	2
sacwants	1151	-7.8	0	3	1649	166	19	8	5	4676	315	159	100	6	8
aveut	1142	-5.25	8	11	1494	101	16	7	1	1852	246	100	9	2	5
vey	1131	-4.9	16	25	634	106	12	12	12	173	28	5	5	5	3
ey	1117	-4.84	34	43	794	9	9	9	9	173	28	28	28	28	2
tins	1111	-4.07	18	20	1278	129	34	2	2	4676	391	130	16	16	4
ans	1111	-3.59	14	24	1494	137	7	7	7	4676	391	45	45	45	3
djoûs	1103	-5.35	2	4	1542	367	85	2	1	4676	29	19	2	2	5
sovint	1102	-5.49	4	4	1649	242	18	4	1	1852	760	270	6	2	6
va	1089	-3.45	52	64	634	65	65	65	65	788	27	27	27	27	2
esse	1071	-3.63	8	25	794	148	14	8	8	6242	501	377	110	110	4
mot	1061	-4.01	22	32	1348	340	20	20	20	1852	65	2	2	2	3
î	1053	-4.36	0	15	10	10	10	10	10	538	538	538	538	538	1
de	1019	-2.62	62	72	1542	156	156	156	156	6242	216	216	216	216	2
foirt	1005	-4.95	6	11	876	201	21	10	3	1852	89	11	9	3	5
cwand	1002	-5.74	4	6	1830	71	22	7	1	245	72	27	1	1	5
çou	961	-5.29	24	25	16	4	4	4	4	538	194	2	2	2	3
lidje	943	-4.47	10	13	735	180	5	5	2	6242	611	606	8	2	5
ôtes	940	-4.54	6	12	43	13	2	1	1	4676	2191	238	6	6	4
ça	938	-4.7	38	40	16	3	3	3	3	788	5	5	5	5	2
disk	932	-5.25	2	4	1542	515	204	2	2	159	8	1	1	1	4
dit	928	-4.22	30	36	1542	515	4	4	4	1852	62	2	2	2	3
lingaedje	910	-7.04	0	0	735	180	42	9	7	6242	611	606	512	503	9
province	907	-6.69	0	0	1566	300	116	18	3	6242	287	164	49	1	8
sint	899	-3.44	20	27	1649	299	70	22	22	1852	760	270	4	4	4
elle	898	-4.44	6	11	794	49	5	2	2	6242	401	45	21	21	4
inte	894	-4.01	12	23	339	149	28	17	17	6242	595	118	26	26	4
ni	891	-3.67	66	77	420	44	44	44	44	445	44	44	44	44	2
djoû	885	-4.9	10	12	1542	367	85	2	2	69	46	5	5	5	4
live	867	-4.33	24	29	735	180	14	4	4	6242	284	71	3	3	4
ban	858	-3.87	42	51	1169	252	21	21	21	1180	141	10	10	10	3
nos	849	-4.38	34	42	420	154	4	4	4	4676	57	7	7	7	3
veye	849	-3.74	44	48	634	106	12	2	2	6242	904	464	31	31	4
awousse	833	-6.92	0	1	1494	14	3	2	2	6242	501	377	30	10	7
pol	825	-4.19	32	40	1566	283	50	50	50	239	19	5	5	5	3
ancyin	824	-6.05	0	1	1494	137	10	5	5	1180	335	70	13	1	6
tos	822	-4.16	32	41	1278	193	6	6	6	4676	57	10	10	10	3
måss	822	-5.65	4	5	1348	95	6	3	3	4676	29	1	1	1	4
calindrî	812	-8.51	0	0	1830	334	34	10	3	538	20	7	4	1	8
ôte	804	-4.05	22	27	43	13	2	2	2	6242	595	5	5	5	3
fén	798	-4.58	12	15	876	8	2	2	2	1180	70	4	4	4	3
may	777	-4.28	34	41	1348	431	17	17	17	173	23	1	1	1	3
mwaisse	769	-6.03	0	3	1348	28	13	11	6	6242	501	377	142	6	7
djulete	764	-6.6	2	3	1542	367	48	7	4	6242	595	174	33	1	7
adon	753	-4.55	10	13	1494	121	17	2	2	1180	496	14	3	3	4
aiwe	749	-5.27	10	12	1494	41	3	2	2	6242	111	5	4	4	4
avri	741	-5.85	6	7	1494	101	4	2	2	445	58	6	1	1	4
djun	737	-5.47	10	12	1542	367	48	3	3	1180	11	1	1	1	4
prumî	736	-6.07	6	7	1566	300	22	11	3	538	7	1	1	1	5
fevrî	735	-7.94	0	0	876	87	2	1	1	538	20	3	1	1	5
setimbe	734	-8.35	0	0	1649	137	19	3	1	6242	68	21	8	1	7
decimbe	730	-8.48	2	2	1542	156	23	11	2	6242	68	21	8	2	7
djanvî	726	-7.95	0	1	1542	367	54	9	2	538	9	1	1	1	6
grigoryin	722	-10.62	0	0	472	135	27	3	1	1180	335	70	7	3	9
motî	720	-5.46	12	17	1348	340	20	2	2	538	45	3	1	1	4
octôbe	719	-7.84	0	0	437	31	7	1	1	6242	68	3	1	1	6
cawete	711	-5.79	4	5	1830	334	10	4	2	6242	595	174	12	7	6
fourit	710	-7.09	4	6	876	201	32	5	2	1852	62	10	4	4	6
onk	697	-5.85	10	15	437	17	2	2	2	159	14	4	4	4	3
nôvimbe	694	-10.0	2	2	420	7	1	1	1	6242	68	21	8	2	7
vî	688	-4.02	42	45	634	6	6	6	6	538	9	9	9	9	2
bwès	680	-4.77	14	15	1169	3	2	1	1	4676	254	46	1	1	4
istwere	680	-8.08	2	4	339	32	11	3	2	6242	551	77	19	12	7
cisse	679	-4.91	28	33	1830	95	5	1	1	6242	501	377	142	4	5
leu	671	-4.1	30	39	735	115	8	8	8	538	195	18	18	18	3
moes	665	-4.08	14	18	1348	340	21	1	1	4676	2191	19	2	2	4
todi	656	-6.64	4	6	1278	193	3	1	1	445	26	2	1	1	4
divant	651	-5.1	10	12	1542	515	51	5	5	1852	760	252	16	2	6
en	650	-3.62	40	55	794	48	48	48	48	1180	69	69	69	69	2
lu	646	-3.89	72	80	735	42	42	42	42	538	8	8	8	8	2
rebané	643	-8.36	2	3	1718	303	8	8	7	554	57	2	2	1	6
lome	642	-4.63	32	37	735	162	21	2	2	6242	177	22	3	3	4
scrît	636	-4.71	4	11	1649	182	43	8	5	1852	42	10	7	6	5
skepyî	634	-6.22	4	9	1649	17	14	9	3	538	102	10	8	5	6
