word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
nga	3265293	-5.19	2	5	685	7	5	5	5	6298	70	20	20	20	3
an	1895917	-2.83	22	41	1869	316	316	316	316	946	204	204	204	204	2
in	1789519	-3.49	18	31	396	123	123	123	123	946	90	90	90	90	2
ha	1261342	-2.95	22	27	945	214	214	214	214	6298	131	131	131	131	2
han	1132434	-3.99	26	32	945	214	20	20	20	946	204	18	18	18	3
ngan	957773	-6.31	0	1	685	7	5	1	1	946	204	14	7	7	4
nahilalakip	862234	-16.48	0	0	685	115	7	3	1	25	6	3	3	3	11
uska	849149	-7.96	2	3	162	15	1	1	1	6298	37	5	1	1	4
familia	832111	-7.87	0	0	488	69	2	2	2	6298	1384	147	22	4	7
genus	825987	-4.55	0	1	718	100	14	3	1	6106	3262	285	41	3	5
species	815741	-8.13	0	0	1693	165	17	6	3	6106	711	10	5	2	7
hini	807682	-4.99	8	11	945	99	10	2	2	1150	193	40	3	3	4
subspecies	772913	-12.44	0	0	1693	103	28	2	1	6106	711	10	5	2	10
ni	763437	-3.02	26	29	685	148	148	148	148	1150	193	193	193	193	2
ginhulagway	750340	-14.95	0	0	718	80	16	3	1	201	38	5	1	1	11
waray	743264	-6.55	0	1	206	58	8	1	1	201	38	8	2	1	5
nakalista	742803	-9.75	0	0	685	115	3	3	1	6298	783	48	15	3	9
hadton	739611	-8.05	0	1	945	214	7	2	2	946	463	69	1	1	6
syahan	219048	-8.39	0	0	1693	113	2	1	1	946	204	18	7	1	6
diptera	159340	-6.43	2	2	817	295	36	2	1	6298	739	244	68	60	7
ini	104743	-3.98	4	10	396	123	3	3	3	1150	193	40	40	40	3
coleoptera	98524	-8.75	0	0	1981	448	71	10	6	6298	739	244	68	60	10
amo	92438	-4.87	4	7	1869	169	8	8	8	442	15	5	5	5	3
ka	92402	-3.06	16	25	352	103	103	103	103	6298	37	37	37	37	2
usa	90541	-5.56	8	14	162	15	1	1	1	6298	246	26	26	26	3
insecta	89228	-8.19	0	0	396	123	17	1	1	6298	783	57	21	1	7
mabibilngan	87750	-15.13	0	0	1477	463	3	2	1	946	204	14	7	1	11
hymenoptera	77629	-9.8	0	0	945	155	13	13	11	6298	739	244	68	60	11
sumala	68360	-6.87	0	0	1693	103	5	4	1	6298	807	53	3	1	6
of	67914	-5.1	10	12	597	2	2	2	2	37	3	3	3	3	2
life	66714	-5.76	0	0	1033	199	1	1	1	2191	5	2	1	1	4
catalogue	66713	-10.86	0	0	1981	450	25	12	3	2191	9	1	1	1	9
