word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
די	39883	-3.33	72	93	818	168	168	168	168	779	45	45	45	45	2
א	30119	-4.3	0	41	2797	2797	2797	2797	2797	1019	1019	1019	1019	1019	1
אין	29996	-3.93	64	76	2797	682	1	1	1	3930	303	3	3	3	3
איז	29460	-4.12	42	50	2797	682	7	7	7	142	53	2	2	2	3
פון	27815	-4.03	38	44	1745	106	1	1	1	3930	153	4	4	4	3
און	27588	-3.47	54	70	2797	629	1	1	1	3930	153	12	12	12	3
דער	17885	-2.6	64	74	818	268	110	110	110	2051	1544	76	76	76	3
האט	16625	-4.56	40	48	858	172	5	5	5	2269	90	2	2	2	3
צו	9742	-4.1	60	66	467	229	229	229	229	324	3	3	3	3	2
וואס	9654	-4.25	16	21	719	595	180	12	12	1077	65	5	5	5	4
ער	9394	-2.55	66	103	665	127	127	127	127	2051	1544	1544	1544	1544	2
דעם	7821	-3.63	34	39	818	268	1	1	1	778	98	14	14	14	3
מיט	7230	-3.37	48	59	1293	235	48	48	48	2269	260	9	9	9	3
זיך	6680	-4.83	46	50	429	118	1	1	1	295	97	1	1	1	3
געווען	6629	-4.73	12	20	1234	756	97	95	25	3930	820	23	15	6	6
האבן	5873	-4.86	8	14	858	172	10	1	1	3930	146	12	1	1	4
מען	5524	-2.59	68	80	1293	240	1	1	1	3930	820	171	171	171	3
זענען	5503	-4.78	8	11	429	84	6	2	1	3930	820	142	32	1	5
עס	5412	-3.02	66	92	665	38	38	38	38	1077	283	283	283	283	2
דאס	5204	-4.87	38	42	818	105	2	2	2	1077	65	2	2	2	3
פ	5200	-4.3	0	26	1745	1745	1745	1745	1745	169	169	169	169	169	1
זיין	4972	-4.43	52	59	429	118	32	1	1	3930	303	99	6	6	4
געווארן	4952	-5.52	6	13	1234	756	97	95	37	3930	361	57	5	4	7
נישט	4835	-5.38	12	17	681	143	7	2	2	2269	61	21	5	5	4
יאר	4674	-4.82	44	52	464	68	16	16	16	2051	142	7	7	7	3
פאר	4630	-2.81	54	67	1745	766	507	507	507	2051	142	8	8	8	3
אויף	4622	-4.08	20	23	2797	629	380	1	1	135	38	13	1	1	4
ווי	4336	-3.5	30	43	719	595	250	250	250	779	55	12	12	12	3
אן	3857	-4.3	82	106	2797	1	1	1	1	3930	281	281	281	281	2
וועלכע	3842	-6.04	2	6	719	595	139	24	4	2042	99	5	4	1	6
זיי	3810	-4.39	62	69	429	118	32	32	32	779	108	2	2	2	3
אז	3723	-3.94	64	76	2797	31	31	31	31	142	17	17	17	17	2
ה	3444	-4.3	0	24	858	858	858	858	858	519	519	519	519	519	1
ס	3247	-4.3	0	33	723	723	723	723	723	1077	1077	1077	1077	1077	1
ט	3180	-4.3	0	28	756	756	756	756	756	2269	2269	2269	2269	2269	1
נאך	3174	-4.36	32	34	681	173	1	1	1	295	36	3	3	3	3
ווען	2935	-3.53	34	42	719	595	139	1	1	3930	820	23	15	15	4
ן	2875	-4.63	0	22	1	1	1	1	1	3930	3930	3930	3930	3930	1
ר	2811	-4.3	0	42	900	900	900	900	900	2051	2051	2051	2051	2051	1
אויך	2710	-4.4	24	26	2797	629	380	1	1	295	97	6	1	1	4
אבער	2444	-4.1	20	25	2797	61	5	3	3	2051	1544	60	7	7	4
ביז	2442	-4.37	42	49	1306	198	12	12	12	142	53	1	1	1	3
רבי	2441	-4.47	26	38	900	40	16	16	16	779	32	5	5	5	3
דורך	2397	-5.54	4	7	818	76	36	1	1	295	20	2	2	2	4
אדער	2392	-3.93	18	27	2797	52	5	2	2	2051	1544	76	9	9	4
וועלט	2287	-4.15	24	28	719	595	139	24	7	2269	174	62	10	9	5
טן	2274	-4.3	62	77	756	1	1	1	1	3930	451	451	451	451	2
קיין	2232	-4.14	38	44	1221	102	19	1	1	3930	303	99	1	1	4
ווערט	2207	-4.27	24	29	719	595	139	39	11	2269	352	101	2	2	5
ישראל	2080	-7.12	0	6	464	41	17	14	13	781	187	23	4	4	5
שטאט	2011	-4.66	20	26	886	200	41	10	10	2269	90	17	12	12	4
אלע	1952	-3.9	30	39	2797	129	18	18	18	2042	141	58	58	58	3
ביי	1921	-4.08	76	87	1306	198	48	48	48	779	108	8	8	8	3
פונעם	1877	-5.67	10	12	1745	106	30	2	1	778	98	39	4	1	5
אלס	1864	-4.41	28	35	2797	129	2	2	2	1077	35	7	7	7	3
