word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
ni	14263	-2.87	100	122	646	119	119	119	119	1270	182	182	182	182	2
n	8242	-4.3	0	58	646	646	646	646	646	2367	2367	2367	2367	2367	1
je	7141	-2.98	102	117	375	50	50	50	50	2008	64	64	64	64	2
o	5836	-4.3	0	45	1236	1236	1236	1236	1236	1499	1499	1499	1499	1499	1
ti	5727	-3.27	118	134	877	86	86	86	86	1270	110	110	110	110	2
tí	5395	-3.3	102	116	877	25	25	25	25	377	35	35	35	35	2
a	4528	-4.3	0	48	2030	2030	2030	2030	2030	1918	1918	1918	1918	1918	1
the	4511	-4.11	8	15	877	86	36	36	36	2008	23	6	6	6	3
to	4497	-2.84	120	139	877	134	134	134	134	1499	110	110	110	110	2
ó	4457	-4.32	0	22	26	26	26	26	26	352	352	352	352	352	1
ní	4173	-3.15	84	100	646	69	69	69	69	377	48	48	48	48	2
ati	3510	-3.74	40	47	2030	93	9	9	9	1270	110	19	19	19	3
awon	3474	-4.74	16	20	2030	41	7	1	1	2367	428	16	1	1	4
e	3004	-4.3	0	53	707	707	707	707	707	2008	2008	2008	2008	2008	1
ń	2826	-4.32	0	1	26	26	26	26	26	1	1	1	1	1	1
of	2795	-4.2	80	89	1236	22	22	22	22	85	5	5	5	5	2
s	2673	-4.3	0	65	1340	1340	1340	1340	1340	1383	1383	1383	1383	1383	1
ede	2466	-4.45	44	51	707	31	2	2	2	2008	155	19	19	19	3
àwo	2454	-4.32	36	39	511	27	2	2	2	1499	102	3	3	3	3
ile	2391	-3.63	58	70	1120	64	18	18	18	2008	282	56	56	56	3
kan	2346	-3.13	60	77	830	179	25	25	25	2367	497	74	74	74	3
ò	2240	-4.3	0	22	293	293	293	293	293	421	421	421	421	421	1
yìí	2094	-4.25	24	28	229	9	1	1	1	377	35	11	11	11	3
orile	2082	-5.51	12	15	1236	153	40	8	6	2008	282	56	10	9	5
si	2070	-2.98	122	139	1340	127	127	127	127	1270	104	104	104	104	2
àti	2042	-4.39	32	34	511	42	9	9	9	1270	110	3	3	3	3
won	1946	-4.1	44	52	360	43	4	4	4	2367	428	16	16	16	3
sí	1930	-3.34	106	116	1340	36	36	36	36	377	33	33	33	33	2
and	1862	-3.88	18	27	2030	136	20	20	20	720	86	52	52	52	3
pé	1851	-3.6	90	97	843	10	10	10	10	442	18	18	18	18	2
lo	1822	-2.98	100	115	853	115	115	115	115	1499	110	110	110	110	2
èdè	1788	-4.6	24	25	129	5	1	1	1	390	13	2	2	2	3
fi	1746	-3.45	106	122	577	96	96	96	96	1270	20	20	20	20	2
mo	1731	-2.77	124	133	1063	167	167	167	167	1499	93	93	93	93	2
àwọn	1709	-5.12	10	12	511	27	3	1	1	2367	6	5	1	1	4
wa	1709	-2.99	100	121	360	76	76	76	76	1918	85	85	85	85	2
bi	1683	-3.22	118	135	948	60	60	60	60	1270	62	62	62	62	2
re	1623	-2.56	118	134	692	230	230	230	230	2008	222	222	222	222	2
in	1622	-2.73	96	123	1120	149	149	149	149	2367	371	371	371	371	2
wo	1599	-3.05	102	116	360	43	43	43	43	1499	102	102	102	102	2
ara	1583	-3.39	54	74	2030	176	31	31	31	1918	240	67	67	67	3
ilẹ	1524	-4.22	38	42	1120	64	1	1	1	266	66	10	10	10	3
wó	1521	-4.05	88	98	360	3	3	3	3	352	40	40	40	40	2
tó	1496	-3.44	106	115	877	21	21	21	21	352	27	27	27	27	2
lati	1494	-4.57	20	24	853	173	25	9	9	1270	110	19	1	1	4
se	1486	-2.64	124	141	1340	166	166	166	166	2008	177	177	177	177	2
ninu	1466	-5.45	18	20	646	119	9	2	2	618	64	11	2	2	4
è	1425	-4.3	0	19	129	129	129	129	129	390	390	390	390	390	1
ẹ	1423	-4.31	0	17	40	40	40	40	40	266	266	266	266	266	1
fun	1405	-3.54	40	45	577	44	18	18	18	2367	296	6	6	6	3
náà	1351	-5.13	16	19	646	10	1	1	1	485	13	3	3	3	3
ọ	1347	-4.31	0	19	59	59	59	59	59	300	300	300	300	300	1
bí	1328	-3.51	102	117	948	19	19	19	19	377	35	35	35	35	2
fún	1295	-3.85	40	42	577	11	6	6	6	2367	110	6	6	6	3
tele	1276	-4.62	18	20	877	99	18	9	9	2008	282	40	9	9	4
sì	1249	-3.67	104	116	1340	10	10	10	10	345	37	37	37	37	2
so	1248	-3.03	124	140	1340	127	127	127	127	1499	63	63	63	63	2
bá	1236	-3.28	108	124	948	47	47	47	47	334	39	39	39	39	2
kò	1222	-3.25	100	109	830	28	28	28	28	421	43	43	43	43	2
jé	1212	-3.89	86	93	375	4	4	4	4	442	17	17	17	17	2
omo	1189	-4.2	40	49	1236	46	21	21	21	1499	93	9	9	9	3
di	1171	-2.92	116	126	746	136	136	136	136	1270	89	89	89	89	2
ló	1162	-3.48	86	92	853	79	79	79	79	352	19	19	19	19	2
is	1157	-3.04	88	106	1120	130	130	130	130	1383	96	96	96	96	2
rè	1150	-3.97	104	113	692	3	3	3	3	390	52	52	52	52	2
láti	1138	-5.33	10	12	853	97	8	2	2	1270	110	3	2	2	4
ijoba	1133	-5.67	6	8	1120	51	10	1	1	1918	159	28	16	3	5
ìlú	1110	-4.21	40	42	656	45	3	3	3	266	32	5	5	5	3
máa	1099	-4.81	28	30	1063	23	1	1	1	1918	12	1	1	1	3
ilé	1068	-4.26	46	54	1120	64	9	9	9	442	83	9	9	9	3
aare	1049	-5.78	12	13	2030	15	4	1	1	2008	222	26	1	1	4
nínú	1035	-5.34	18	20	646	69	6	2	2	266	28	8	1	1	4
ko	1004	-2.79	112	126	830	97	97	97	97	1499	147	147	147	147	2
gba	998	-3.41	46	58	744	193	35	35	35	1918	159	42	42	42	3
wà	977	-3.58	84	94	360	10	10	10	10	485	30	30	30	30	2
agbègbè	976	-7.3	2	2	2030	125	66	4	1	390	34	18	5	3	7
ohun	963	-4.59	20	26	1236	17	5	4	4	2367	296	25	9	9	4
de	959	-2.74	118	138	746	149	149	149	149	2008	155	155	155	155	2
pe	958	-3.12	106	120	843	93	93	93	93	2008	54	54	54	54	2
ipinle	920	-6.91	2	3	1120	48	14	11	3	2008	282	13	5	1	6
àwon	911	-5.38	14	16	511	27	2	1	1	2367	428	16	1	1	4
é	898	-4.34	0	19	16	16	16	16	16	442	442	442	442	442	1
naijiria	894	-10.58	0	0	646	95	6	2	1	1918	196	30	2	1	8
ba	883	-2.58	118	145	948	240	240	240	240	1918	159	159	159	159	2
ibile	882	-5.25	6	6	1120	86	22	1	1	2008	282	56	1	1	5
ìjọba	857	-5.66	4	5	656	43	2	1	1	1918	159	6	4	1	5
jẹ	850	-3.89	84	90	375	4	4	4	4	266	19	19	19	19	2
wá	830	-3.56	90	99	360	16	16	16	16	334	26	26	26	26	2
amerika	829	-7.94	2	2	2030	80	13	7	7	1918	111	26	7	1	7
ojoibi	826	-7.95	0	1	1236	51	10	2	2	1270	62	11	1	1	6
kí	806	-3.71	94	103	830	26	26	26	26	377	11	11	11	11	2
agbegbe	803	-7.18	0	1	2030	125	66	14	1	2008	83	33	10	3	7
wón	801	-5.4	16	19	360	3	1	1	1	2367	32	4	4	4	3
ìbílẹ	792	-5.67	6	6	656	50	9	3	1	266	66	11	1	1	5
gbogbo	790	-6.46	4	5	744	193	30	4	2	1499	109	48	9	3	6
àdúgbò	761	-6.43	12	12	511	40	4	3	3	421	48	26	6	3	6
i	743	-4.3	0	42	1120	1120	1120	1120	1120	1270	1270	1270	1270	1270	1
tabi	722	-5.18	18	20	877	124	7	2	2	1270	62	10	1	1	4
lè	689	-3.47	86	99	853	8	8	8	8	390	101	101	101	101	2
as	687	-3.05	100	123	2030	117	117	117	117	1383	86	86	86	86	2
pè	672	-3.69	92	101	843	9	9	9	9	390	17	17	17	17	2
