Language family,Language name,639-1,639-2/T,639-2/B,639-3,639-6
Northwest Caucasian,Abkhaz,ab,abk,abk,abk,abks
Afro-Asiatic,Afar,aa,aar,aar,aar,aars
Indo-European,Afrikaans,af,afr,afr,afr,afrs
Niger–Congo,Akan,ak,aka,aka,aka + 2,
Indo-European,Albanian,sq,sqi,alb,sqi + 4,
Afro-Asiatic,Amharic,am,amh,amh,amh,
Afro-Asiatic,Arabic,ar,ara,ara,ara + 30,
Indo-European,Aragonese,an,arg,arg,arg,
Indo-European,Armenian,hy,hye,arm,hye,
Indo-European,Assamese,as,asm,asm,asm,
Northeast Caucasian,Avaric,av,ava,ava,ava,
Indo-European,Avestan,ae,ave,ave,ave,
Aymaran,Aymara,ay,aym,aym,aym + 2,
Turkic,Azerbaijani,az,aze,aze,aze + 2,
Niger–Congo,Bambara,bm,bam,bam,bam,
Turkic,Bashkir,ba,bak,bak,bak,
Language isolate,Basque,eu,eus,baq,eus,
Indo-European,Belarusian,be,bel,bel,bel,
Indo-European,Bengali; Bangla,bn,ben,ben,ben,
Indo-European,Bihari,bh,bih,bih,,
Creole,Bislama,bi,bis,bis,bis,
Indo-European,Bosnian,bs,bos,bos,bos,boss
Indo-European,Breton,br,bre,bre,bre,
Indo-European,Bulgarian,bg,bul,bul,bul,buls
Sino-Tibetan,Burmese,my,mya,bur,mya,
Indo-European,Catalan; Valencian,ca,cat,cat,cat,
Austronesian,Chamorro,ch,cha,cha,cha,
Northeast Caucasian,Chechen,ce,che,che,che,
Niger–Congo,Chichewa; Chewa; Nyanja,ny,nya,nya,nya,
Sino-Tibetan,Chinese,zh,zho,chi,zho + 13,
Turkic,Chuvash,cv,chv,chv,chv,
Indo-European,Cornish,kw,cor,cor,cor,
Indo-European,Corsican,co,cos,cos,cos,
Algonquian,Cree,cr,cre,cre,cre + 6,
Indo-European,Croatian,hr,hrv,hrv,hrv,
Indo-European,Czech,cs,ces,cze,ces,
Indo-European,Danish,da,dan,dan,dan,
Indo-European,Divehi; Dhivehi; Maldivian;,dv,div,div,div,
Indo-European,Dutch,nl,nld,dut,nld,
Sino-Tibetan,Dzongkha,dz,dzo,dzo,dzo,
Indo-European,English,en,eng,eng,eng,engs
Constructed,Esperanto,eo,epo,epo,epo,
Uralic,Estonian,et,est,est,est + 2,
